date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,pre_weight,post_weight,sample_weight
4/30/21,32,treatment,JC1,jax_control,jax,J1,none,TM/GU,,,
4/30/21,32,treatment,JC1,jax_control,jax,J2,black,TM/GU,,,
4/30/21,32,treatment,JC2,jax_control,jax,J3,red,TM/GU,,,
4/30/21,32,treatment,JC2,jax_control,jax,J4,green,TM/GU,,,
4/30/21,32,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,,,
4/30/21,32,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,,,
4/30/21,32,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,,,
4/30/21,32,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,,,
4/30/21,32,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,,,
4/30/21,32,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,,,
4/30/21,32,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,,,
4/30/21,32,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
4/30/21,32,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,,,
4/30/21,32,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,,,
4/30/21,32,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,,,
4/30/21,32,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,,,
