cage,tx_group,mouse_type,mouse_num,mark,pre_weight,post_weight,pellet_weight
JC1,jax_control,jax,J1,none,,,
JC1,jax_control,jax,J2,black,,,
JC2,jax_control,jax,J3,red,,,
JC2,jax_control,jax,J4,green,,,
EC1,envigo_control,envigo,E1,none,,,
EC1,envigo_control,envigo,E2,black,,,
EC2,envigo_control,envigo,E3,red,,,
EC2,envigo_control,envigo,E4,green,,,
JE1,jax_envigo_mix,jax,J5,none,,,
JE1,jax_envigo_mix,envigo,E8,green,,,
JE2,jax_envigo_mix,jax,J6,black,,,
JE2,jax_envigo_mix,envigo,E7,red,,,
JE3,jax_envigo_mix,jax,J7,red,,,
JE3,jax_envigo_mix,envigo,E6,black,,,
JE4,jax_envigo_mix,jax,J8,green,,,
JE4,jax_envigo_mix,envigo,E5,none,,,
