sample,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,pre_weight,post_weight,pellet_weight
jxe.001,3/25/21,-3,normalization,J1,jax_control,jax,J1,none,TM/GU,,,
jxe.002,3/25/21,-3,normalization,J1,jax_control,jax,J2,black,TM/GU,,,
jxe.003,3/25/21,-3,normalization,J1,jax_control,jax,J3,red,TM/GU,,,
jxe.004,3/25/21,-3,normalization,J1,jax_control,jax,J4,green,TM/GU,,,
jxe.005,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J5,none,TM/GU,,,
jxe.006,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J6,black,TM/GU,,,
jxe.007,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J7,red,TM/GU,,,
jxe.008,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J8,green,TM/GU,,,
jxe.009,3/25/21,-3,normalization,E1,envigo_control,envigo,E1,none,TM/GU,,,
jxe.010,3/25/21,-3,normalization,E1,envigo_control,envigo,E2,black,TM/GU,,,
jxe.011,3/25/21,-3,normalization,E1,envigo_control,envigo,E3,red,TM/GU,,,
jxe.012,3/25/21,-3,normalization,E1,envigo_control,envigo,E4,green,TM/GU,,,
jxe.013,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E5,none,TM/GU,,,
jxe.014,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E6,black,TM/GU,,,
jxe.015,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
jxe.016,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E8,green,TM/GU,,,
jxe.017,3/26/21,-2,normalization,J1,jax_control,jax,J1,none,TM/GU,,,
jxe.018,3/26/21,-2,normalization,J1,jax_control,jax,J2,black,TM/GU,,,
jxe.019,3/26/21,-2,normalization,J1,jax_control,jax,J3,red,TM/GU,,,
jxe.020,3/26/21,-2,normalization,J1,jax_control,jax,J4,green,TM/GU,,,
jxe.021,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J5,none,TM/GU,,,
jxe.022,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J6,black,TM/GU,,,
jxe.023,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J7,red,TM/GU,,,
jxe.024,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J8,green,TM/GU,,,
jxe.025,3/26/21,-2,normalization,E1,envigo_control,envigo,E1,none,TM/GU,,,
jxe.026,3/26/21,-2,normalization,E1,envigo_control,envigo,E2,black,TM/GU,,,
jxe.027,3/26/21,-2,normalization,E1,envigo_control,envigo,E3,red,TM/GU,,,
jxe.028,3/26/21,-2,normalization,E1,envigo_control,envigo,E4,green,TM/GU,,,
jxe.029,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E5,none,TM/GU,,,
jxe.030,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E6,black,TM/GU,,,
jxe.031,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
jxe.032,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E8,green,TM/GU,,,
jxe.033,3/29/21,0,baseline,JC1,jax_control,jax,J1,none,TM/GU,,,
jxe.034,3/29/21,0,baseline,JC1,jax_control,jax,J2,black,TM/GU,,,
jxe.035,3/29/21,0,baseline,JC2,jax_control,jax,J3,red,TM/GU,,,
jxe.036,3/29/21,0,baseline,JC2,jax_control,jax,J4,green,TM/GU,,,
jxe.037,3/29/21,0,baseline,EC1,envigo_control,envigo,E1,none,TM/GU,,,
jxe.038,3/29/21,0,baseline,EC1,envigo_control,envigo,E2,black,TM/GU,,,
jxe.039,3/29/21,0,baseline,EC2,envigo_control,envigo,E3,red,TM/GU,,,
jxe.040,3/29/21,0,baseline,EC2,envigo_control,envigo,E4,green,TM/GU,,,
jxe.041,3/29/21,0,baseline,JE1,jax_envigo_mix,jax,J5,none,TM/GU,,,
jxe.042,3/29/21,0,baseline,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,,,
jxe.043,3/29/21,0,baseline,JE2,jax_envigo_mix,jax,J6,black,TM/GU,,,
jxe.044,3/29/21,0,baseline,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
jxe.045,3/29/21,0,baseline,JE3,jax_envigo_mix,jax,J7,red,TM/GU,,,
jxe.046,3/29/21,0,baseline,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,,,
jxe.047,3/29/21,0,baseline,JE4,jax_envigo_mix,jax,J8,green,TM/GU,,,
jxe.048,3/29/21,0,baseline,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,,,
