sample,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,pre_weight,post_weight,pellet_weight
jxe.001,3/25/21,-3,normalization,J1,jax_control,jax,J1,none,GU,0.9769,1.022,0.0451
jxe.002,3/25/21,-3,normalization,J1,jax_control,jax,J2,black,GU,0.9803,0.9943,0.014
jxe.003,3/25/21,-3,normalization,J1,jax_control,jax,J3,red,GU,0.9846,1.011,0.0264
jxe.004,3/25/21,-3,normalization,J1,jax_control,jax,J4,green,GU,0.9809,0.998,0.0171
jxe.005,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J5,none,GU,0.9747,0.9866,0.0119
jxe.006,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J6,black,GU,0.9755,0.9989,0.0234
jxe.007,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J7,red,GU,0.9812,0.9989,0.0177
jxe.008,3/25/21,-3,normalization,J2,jax_envigo_mix,jax,J8,green,GU,0.9884,1.0148,0.0264
jxe.009,3/25/21,-3,normalization,E1,envigo_control,envigo,E1,none,GU,0.9774,1.037,0.0596
jxe.010,3/25/21,-3,normalization,E1,envigo_control,envigo,E2,black,GU,0.9798,1.001,0.0212
jxe.011,3/25/21,-3,normalization,E1,envigo_control,envigo,E3,red,GU,0.9857,1.008,0.0223
jxe.012,3/25/21,-3,normalization,E1,envigo_control,envigo,E4,green,GU,0.9774,0.9893,0.0119
jxe.013,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E5,none,GU,0.9852,1.0111,0.0259
jxe.014,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E6,black,GU,0.9869,1.009,0.0221
jxe.015,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E7,red,GU,0.9745,1.011,0.0365
jxe.016,3/25/21,-3,normalization,E2,jax_envigo_mix,envigo,E8,green,GU,0.9895,1.02,0.0305
jxe.017,3/26/21,-2,normalization,J1,jax_control,jax,J1,none,TM/GU,0.9781,1.0195,0.0414
jxe.018,3/26/21,-2,normalization,J1,jax_control,jax,J2,black,TM/GU,0.9783,0.9954,0.0171
jxe.019,3/26/21,-2,normalization,J1,jax_control,jax,J3,red,TM/GU,0.9773,1.0036,0.0263
jxe.020,3/26/21,-2,normalization,J1,jax_control,jax,J4,green,TM/GU,0.9791,0.9983,0.0192
jxe.021,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J5,none,TM/GU,0.9846,1.0131,0.0285
jxe.022,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J6,black,TM/GU,0.9802,0.9986,0.0184
jxe.023,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J7,red,TM/GU,0.9799,1.0174,0.0375
jxe.024,3/26/21,-2,normalization,J2,jax_envigo_mix,jax,J8,green,TM/GU,0.9777,0.9996,0.0219
jxe.025,3/26/21,-2,normalization,E1,envigo_control,envigo,E1,none,TM/GU,0.9766,1.0038,0.0272
jxe.026,3/26/21,-2,normalization,E1,envigo_control,envigo,E2,black,TM/GU,0.9743,0.9842,0.0099
jxe.027,3/26/21,-2,normalization,E1,envigo_control,envigo,E3,red,TM/GU,0.9754,0.9958,0.0204
jxe.028,3/26/21,-2,normalization,E1,envigo_control,envigo,E4,green,TM/GU,0.9891,1.019,0.0299
jxe.029,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E5,none,TM/GU,0.9806,1.0058,0.0252
jxe.030,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E6,black,TM/GU,0.9775,0.9953,0.0178
jxe.031,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9761,1.0017,0.0256
jxe.032,3/26/21,-2,normalization,E2,jax_envigo_mix,envigo,E8,green,TM/GU,0.9889,1.0051,0.0162
jxe.033,3/29/21,0,baseline,JC1,jax_control,jax,J1,none,TM/GU,1.0063,1.0433,0.037
jxe.034,3/29/21,0,baseline,JC1,jax_control,jax,J2,black,TM/GU,1.0055,1.0329,0.0274
jxe.035,3/29/21,0,baseline,JC2,jax_control,jax,J3,red,TM/GU,1.0073,1.0356,0.0283
jxe.036,3/29/21,0,baseline,JC2,jax_control,jax,J4,green,TM/GU,1.0009,1.0126,0.0117
jxe.037,3/29/21,0,baseline,EC1,envigo_control,envigo,E1,none,TM/GU,0.9759,1.0155,0.0396
jxe.038,3/29/21,0,baseline,EC1,envigo_control,envigo,E2,black,TM/GU,1.0049,1.0286,0.0237
jxe.039,3/29/21,0,baseline,EC2,envigo_control,envigo,E3,red,TM/GU,0.9779,1.0154,0.0375
jxe.040,3/29/21,0,baseline,EC2,envigo_control,envigo,E4,green,TM/GU,0.9853,1.0104,0.0251
jxe.041,3/29/21,0,baseline,JE1,jax_envigo_mix,jax,J5,none,TM/GU,1.0043,1.0228,0.0185
jxe.042,3/29/21,0,baseline,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9778,1.0002,0.0224
jxe.043,3/29/21,0,baseline,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.9752,1,0.0248
jxe.044,3/29/21,0,baseline,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9752,1.0068,0.0316
jxe.045,3/29/21,0,baseline,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9895,1.0235,0.034
jxe.046,3/29/21,0,baseline,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9855,1.0137,0.0282
jxe.047,3/29/21,0,baseline,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.9823,0.9965,0.0142
jxe.048,3/29/21,0,baseline,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.9788,0.9948,0.016
jxe.049,3/30/21,1,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9987,1.0592,0.0605
jxe.050,3/30/21,1,treatment,JC1,jax_control,jax,J2,black,TM/GU,1.0036,1.0222,0.0186
jxe.051,3/30/21,1,treatment,JC2,jax_control,jax,J3,red,TM/GU,1.0037,1.0275,0.0238
jxe.052,3/30/21,1,treatment,JC2,jax_control,jax,J4,green,TM/GU,1.006,1.0412,0.0352
jxe.053,3/30/21,1,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,1.0063,1.0288,0.0225
jxe.054,3/30/21,1,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,1.0033,1.0281,0.0248
jxe.055,3/30/21,1,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,1.0045,1.0481,0.0436
jxe.056,3/30/21,1,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,1.0066,1.0198,0.0132
jxe.057,3/30/21,1,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,1.0018,1.0199,0.0181
jxe.058,3/30/21,1,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,1.0047,1.0292,0.0245
jxe.059,3/30/21,1,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,1.0012,1.0251,0.0239
jxe.060,3/30/21,1,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9949,1.0227,0.0278
jxe.061,3/30/21,1,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,1.0105,1.0306,0.0201
jxe.062,3/30/21,1,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,1.0169,1.1054,0.0885
jxe.063,3/30/21,1,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,1.0069,1.0231,0.0162
jxe.064,3/30/21,1,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,1.0069,1.0228,0.0159
jxe.065,3/31/21,2,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9769,0.994,0.0171
jxe.066,3/31/21,2,treatment,JC1,jax_control,jax,J2,black,TM/GU,0.975,0.9902,0.0152
jxe.067,3/31/21,2,treatment,JC2,jax_control,jax,J3,red,TM/GU,0.9751,1.0077,0.0326
jxe.068,3/31/21,2,treatment,JC2,jax_control,jax,J4,green,TM/GU,0.9873,1.0086,0.0213
jxe.069,3/31/21,2,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9791,1.0175,0.0384
jxe.070,3/31/21,2,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,0.9766,1.0082,0.0316
jxe.071,3/31/21,2,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.9859,1.004,0.0181
jxe.072,3/31/21,2,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,0.9792,0.9924,0.0132
jxe.073,3/31/21,2,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,0.9804,1.012,0.0316
jxe.074,3/31/21,2,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9826,1.0086,0.026
jxe.075,3/31/21,2,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.984,1.0232,0.0392
jxe.076,3/31/21,2,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9729,0.9877,0.0148
jxe.077,3/31/21,2,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9804,1.0089,0.0285
jxe.078,3/31/21,2,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9837,1.0348,0.0511
jxe.079,3/31/21,2,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.9744,0.9968,0.0224
jxe.080,3/31/21,2,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.9799,0.9894,0.0095
jxe.081,4/1/21,3,treatment,JC1,jax_control,jax,J1,none,TM/GU,1.001,1.0199,0.0189
jxe.082,4/1/21,3,treatment,JC1,jax_control,jax,J2,black,TM/GU,1.0045,1.0325,0.028
jxe.083,4/1/21,3,treatment,JC2,jax_control,jax,J3,red,TM/GU,1.0033,1.0297,0.0264
jxe.084,4/1/21,3,treatment,JC2,jax_control,jax,J4,green,TM/GU,1.0063,1.0352,0.0289
jxe.085,4/1/21,3,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,1.0165,1.0436,0.0271
jxe.086,4/1/21,3,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,1.0081,1.0236,0.0155
jxe.087,4/1/21,3,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.9983,1.0197,0.0214
jxe.088,4/1/21,3,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,1.0032,1.0197,0.0165
jxe.089,4/1/21,3,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,1.0033,1.0179,0.0146
jxe.090,4/1/21,3,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9945,1.0162,0.0217
jxe.091,4/1/21,3,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,1.0067,1.022,0.0153
jxe.092,4/1/21,3,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9979,1.0115,0.0136
jxe.093,4/1/21,3,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,1.0057,1.0223,0.0166
jxe.094,4/1/21,3,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,1.0052,1.0329,0.0277
jxe.095,4/1/21,3,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,1.0066,1.0239,0.0173
jxe.096,4/1/21,3,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,1.0085,1.0495,0.041
jxe.097,4/2/21,4,treatment,JC1,jax_control,jax,J1,none,TM/GU,1.0015,1.0323,0.0308
jxe.098,4/2/21,4,treatment,JC1,jax_control,jax,J2,black,TM/GU,1.008,1.0318,0.0238
jxe.099,4/2/21,4,treatment,JC2,jax_control,jax,J3,red,TM/GU,1.0044,1.0251,0.0207
