source well,uL add,dest well
A10,15.96445861,A1
A11,12.21852888,A1
A12,9.570971041,A1
A4,12.39168853,A1
A5,7.287203599,A1
A6,4.095357805,A1
A7,3.950951357,A1
A9,9.381733434,A1
B10,12.80882631,A1
B11,12.00158432,A1
B12,12.71493296,A1
B2,8.704483982,A1
B3,15.96179355,A1
B4,10.47798203,A1
B5,17.69481928,A1
B6,10.16640949,A1
B7,17.47986847,A1
B9,12.17026921,A1
C1,15.44316352,A1
C10,13.95467057,A1
C11,4.340870208,A1
C12,19.83148008,A1
C2,5.110388754,A1
C3,9.916243136,A1
C5,7.682385753,A1
C6,3.024340684,A1
C7,5.424382385,A1
C9,6.221272386,A1
D1,4.437993807,A1
D10,5.794805268,A1
D11,12.46969081,A1
D2,5.170494128,A1
D3,6.227813975,A1
D4,7.301968567,A1
D5,8.860556614,A1
D6,4.098468306,A1
D7,4.217129532,A1
D9,7.480302858,A1
E1,14.12679141,A1
E10,10.84476792,A1
E11,7.996547128,A1
E12,16.31606421,A1
E3,6.143965397,A1
E4,6.726231165,A1
E5,8.848650916,A1
E6,4.188608863,A1
E7,3.558031683,A1
E9,7.770332249,A1
F1,9.082031306,A1
F10,5.328888478,A1
F11,8.075071028,A1
F12,7.607313843,A1
F2,15.57835902,A1
F3,9.004240845,A1
F4,3.263430308,A1
F7,11.04852503,A1
F9,5.117541139,A1
G1,7.657564404,A1
G10,16.52657607,A1
G11,9.102514857,A1
G12,9.482288449,A1
G2,17.70749169,A1
G3,4.090143806,A1
G5,5.17057531,A1
G6,2.477562405,A1
G7,5.711631619,A1
G9,12.06697962,A1
H1,8.340530254,A1
H10,12.54441623,A1
H2,14.54080848,A1
H3,16.10923605,A1
H4,4.344986849,A1
H5,17.18743895,A1
H6,2.160784147,A1
H7,2.192398946,A1
H9,9.910395706,A1
A2,20,A2
A1,20,A2
E2,20,A2
G4,20,A2
A3,20,A2
H8,20,A2
F5,20,A2
B1,20,A2
D12,20,A2
H12,20,A2
H11,20,A2
C4,20,A2
C8,20,A2
F8,20,A2
B8,20,A2
E8,20,A2
D8,20,A2
A8,20,A2
G8,20,A2
