sample_number,mouse_num,date,day,status,cage,tx_group,mouse_type,mark,collector,sample_location,sample_type,pre_weight,post_weight,sample_weight
1,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,duodenum,lumen,0.9912,1.0294,0.0382
2,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,duodenum,mucus,0.9765,1.041,0.0645
3,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,jejunum,lumen,0.9814,1.0017,0.0203
4,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,jejunum,mucus,0.9831,1.0519,0.0688
5,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,ileum,lumen,0.9879,1.0208,0.0329
6,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,ileum,mucus,0.9803,1.045,0.0647
7,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,cecum,lumen,0.9879,1.2977,0.3098
8,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,cecum,mucus,0.997,1.122,0.125
9,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,cecum,tissue,,,
10,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,cecum,map,,,
11,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,colon,lumen,0.9898,1.0245,0.0347
12,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,colon,mucus,0.9745,1.0192,0.0447
13,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,colon,tissue,,,
14,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,colon,map,,,
15,J1,4/30/21,32,treatment,JC1,jax_control,jax,none,TM/GU,pellet,feces,,,
16,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,duodenum,lumen,0.9726,1.0191,0.0465
17,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,duodenum,mucus,0.9887,1.0268,0.0381
18,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,jejunum,lumen,0.9911,1.0743,0.0832
19,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,jejunum,mucus,0.9888,1.0485,0.0597
20,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,ileum,lumen,0.9893,1.0396,0.0503
21,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,ileum,mucus,0.984,1.0665,0.0825
22,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,cecum,lumen,0.9999,1.0505,0.0506
23,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,cecum,mucus,0.9934,1.1591,0.1657
24,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,cecum,tissue,,,
25,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,cecum,map,,,
26,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,colon,lumen,0.9729,1.0123,0.0394
27,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,colon,mucus,0.9976,1.0213,0.0237
28,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,colon,tissue,,,
29,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,colon,map,,,
30,J2,4/30/21,32,treatment,JC1,jax_control,jax,black,TM/GU,pellet,feces,,,
31,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,duodenum,lumen,0.9716,1.0304,0.0588
32,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,duodenum,mucus,0.973,1.0559,0.0829
33,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,jejunum,lumen,0.9838,1.0518,0.068
34,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,jejunum,mucus,0.9914,1.0679,0.0765
35,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,ileum,lumen,0.9851,1.0342,0.0491
36,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,ileum,mucus,0.9881,1.0149,0.0268
37,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,cecum,lumen,0.9862,1.1489,0.1627
38,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,cecum,mucus,0.9891,1.0488,0.0597
39,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,cecum,tissue,,,
40,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,cecum,map,,,
41,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,colon,lumen,0.9864,1.0238,0.0374
42,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,colon,mucus,0.992,1.0098,0.0178
43,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,colon,tissue,,,
44,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,colon,map,,,
45,J3,4/30/21,32,treatment,JC2,jax_control,jax,red,TM/GU,pellet,feces,,,
46,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,duodenum,lumen,0.9819,1.0209,0.039
47,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,duodenum,mucus,0.984,1.0383,0.0543
48,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,jejunum,lumen,0.9879,1.0153,0.0274
49,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,jejunum,mucus,0.9761,1.0045,0.0284
50,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,ileum,lumen,0.9834,1.0309,0.0475
51,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,ileum,mucus,0.9843,1.0299,0.0456
52,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,cecum,lumen,0.9894,1.1544,0.165
53,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,cecum,mucus,0.9777,1.0131,0.0354
54,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,cecum,tissue,,,
55,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,cecum,map,,,
56,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,lumen,0.9845,1.006,0.0215
57,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,mucus,0.9779,1.0198,0.0419
58,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,tissue,,,
59,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,map,,,
60,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,pellet,feces,,,
61,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,duodenum,lumen,0.983,1.0165,0.0335
62,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,duodenum,mucus,0.9886,1.0263,0.0377
63,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,jejunum,lumen,0.9925,1.0402,0.0477
64,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,jejunum,mucus,0.9765,1.0631,0.0866
65,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,ileum,lumen,0.9884,1.0409,0.0525
66,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,ileum,mucus,0.9836,1.0494,0.0658
67,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,lumen,0.9848,1.0703,0.0855
68,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,mucus,0.9901,1.0165,0.0264
69,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,tissue,,,
70,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,map,,,
71,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,colon,lumen,0.9781,1.0202,0.0421
