seqid,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,sample_location,sample_type,pre_weight,post_weight,sample_weight,successful_seq,s3_GU_R1_bucket_path,s3_GU_R2_bucket_path
jxesac.007,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,cecum,lumen,0.9879,1.2977,0.3098,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-007_S4_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-007_S4_L001_R2_001.fastq.gz
jxesac.022,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,cecum,lumen,0.9999,1.0505,0.0506,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-022_S9_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-022_S9_L001_R2_001.fastq.gz
jxesac.037,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,cecum,lumen,0.9862,1.1489,0.1627,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-037_S14_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-037_S14_L001_R2_001.fastq.gz
jxesac.052,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,cecum,lumen,0.9894,1.1544,0.165,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-052_S19_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-052_S19_L001_R2_001.fastq.gz
jxesac.067,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,cecum,lumen,0.9848,1.0703,0.0855,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-067_S24_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-067_S24_L001_R2_001.fastq.gz
jxesac.082,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,cecum,lumen,0.9887,1.1457,0.157,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-082_S29_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-082_S29_L001_R2_001.fastq.gz
jxesac.097,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,cecum,lumen,0.9818,1.1115,0.1297,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-097_S34_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-097_S34_L001_R2_001.fastq.gz
jxesac.112,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,cecum,lumen,0.9821,1.1754,0.1933,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-112_S39_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-112_S39_L001_R2_001.fastq.gz
jxesac.127,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,cecum,lumen,0.9771,1.1171,0.14,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-127_S44_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-127_S44_L001_R2_001.fastq.gz
jxesac.143,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,cecum,lumen,0.9738,1.0729,0.0991,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-143_S49_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-143_S49_L001_R2_001.fastq.gz
jxesac.159,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,cecum,lumen,0.9767,1.0739,0.0972,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-159_S54_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-159_S54_L001_R2_001.fastq.gz
jxesac.175,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,cecum,lumen,0.9743,1.1241,0.1498,FALSE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-175_S59_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-175_S59_L001_R2_001.fastq.gz
jxesacREDO.007,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,cecum,lumen,0.9879,1.2977,0.3098,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac07_S1_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac07_S1_L001_R2_001.fastq.gz
jxesacREDO.022,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,cecum,lumen,0.9999,1.0505,0.0506,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac022_S2_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac022_S2_L001_R2_001.fastq.gz
jxesacREDO.037,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,cecum,lumen,0.9862,1.1489,0.1627,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac037_S3_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac037_S3_L001_R2_001.fastq.gz
jxesacREDO.052,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,cecum,lumen,0.9894,1.1544,0.165,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac052_S4_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac052_S4_L001_R2_001.fastq.gz
jxesacREDO.067,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,cecum,lumen,0.9848,1.0703,0.0855,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac067_S5_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac067_S5_L001_R2_001.fastq.gz
jxesacREDO.082,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,cecum,lumen,0.9887,1.1457,0.157,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac082_S6_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac082_S6_L001_R2_001.fastq.gz
jxesacREDO.097,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,cecum,lumen,0.9818,1.1115,0.1297,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac97_S7_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac97_S7_L001_R2_001.fastq.gz
jxesacREDO.112,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,cecum,lumen,0.9821,1.1754,0.1933,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac112_S8_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac112_S8_L001_R2_001.fastq.gz
jxesacREDO.127,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,cecum,lumen,0.9771,1.1171,0.14,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac127_S9_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac127_S9_L001_R2_001.fastq.gz
jxesacREDO.143,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,cecum,lumen,0.9738,1.0729,0.0991,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac143_S10_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac143_S10_L001_R2_001.fastq.gz
jxesacREDO.159,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,cecum,lumen,0.9767,1.0739,0.0972,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac159_S11_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac159_S11_L001_R2_001.fastq.gz
jxesacREDO.175,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,cecum,lumen,0.9743,1.1241,0.1498,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac175_S12_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/jxesac175_S12_L001_R2_001.fastq.gz
jxesac.011,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,colon,lumen,0.9898,1.0245,0.0347,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-011_S5_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-011_S5_L001_R2_001.fastq.gz
jxesac.026,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,colon,lumen,0.9729,1.0123,0.0394,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-026_S10_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-026_S10_L001_R2_001.fastq.gz
jxesac.041,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,colon,lumen,0.9864,1.0238,0.0374,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-041_S15_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-041_S15_L001_R2_001.fastq.gz
jxesac.056,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,colon,lumen,0.9845,1.006,0.0215,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-056_S20_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-056_S20_L001_R2_001.fastq.gz
jxesac.071,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,colon,lumen,0.9781,1.0202,0.0421,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-071_S25_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-071_S25_L001_R2_001.fastq.gz
jxesac.086,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,colon,lumen,0.976,1.0649,0.0889,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-086_S30_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-086_S30_L001_R2_001.fastq.gz
jxesac.101,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,colon,lumen,0.9811,1.0395,0.0584,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-101_S35_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-101_S35_L001_R2_001.fastq.gz
jxesac.116,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,colon,lumen,0.9849,1.0182,0.0333,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-116_S40_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-116_S40_L001_R2_001.fastq.gz
jxesac.131,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,colon,lumen,0.974,1.0128,0.0388,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-131_S45_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-131_S45_L001_R2_001.fastq.gz
jxesac.147,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,colon,lumen,0.9892,1.0129,0.0237,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-147_S50_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-147_S50_L001_R2_001.fastq.gz
jxesac.163,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,colon,lumen,0.9813,1.0224,0.0411,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-163_S55_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-163_S55_L001_R2_001.fastq.gz
jxesac.179,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,colon,lumen,0.9865,1.0216,0.0351,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-179_S60_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-179_S60_L001_R2_001.fastq.gz
jxesac.001,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,duodenum,lumen,0.9912,1.0294,0.0382,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-001_S1_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-001_S1_L001_R2_001.fastq.gz
jxesac.016,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,duodenum,lumen,0.9726,1.0191,0.0465,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-016_S6_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-016_S6_L001_R2_001.fastq.gz
jxesac.031,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,duodenum,lumen,0.9716,1.0304,0.0588,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-031_S11_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-031_S11_L001_R2_001.fastq.gz
jxesac.046,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,duodenum,lumen,0.9819,1.0209,0.039,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-046_S16_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-046_S16_L001_R2_001.fastq.gz
jxesac.061,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,duodenum,lumen,0.983,1.0165,0.0335,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-061_S21_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-061_S21_L001_R2_001.fastq.gz
jxesac.076,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,duodenum,lumen,0.9794,1.0092,0.0298,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-076_S26_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-076_S26_L001_R2_001.fastq.gz
jxesac.091,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,duodenum,lumen,0.9805,1.0274,0.0469,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-091_S31_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-091_S31_L001_R2_001.fastq.gz
jxesac.106,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,duodenum,lumen,0.9807,1.0154,0.0347,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-106_S36_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-106_S36_L001_R2_001.fastq.gz
jxesac.121,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,duodenum,lumen,0.9801,1.0335,0.0534,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-121_S41_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-121_S41_L001_R2_001.fastq.gz
jxesac.137,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,duodenum,lumen,0.9814,1.0187,0.0373,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-137_S46_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-137_S46_L001_R2_001.fastq.gz
jxesac.153,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,duodenum,lumen,0.9747,1.0459,0.0712,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-153_S51_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-153_S51_L001_R2_001.fastq.gz
jxesac.169,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,duodenum,lumen,0.9865,1.0271,0.0406,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-169_S56_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-169_S56_L001_R2_001.fastq.gz
jxesac.005,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,ileum,lumen,0.9879,1.0208,0.0329,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-005_S3_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-005_S3_L001_R2_001.fastq.gz
jxesac.020,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,ileum,lumen,0.9893,1.0396,0.0503,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-020_S8_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-020_S8_L001_R2_001.fastq.gz
jxesac.035,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,ileum,lumen,0.9851,1.0342,0.0491,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-035_S13_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-035_S13_L001_R2_001.fastq.gz
