time_mins,temp,well,OD600
0,36.3,A01,0.125
10,34.0,A01,0.127
20,33.2,A01,0.127
30,32.9,A01,0.127
40,32.6,A01,0.126
50,32.4,A01,0.127
60,32.3,A01,0.127
70,32.2,A01,0.127
80,32.1,A01,0.127
90,32.0,A01,0.127
100,31.8,A01,0.127
110,31.7,A01,0.127
120,31.6,A01,0.127
130,31.5,A01,0.126
140,31.3,A01,0.127
150,31.2,A01,0.127
160,31.1,A01,0.127
170,31.0,A01,0.126
180,31.0,A01,0.126
190,30.9,A01,0.127
200,30.9,A01,0.126
210,30.9,A01,0.126
220,30.8,A01,0.127
230,30.8,A01,0.126
240,30.7,A01,0.126
250,30.7,A01,0.127
260,30.7,A01,0.127
270,30.6,A01,0.127
280,30.6,A01,0.126
290,30.6,A01,0.126
300,30.5,A01,0.127
310,30.5,A01,0.126
320,30.5,A01,0.126
330,30.4,A01,0.127
340,30.4,A01,0.126
350,30.4,A01,0.126
360,30.3,A01,0.126
370,30.3,A01,0.126
380,30.3,A01,0.126
390,30.3,A01,0.126
400,30.3,A01,0.126
410,30.4,A01,0.127
420,30.4,A01,0.126
430,30.4,A01,0.127
440,30.4,A01,0.126
450,30.4,A01,0.126
460,30.4,A01,0.126
470,30.5,A01,0.126
480,30.5,A01,0.126
490,30.5,A01,0.126
500,30.5,A01,0.126
510,30.5,A01,0.126
520,30.5,A01,0.126
530,30.5,A01,0.127
540,30.5,A01,0.126
550,30.5,A01,0.126
560,30.5,A01,0.126
570,30.5,A01,0.126
580,30.5,A01,0.126
590,30.4,A01,0.126
600,30.4,A01,0.126
610,30.3,A01,0.126
620,30.3,A01,0.126
630,30.2,A01,0.126
640,30.1,A01,0.126
650,30.0,A01,0.126
660,30.0,A01,0.126
670,29.9,A01,0.126
680,29.8,A01,0.126
690,29.7,A01,0.126
700,29.6,A01,0.126
710,29.5,A01,0.126
720,29.4,A01,0.126
730,29.4,A01,0.126
740,29.3,A01,0.126
750,29.2,A01,0.126
760,29.2,A01,0.126
770,29.2,A01,0.126
780,29.2,A01,0.126
790,29.2,A01,0.126
800,29.3,A01,0.126
810,29.3,A01,0.126
820,29.4,A01,0.126
830,29.5,A01,0.126
840,29.6,A01,0.126
850,29.7,A01,0.126
860,29.8,A01,0.126
870,29.8,A01,0.126
880,29.9,A01,0.126
890,29.9,A01,0.126
900,30.0,A01,0.126
910,30.0,A01,0.126
920,30.1,A01,0.126
930,30.1,A01,0.126
940,30.2,A01,0.126
950,30.2,A01,0.126
960,30.3,A01,0.126
970,30.3,A01,0.126
980,30.4,A01,0.126
990,30.5,A01,0.126
1000,30.5,A01,0.126
1010,30.6,A01,0.126
1020,30.6,A01,0.126
1030,30.7,A01,0.126
1040,30.8,A01,0.126
1050,30.9,A01,0.126
1060,30.9,A01,0.126
1070,31.0,A01,0.126
1080,31.1,A01,0.126
1090,31.1,A01,0.126
1100,31.2,A01,0.126
1110,31.2,A01,0.126
1120,31.3,A01,0.126
1130,31.3,A01,0.126
1140,31.3,A01,0.126
1150,31.3,A01,0.126
1160,31.3,A01,0.126
1170,31.3,A01,0.126
1180,31.3,A01,0.126
1190,31.3,A01,0.126
1200,31.3,A01,0.126
1210,31.4,A01,0.126
1220,31.4,A01,0.126
1230,31.4,A01,0.126
1240,31.4,A01,0.126
1250,31.5,A01,0.126
1260,31.5,A01,0.126
1270,31.5,A01,0.126
1280,31.5,A01,0.126
1290,31.5,A01,0.126
1300,31.5,A01,0.126
1310,31.6,A01,0.126
1320,31.6,A01,0.126
1330,31.6,A01,0.126
1340,31.6,A01,0.126
1350,31.6,A01,0.126
1360,31.6,A01,0.126
1370,31.6,A01,0.126
1380,31.6,A01,0.126
1390,31.6,A01,0.126
1400,31.6,A01,0.126
1410,31.6,A01,0.126
1420,31.5,A01,0.126
1430,31.5,A01,0.126
1440,31.5,A01,0.126
1450,31.4,A01,0.126
1460,31.4,A01,0.126
1470,31.3,A01,0.126
1480,31.3,A01,0.126
1490,31.2,A01,0.126
1500,31.2,A01,0.126
1510,31.1,A01,0.126
1520,31.1,A01,0.126
1530,31.0,A01,0.126
1540,31.0,A01,0.126
1550,30.9,A01,0.126
1560,30.9,A01,0.126
1570,30.9,A01,0.126
1580,30.8,A01,0.126
1590,30.7,A01,0.126
1600,30.6,A01,0.126
1610,30.6,A01,0.126
1620,30.5,A01,0.125
1630,30.4,A01,0.126
1640,30.4,A01,0.126
1650,30.4,A01,0.125
1660,30.4,A01,0.126
1670,30.4,A01,0.126
1680,30.4,A01,0.126
1690,30.5,A01,0.126
1700,30.5,A01,0.125
1710,30.5,A01,0.126
1720,30.5,A01,0.126
1730,30.5,A01,0.126
1740,30.5,A01,0.126
1750,30.5,A01,0.125
1760,30.5,A01,0.126
1770,30.5,A01,0.126
1780,30.5,A01,0.126
1790,30.5,A01,0.126
1800,30.5,A01,0.126
1810,30.5,A01,0.126
1820,30.5,A01,0.126
1830,30.5,A01,0.126
1840,30.5,A01,0.126
1850,30.5,A01,0.125
1860,30.4,A01,0.126
