time_mins,temp,well,OD600
0,36.2,A01,0.186
10,33.7,A01,0.186
20,32.8,A01,0.186
30,32.3,A01,0.186
40,32.0,A01,0.186
50,31.8,A01,0.187
60,31.6,A01,0.187
70,31.5,A01,0.187
80,31.4,A01,0.187
90,31.3,A01,0.187
100,31.2,A01,0.187
110,31.2,A01,0.187
120,31.2,A01,0.188
130,31.1,A01,0.187
140,31.1,A01,0.187
150,31.1,A01,0.188
160,31.1,A01,0.188
170,31.1,A01,0.188
180,31.1,A01,0.188
190,31.1,A01,0.188
200,31.0,A01,0.188
210,31.0,A01,0.187
220,31.0,A01,0.188
230,31.0,A01,0.188
240,31.0,A01,0.188
250,31.0,A01,0.188
260,31.0,A01,0.188
270,31.0,A01,0.188
280,31.0,A01,0.188
290,31.0,A01,0.188
300,31.0,A01,0.188
310,31.0,A01,0.188
320,31.0,A01,0.188
330,31.0,A01,0.188
340,31.0,A01,0.188
350,31.0,A01,0.188
360,31.0,A01,0.188
370,31.0,A01,0.188
380,31.0,A01,0.188
390,31.0,A01,0.189
400,31.0,A01,0.188
410,31.0,A01,0.188
420,31.0,A01,0.188
430,31.0,A01,0.188
440,31.0,A01,0.188
450,31.0,A01,0.188
460,31.0,A01,0.188
470,31.0,A01,0.188
480,31.0,A01,0.188
490,31.0,A01,0.189
500,31.0,A01,0.188
510,31.0,A01,0.190
520,31.0,A01,0.188
530,31.0,A01,0.189
540,31.0,A01,0.188
550,31.0,A01,0.188
560,31.0,A01,0.188
570,31.0,A01,0.188
580,31.0,A01,0.188
590,31.0,A01,0.188
600,31.0,A01,0.188
610,30.9,A01,0.188
620,30.9,A01,0.188
630,30.9,A01,0.188
640,30.9,A01,0.188
650,30.9,A01,0.188
660,30.9,A01,0.188
670,30.9,A01,0.188
680,30.9,A01,0.188
690,30.9,A01,0.188
700,30.9,A01,0.188
710,30.9,A01,0.188
720,30.9,A01,0.188
730,30.9,A01,0.188
740,30.9,A01,0.188
750,30.9,A01,0.188
760,30.9,A01,0.188
770,30.9,A01,0.188
780,30.9,A01,0.188
790,30.9,A01,0.188
800,30.9,A01,0.187
810,30.9,A01,0.187
820,30.9,A01,0.187
830,30.9,A01,0.187
840,30.9,A01,0.188
850,31.0,A01,0.187
860,31.0,A01,0.188
870,31.0,A01,0.187
880,31.0,A01,0.187
890,31.0,A01,0.188
900,31.0,A01,0.187
910,31.0,A01,0.187
920,31.0,A01,0.187
930,31.0,A01,0.187
940,31.1,A01,0.187
950,31.1,A01,0.187
960,31.1,A01,0.187
970,31.1,A01,0.187
980,31.1,A01,0.187
990,31.1,A01,0.187
1000,31.1,A01,0.187
1010,31.1,A01,0.187
1020,31.2,A01,0.187
1030,31.2,A01,0.187
1040,31.2,A01,0.187
1050,31.2,A01,0.187
1060,31.2,A01,0.186
1070,31.2,A01,0.187
1080,31.2,A01,0.187
1090,31.2,A01,0.187
1100,31.2,A01,0.187
1110,31.2,A01,0.187
1120,31.2,A01,0.187
1130,31.2,A01,0.186
1140,31.3,A01,0.186
1150,31.3,A01,0.186
1160,31.3,A01,0.187
1170,31.3,A01,0.187
1180,31.3,A01,0.186
1190,31.3,A01,0.187
1200,31.3,A01,0.187
1210,31.3,A01,0.187
1220,31.3,A01,0.186
1230,31.3,A01,0.187
1240,31.3,A01,0.187
1250,31.3,A01,0.186
1260,31.3,A01,0.186
1270,31.3,A01,0.186
1280,31.2,A01,0.186
1290,31.2,A01,0.186
1300,31.2,A01,0.186
1310,31.1,A01,0.187
1320,31.1,A01,0.186
1330,31.3,A01,0.187
1340,31.4,A01,0.186
1350,31.4,A01,0.186
1360,31.4,A01,0.187
1370,31.3,A01,0.187
1380,31.3,A01,0.186
1390,31.3,A01,0.187
1400,31.3,A01,0.186
1410,31.3,A01,0.186
1420,31.3,A01,0.187
1430,31.3,A01,0.187
1440,31.2,A01,0.186
1450,31.2,A01,0.186
1460,31.3,A01,0.187
1470,31.3,A01,0.186
1480,31.3,A01,0.186
1490,31.3,A01,0.187
1500,31.3,A01,0.186
1510,31.3,A01,0.186
1520,31.3,A01,0.186
1530,31.4,A01,0.186
1540,31.3,A01,0.186
1550,31.3,A01,0.186
1560,31.3,A01,0.188
1570,31.3,A01,0.186
1580,31.2,A01,0.186
1590,31.2,A01,0.186
1600,31.2,A01,0.186
1610,31.2,A01,0.185
1620,31.2,A01,0.187
1630,31.1,A01,0.185
1640,31.1,A01,0.185
1650,31.1,A01,0.185
1660,31.0,A01,0.185
1670,30.9,A01,0.185
1680,30.9,A01,0.185
1690,30.8,A01,0.185
1700,30.8,A01,0.185
1710,30.7,A01,0.185
1720,30.7,A01,0.185
1730,30.7,A01,0.185
1740,30.7,A01,0.185
1750,30.7,A01,0.185
1760,30.8,A01,0.185
1770,30.8,A01,0.185
1780,30.8,A01,0.185
1790,30.8,A01,0.185
1800,30.8,A01,0.185
1810,30.8,A01,0.185
1820,30.8,A01,0.185
1830,30.8,A01,0.185
1840,30.9,A01,0.185
1850,30.9,A01,0.185
1860,30.9,A01,0.185
1870,30.9,A01,0.185
1880,30.9,A01,0.185
1890,30.9,A01,0.185
1900,30.9,A01,0.185
1910,30.9,A01,0.185
1920,30.9,A01,0.185
1930,30.9,A01,0.185
1940,30.9,A01,0.184
1950,30.9,A01,0.184
1960,30.9,A01,0.185
1970,30.9,A01,0.186
1980,30.9,A01,0.185
1990,31.0,A01,0.184
2000,31.0,A01,0.184
2010,31.0,A01,0.184
2020,31.0,A01,0.185
2030,31.0,A01,0.184
2040,31.0,A01,0.185
2050,31.0,A01,0.184
2060,31.0,A01,0.184
2070,31.0,A01,0.184
2080,31.0,A01,0.184
2090,30.9,A01,0.184
2100,30.9,A01,0.184
2110,30.9,A01,0.184
2120,30.9,A01,0.184
2130,30.9,A01,0.184
2140,30.9,A01,0.184
2150,30.9,A01,0.184
2160,30.9,A01,0.184
2170,30.9,A01,0.184
2180,30.9,A01,0.184
2190,31.0,A01,0.184
2200,31.0,A01,0.184
2210,31.0,A01,0.185
2220,31.0,A01,0.184
2230,31.0,A01,0.183
2240,31.0,A01,0.184
2250,31.0,A01,0.184
2260,31.0,A01,0.183
2270,31.0,A01,0.184
2280,31.0,A01,0.183
2290,31.0,A01,0.183
2300,31.0,A01,0.183
2310,31.1,A01,0.184
2320,31.1,A01,0.183
2330,31.1,A01,0.183
2340,31.1,A01,0.184
2350,31.1,A01,0.183
2360,31.0,A01,0.183
2370,31.0,A01,0.183
2380,30.9,A01,0.183
2390,30.9,A01,0.183
2400,30.9,A01,0.182
2410,30.9,A01,0.182
2420,30.8,A01,0.183
2430,30.8,A01,0.182
2440,30.9,A01,0.182
2450,30.9,A01,0.182
2460,30.9,A01,0.182
2470,31.0,A01,0.182
2480,31.0,A01,0.182
2490,31.1,A01,0.182
2500,31.1,A01,0.182
2510,31.2,A01,0.182
2520,31.3,A01,0.182
2530,31.4,A01,0.182
2540,31.4,A01,0.182
2550,31.5,A01,0.182
2560,31.6,A01,0.181
2570,31.7,A01,0.182
2580,31.8,A01,0.182
2590,31.9,A01,0.182
2600,31.9,A01,0.181
2610,31.9,A01,0.181
2620,32.0,A01,0.181
2630,32.0,A01,0.181
2640,32.0,A01,0.181
2650,32.0,A01,0.181
2660,32.0,A01,0.181
2670,32.1,A01,0.181
2680,32.1,A01,0.181
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A01,0.186
0,36.2,A02,0.165
10,33.7,A02,0.165
20,32.8,A02,0.166
30,32.3,A02,0.166
40,32.0,A02,0.166
50,31.8,A02,0.166
60,31.6,A02,0.166
70,31.5,A02,0.166
80,31.4,A02,0.166
90,31.3,A02,0.166
100,31.2,A02,0.166
110,31.2,A02,0.166
120,31.2,A02,0.166
130,31.1,A02,0.166
