gene,donor_3_cecum
gene_4622482,4920
gene_3340967,4744
gene_3516854,4722
gene_4016531,4576
gene_2947127,4531
gene_4501438,4481
gene_3433148,4427
gene_3260889,4412
gene_4386762,4407
gene_4036652,4369
gene_4316990,4311
gene_4338190,4270
gene_4419584,4262
gene_4225958,4255
gene_4561987,4218
gene_3330827,4213
gene_4284425,4103
gene_3210366,4094
gene_4334201,4075
gene_3859809,4063
gene_3952247,4057
gene_2342657,4040
gene_3703198,4036
gene_3993385,4031
gene_3989023,4029
gene_4386171,4027
gene_4108299,3964
gene_3135983,3959
gene_3364891,3951
gene_3616653,3941
gene_4387326,3934
gene_3584313,3917
gene_4346856,3881
gene_3613911,3871
gene_4629613,3842
gene_3001961,3833
gene_3246467,3829
gene_4203264,3823
gene_3365448,3808
gene_3432174,3794
gene_3290868,3735
gene_3082022,3731
gene_4171501,3728
gene_4344959,3721
gene_4508783,3707
gene_3557724,3706
gene_4528138,3702
gene_3808459,3699
gene_3702322,3676
gene_3787930,3659
gene_4219067,3658
gene_4508782,3640
gene_3652454,3639
gene_4512024,3635
gene_3658717,3633
gene_3196730,3629
gene_3549943,3628
gene_3147171,3606
gene_4007429,3593
gene_4021349,3582
gene_4470407,3556
gene_3083162,3542
gene_4420133,3541
gene_4147251,3541
gene_4346761,3539
gene_3347716,3520
gene_4466755,3520
gene_4316177,3519
gene_3574173,3513
gene_4627549,3493
gene_3580147,3473
gene_3371006,3463
gene_3867259,3457
gene_2850056,3427
gene_4330949,3422
gene_4164876,3421
gene_4040662,3417
gene_3393628,3415
gene_3790903,3412
gene_3590518,3396
gene_4420630,3396
gene_4021122,3394
gene_4282247,3389
gene_3567414,3385
gene_3649150,3380
gene_1943947,3375
gene_4075667,3375
gene_4264534,3366
gene_3868912,3362
gene_3042132,3361
gene_3257034,3360
gene_4489856,3354
gene_4623567,3353
gene_4499431,3353
gene_3101065,3350
gene_3544973,3349
gene_4100199,3342
gene_3291045,3339
gene_3857775,3338
gene_3862165,3337
gene_4172273,3337
gene_3772239,3335
gene_3210147,3333
gene_2803613,3330
gene_3824167,3327
gene_4495409,3327
gene_2646438,3297
gene_3845823,3292
gene_3465828,3284
gene_4203002,3282
gene_2912316,3278
gene_4401297,3275
gene_3746759,3273
gene_3347464,3269
gene_3461286,3251
gene_4539942,3248
gene_4032910,3245
gene_3037461,3234
gene_3667044,3232
gene_4462425,3231
gene_3323454,3224
gene_3251230,3221
gene_4410387,3212
gene_3101473,3206
gene_2928338,3206
gene_3361691,3201
gene_2095992,3194
gene_4028544,3190
gene_3630863,3184
gene_4025509,3177
gene_2609743,3173
gene_4158462,3170
gene_4508703,3166
gene_4274197,3164
gene_3273310,3154
gene_3445319,3153
gene_4234918,3149
gene_3042080,3146
gene_4408765,3145
gene_4320139,3132
gene_3363819,3130
gene_4423019,3128
gene_3612590,3119
gene_3842103,3118
gene_4055190,3117
gene_4274272,3115
gene_4501677,3109
gene_4410467,3106
gene_3581102,3105
gene_2762987,3105
gene_4218769,3102
gene_3869673,3098
gene_3862761,3095
gene_3904066,3087
gene_3305502,3084
gene_4634338,3081
gene_4517226,3077
gene_3052838,3076
gene_3057548,3074
gene_3318738,3073
gene_4513499,3068
gene_4046817,3063
gene_4106559,3061
gene_4339977,3056
gene_4309498,3056
gene_3939091,3046
gene_4633058,3043
gene_4041724,3041
gene_4406399,3030
gene_4304448,3020
gene_4316493,3011
gene_4253614,3011
gene_3470073,2990
gene_2657735,2990
gene_4135494,2989
gene_4036515,2979
gene_4595680,2976
gene_4467399,2968
gene_3803066,2968
gene_4229339,2967
gene_3588999,2963
gene_3335067,2954
gene_3452612,2951
gene_3394445,2949
gene_3295111,2948
gene_3705808,2944
gene_4281171,2943
gene_3569353,2940
gene_2891508,2938
gene_3395763,2938
gene_3891396,2935
gene_4546409,2923
gene_2762763,2916
DSM22607_4_GL0340256,2913
gene_3615601,2911
gene_3841170,2904
gene_4617382,2902
gene_4346442,2899
gene_3876445,2893
gene_3670427,2892
gene_3608730,2887
gene_3919810,2884
gene_4443786,2884
gene_3967408,2877
gene_4540942,2875
gene_4540577,2869
gene_4135100,2867
gene_3495998,2856
gene_4420533,2847
gene_4489862,2835
gene_4279215,2834
gene_4453499,2834
gene_3792451,2832
gene_4305460,2830
gene_3968139,2829
gene_3149382,2826
gene_3767204,2822
gene_3176526,2820
gene_3600794,2816
gene_3721277,2810
gene_3191491,2807
gene_3147416,2800
gene_3701764,2794
gene_4403355,2790
gene_3016781,2789
gene_3036178,2788
gene_4566288,2774
gene_3911867,2771
gene_3048704,2761
gene_4406968,2759
gene_4612043,2757
gene_4258902,2756
gene_3536024,2756
gene_3209101,2746
gene_2217371,2740
gene_4287915,2737
gene_4118449,2731
gene_4220068,2727
gene_4147144,2710
gene_3213901,2704
gene_4492961,2704
gene_2905495,2703
gene_4632305,2701
gene_1958653,2700
gene_4432102,2698
gene_4529292,2698
gene_3696813,2691
gene_4108300,2682
gene_3929361,2681
gene_4502224,2679
gene_2837782,2676
gene_4014806,2669
gene_4320912,2666
gene_4160447,2666
gene_2653875,2663
gene_3758893,2661
gene_3638660,2658
gene_4216701,2656
gene_3913077,2654
gene_3241815,2647
gene_3473110,2647
gene_4434951,2642
gene_4044965,2639
gene_3970794,2636
gene_3471875,2633
gene_3651666,2611
gene_4307382,2577
gene_4299436,2575
gene_3969514,2574
gene_2855783,2571
gene_2902355,2570
gene_4050456,2569
gene_4019895,2555
gene_2115899,2555
gene_2988422,2553
gene_3631341,2550
gene_3576352,2545
gene_3555335,2524
gene_3247777,2522
gene_3764696,2507
gene_2596772,2500
gene_4591505,2493
gene_4485092,2489
gene_4353641,2485
gene_3585500,2475
gene_4603222,2475
gene_3277055,2474
gene_4253810,2472
gene_4534171,2471
gene_3992708,2471
gene_4032535,2447
gene_3572156,2435
gene_3880524,2430
gene_4241412,2430
gene_4085699,2427
gene_3873906,2427
gene_3384069,2423
gene_4420132,2422
gene_3412541,2420
gene_3818861,2407
gene_4315453,2406
gene_3178395,2402
gene_4216838,2400
gene_3230397,2385
gene_3888271,2381
gene_4484121,2381
gene_3675602,2379
gene_3217843,2376
gene_3918469,2375
gene_3008714,2374
gene_3656140,2368
gene_3896904,2364
gene_3545078,2361
gene_3762565,2360
gene_4422374,2358
gene_3896903,2356
gene_3885384,2355
gene_4043077,2353
gene_3159664,2349
gene_4263639,2348
gene_3947041,2340
gene_3902442,2336
gene_4573738,2325
gene_3824923,2322
gene_4633740,2322
gene_4433565,2321
gene_3750089,2317
gene_4606530,2297
gene_4609966,2296
gene_3250147,2291
gene_3685730,2291
gene_3032996,2291
gene_4625580,2288
gene_4378487,2279
gene_3935885,2274
gene_4383681,2266
gene_4529375,2265
gene_3433147,2262
gene_2485364,2261
gene_4540508,2261
gene_3343755,2261
gene_3746756,2256
gene_3730402,2254
gene_3391546,2254
gene_4419114,2248
gene_3587112,2248
gene_2476697,2242
gene_2839179,2240
gene_3217844,2235
gene_3314902,2235
gene_3789039,2231
gene_3978143,2230
gene_4483277,2226
gene_4497719,2220
gene_4151035,2214
gene_4123435,2213
gene_3986654,2209
gene_4222121,2190
gene_4036360,2185
gene_3544107,2179
gene_4395000,2177
gene_4601967,2176
gene_3249762,2174
gene_4096662,2171
gene_4466754,2166
gene_4317122,2163
gene_3302001,2162
gene_3646316,2159
gene_3617341,2155
gene_3440800,2153
gene_3361261,2146
gene_4309799,2143
gene_3414790,2141
gene_4568437,2138
gene_2736075,2137
gene_3867818,2137
gene_3128801,2125
gene_4471536,2122
gene_3408849,2122
gene_4021958,2121
gene_3635121,2115
gene_3110449,2114
gene_3675601,2114
gene_4142584,2112
gene_4009535,2106
gene_3913538,2103
gene_3673122,2086
gene_3544564,2086
gene_3154619,2085
gene_4626142,2084
gene_3546772,2083
gene_4217315,2078
gene_4544228,2076
gene_3188931,2074
gene_3831705,2070
gene_3374861,2059
gene_4329853,2056
gene_4493120,2056
gene_3393630,2045
gene_4265317,2045
gene_4183762,2043
gene_4065008,2039
gene_3385642,2039
gene_3520790,2039
gene_4214772,2037
gene_4157882,2033
gene_4628276,2029
gene_4542301,2015
gene_2986687,2015
gene_4169428,2009
gene_3221436,2002
gene_4467509,2002
gene_4497716,1997
gene_3684198,1995
gene_2677191,1993
gene_3256291,1991
gene_3534785,1991
gene_4304252,1990
gene_3782941,1988
gene_3894563,1981
gene_3209751,1975
gene_4416358,1973
gene_3461831,1972
gene_3573521,1969
gene_4346760,1967
gene_4139158,1966
gene_2478969,1964
gene_3470408,1962
gene_3419734,1957
gene_4153791,1951
gene_3020502,1943
gene_3000862,1937
gene_4414410,1934
gene_4200727,1932
gene_4375746,1926
gene_4265553,1923
gene_4160203,1920
gene_4548236,1919
gene_2400855,1912
gene_3818620,1909
gene_4615338,1907
gene_4566746,1902
gene_3740128,1900
gene_3521261,1899
gene_4629454,1896
gene_4609872,1896
gene_4157349,1895
gene_4474935,1893
gene_2933446,1891
gene_3870295,1887
gene_3988271,1886
gene_3724218,1886
gene_4624028,1885
gene_3985860,1882
gene_3980224,1881
gene_2736174,1877
gene_4218946,1877
gene_3264320,1872
gene_4333487,1871
gene_4018366,1871
gene_4088307,1871
gene_4059909,1858
gene_2788973,1857
gene_3825579,1857
gene_4436960,1855
gene_4562190,1851
gene_4250014,1849
gene_3049061,1848
gene_1924892,1841
gene_4503882,1840
gene_4394211,1834
gene_4348081,1833
gene_4040747,1832
gene_3136800,1829
gene_4088308,1828
gene_3558225,1822
gene_3986267,1807
gene_4463221,1806
gene_4209155,1800
gene_2836625,1800
gene_3847211,1800
gene_4548882,1799
gene_3211338,1797
gene_4073625,1795
gene_4485091,1795
gene_3823488,1783
gene_3784095,1782
gene_4622830,1781
gene_4304251,1780
gene_4492526,1773
gene_4137251,1767
gene_3314169,1763
gene_3945907,1762
gene_4520153,1760
gene_4509529,1758
gene_2794975,1758
gene_3317329,1739
gene_4146198,1738
gene_3996218,1736
gene_4474117,1732
gene_4329657,1730
gene_4632783,1728
gene_4087327,1726
gene_4080173,1724
gene_1873664,1719
gene_4306960,1719
gene_3575890,1717
gene_3780972,1709
gene_2347056,1709
gene_3497191,1701
gene_2525169,1700
gene_4616863,1698
gene_2560333,1698
gene_3477282,1698
gene_3992068,1696
gene_4310092,1694
gene_3911803,1690
gene_3653030,1688
gene_3701333,1687
gene_4218945,1683
gene_3742710,1681
gene_4447285,1680
gene_4034273,1679
gene_3934547,1678
gene_4435122,1672
gene_3782836,1665
gene_4006072,1660
gene_3589527,1660
gene_3089759,1655
gene_4089409,1655
gene_3873057,1647
gene_4557870,1635
gene_3535619,1634
gene_4086729,1634
gene_4321820,1631
gene_3485290,1629
gene_3913946,1628
gene_4387186,1627
gene_4500981,1626
gene_4257777,1625
gene_3755259,1623
gene_4003577,1613
gene_4348083,1606
gene_3738895,1605
gene_4132721,1604
gene_4611458,1601
gene_4172081,1599
gene_4598259,1595
gene_3866491,1595
gene_4203263,1591
gene_3955079,1590
gene_4445564,1586
gene_3244653,1585
gene_4604030,1583
gene_4458882,1579
gene_3314903,1576
gene_3728839,1575
gene_3986867,1573
gene_2481200,1573
gene_3360103,1571
gene_3247778,1571
gene_3377575,1566
gene_3789038,1566
gene_4016255,1565
gene_4503527,1564
gene_3144828,1562
gene_2855784,1562
gene_3209099,1559
gene_3432626,1558
gene_3752730,1558
gene_3378237,1558
gene_3259552,1557
gene_4317560,1557
gene_4523717,1550
gene_4153792,1550
gene_3947896,1546
gene_3238698,1546
gene_4305320,1543
gene_4580872,1537
gene_3511474,1532
gene_3053565,1531
gene_4067681,1525
gene_4215772,1525
gene_4577249,1515
gene_4249474,1513
gene_4448664,1513
gene_4513875,1504
gene_4265295,1494
gene_4218354,1490
gene_4513989,1485
gene_4222117,1485
gene_4596036,1483
gene_3524792,1480
gene_4033660,1477
gene_3979507,1471
gene_2974536,1471
gene_4612983,1470
gene_3312054,1465
gene_3598423,1463
gene_3940249,1462
gene_2947255,1461
gene_3045510,1460
gene_4158416,1458
gene_4493590,1458
gene_3835586,1458
gene_3977405,1458
gene_3723278,1458
gene_4282880,1452
gene_3584032,1451
gene_3913539,1451
gene_4389477,1449
gene_4500980,1446
gene_3245032,1445
gene_4147143,1445
gene_2851782,1439
gene_4222118,1436
gene_3098645,1433
gene_4517282,1430
gene_3940284,1426
gene_3477059,1425
gene_3576986,1425
gene_4330948,1420
gene_3269065,1417
gene_3825342,1417
gene_4023847,1415
gene_4494409,1414
gene_2953684,1414
gene_4009128,1412
gene_2256624,1410
gene_4334389,1409
gene_4573431,1406
gene_4030929,1405
gene_2844581,1404
gene_4489830,1398
gene_4465933,1397
gene_4258089,1390
gene_3836959,1389
gene_3840599,1389
gene_3501541,1380
gene_2583973,1376
gene_2517279,1375
gene_3396364,1372
gene_3271895,1370
gene_3921369,1370
gene_4128625,1368
gene_3649676,1368
gene_4299283,1367
gene_3611523,1367
gene_3910325,1363
gene_4504041,1360
gene_3866419,1358
gene_4231947,1355
gene_4128623,1353
gene_4308971,1348
gene_4298553,1347
gene_3388185,1347
gene_4089261,1345
gene_3583194,1343
gene_4382972,1341
gene_3892935,1340
gene_4545438,1339
gene_4542087,1335
gene_3805266,1335
gene_2876811,1335
gene_4053958,1334
gene_4527917,1333
gene_2507054,1332
gene_4280827,1329
gene_3137781,1329
gene_4483988,1326
gene_4499699,1322
gene_3517306,1321
gene_4392938,1321
gene_3886870,1320
gene_3431941,1317
gene_4426549,1317
gene_3688249,1315
gene_3868655,1314
gene_4528196,1313
gene_2659887,1311
gene_3963734,1300
gene_3740383,1293
gene_4238894,1293
gene_4378040,1293
gene_2938602,1293
gene_4474926,1293
gene_3574475,1292
gene_2398524,1288
gene_4231946,1282
gene_4244866,1282
gene_2828118,1278
gene_3716832,1277
gene_4358652,1276
gene_3659756,1274
gene_4321906,1274
gene_4051738,1271
gene_2658889,1269
gene_3414630,1260
gene_3391813,1258
gene_3616270,1254
gene_4383761,1254
gene_4090523,1250
gene_3366673,1249
gene_4392070,1248
gene_4347666,1246
gene_4542711,1245
gene_3736800,1245
gene_4411418,1243
gene_4413039,1240
gene_3987824,1239
gene_3624994,1234
gene_3558226,1234
gene_3996528,1230
gene_3611881,1229
gene_4586186,1227
gene_3736960,1226
gene_4513576,1222
gene_4593702,1218
gene_3371393,1216
gene_3224342,1215
gene_4467507,1214
gene_2791557,1206
gene_4042559,1206
gene_3762862,1205
gene_3546743,1202
gene_3664881,1201
gene_4308400,1200
gene_4630560,1197
gene_4099942,1197
gene_3788353,1192
gene_4495266,1191
gene_4410001,1190
gene_3769682,1189
gene_4578517,1189
gene_3203715,1188
gene_3768885,1187
gene_3596412,1182
gene_4179326,1180
gene_4330947,1178
gene_3293038,1178
gene_4483276,1177
gene_3252853,1175
gene_4373937,1175
gene_3319054,1173
gene_3405831,1169
gene_3532645,1169
gene_3942197,1162
gene_4107239,1161
gene_3971172,1158
gene_3524799,1156
gene_3447360,1153
gene_4566738,1149
gene_3876300,1147
gene_2651766,1146
gene_4179816,1146
gene_4430403,1146
gene_3811264,1144
gene_4105483,1143
gene_4502189,1142
gene_3356152,1141
gene_4089602,1140
gene_3930784,1139
gene_2891827,1138
gene_3008563,1134
gene_4168454,1134
gene_3944013,1132
gene_4437273,1131
gene_4152129,1125
gene_4528749,1123
gene_3009815,1121
gene_4155791,1119
gene_4622913,1118
gene_3250146,1118
gene_3340960,1117
gene_4099366,1116
gene_3930336,1111
gene_4485093,1109
gene_4131553,1109
gene_4149989,1108
gene_4225054,1107
gene_3656090,1106
gene_3920429,1102
gene_4622483,1102
gene_3552768,1101
gene_3420392,1100
gene_4055708,1097
gene_3525804,1095
gene_3701217,1094
gene_2684157,1093
gene_4585997,1093
gene_2226190,1092
gene_3656089,1090
gene_2892854,1089
gene_3804073,1088
gene_2777823,1088
gene_4372256,1081
gene_3170172,1079
gene_2889990,1079
gene_3740385,1079
gene_2762206,1078
gene_4117699,1077
gene_4615339,1073
gene_2775055,1071
gene_3979470,1067
gene_3300666,1066
gene_4101748,1066
gene_4246071,1065
gene_4037308,1063
gene_4210246,1063
gene_4516147,1062
gene_4252529,1062
gene_3992728,1062
gene_3208292,1060
gene_3470506,1060
gene_2794778,1057
gene_3410007,1056
gene_4363576,1056
gene_3840600,1054
gene_3878529,1050
gene_3998040,1049
gene_4246894,1046
gene_4525919,1046
gene_3293886,1044
gene_3991949,1044
gene_3835875,1043
gene_4618044,1042
gene_3508106,1041
gene_4007592,1039
gene_4001575,1038
gene_4385476,1037
gene_4018401,1029
gene_4080231,1029
gene_3962232,1028
gene_4434871,1028
gene_2658003,1025
gene_3986306,1023
gene_3052508,1022
gene_4255344,1022
gene_4529695,1021
gene_4638289,1021
gene_1930568,1016
gene_4604285,1013
gene_4505036,1012
gene_3229695,1011
gene_4062857,1011
gene_3748625,1011
gene_4261888,1011
gene_3846320,1009
gene_4105546,1008
gene_4131555,1005
gene_2688324,1004
gene_4408105,1003
gene_4120103,1002
gene_3431942,999
gene_4181468,996
gene_3790399,992
gene_4216341,991
gene_3367050,989
gene_2847653,989
gene_4279060,988
gene_4442437,988
gene_4153442,987
gene_4007919,987
gene_4146844,986
gene_3576356,986
gene_4013034,986
gene_3845096,985
gene_4513990,984
gene_4436151,980
gene_4467506,979
gene_3474526,979
gene_3158796,976
gene_3675437,973
gene_1797084,971
gene_3267496,970
gene_4456613,969
gene_4611670,968
gene_4364448,967
gene_3830070,967
gene_4073708,965
gene_3731283,965
gene_4321182,963
gene_3487708,962
gene_3422190,961
gene_3700930,961
gene_4269533,959
gene_4130003,958
gene_3992196,957
gene_4159504,957
gene_3515995,953
gene_3852974,952
gene_3920705,951
gene_3768162,951
gene_2195471,950
gene_3801155,949
gene_3359669,948
gene_4268601,948
gene_3335066,947
gene_4602238,945
gene_3917252,941
gene_3830681,939
gene_4635507,938
gene_4070299,937
gene_3533367,933
gene_4435123,930
gene_4182919,927
gene_2974748,926
gene_4325086,924
gene_4095889,923
gene_4369416,918
gene_4070916,916
gene_4274409,913
gene_4214791,913
gene_4137143,912
gene_4040375,911
gene_4612385,909
gene_3256987,908
gene_4412464,906
gene_4540214,905
gene_3892505,904
gene_4058617,904
gene_2870586,903
gene_4149240,903
gene_3864697,902
gene_3377577,901
gene_4039328,901
gene_2531463,900
gene_4382686,897
gene_4021342,897
gene_3720711,896
gene_3570235,896
gene_3443561,895
gene_3761497,894
gene_4337085,894
gene_4334077,893
gene_4103276,893
gene_4063114,891
gene_4529699,889
gene_3331940,888
gene_4110617,888
