gene,donor_3_jejunum
S-Fe12_GL0194872,680
NZ_KB822405.1_cds_WP_081610250.1_1009,598
NZ_QWMU01000084.1_cds_1994,329
NZ_QZFR01000025.1_cds_849,310
Food_4_GL0106761,309
S-Fe4_GL0128703,292
DSM22607_11_GL0316851,244
gene_3439165,207
NZ_KB822406.1_cds_1157,207
G1-6A_GL0053818,205
27_GL0045971,197
S-Fe10_GL0045964,195
OB-1_10_GL0251535,190
G1-3A_GL0080246,184
NZ_KB822406.1_cds_1159,177
NZ_KB822403.1_cds_691,173
NZ_KB822404.1_cds_692,173
HF-F_5_GL0085475,171
AF73-05_11_GL0275898,171
55_GL0009532,169
NZ_QZFR01000188.1_cds_595,168
MH-0-4_GL0038039,167
5-1_GL0074971,165
NZ_KB822406.1_cds_1161,162
S-Fe18_GL0020168,161
gene_4514596,158
gene_3340967,156
MC-0-3_GL0001816,154
DSM22607_11_GL0370843,153
HF-S_9_GL0071113,153
AF73-05_11_GL0046037,152
MC-6-3_GL0087791,152
8_GL0027972,149
gene_4360244,149
NZ_KB822406.1_cds_1158,146
G1-1A_GL0061196,146
gene_3584313,144
G1-1A_GL0003371,143
MC-6-4_GL0012793,142
gene_3439166,141
MC-0-3_GL0003246,140
gene_3952247,140
14_GL0058189,139
gene_4627422,139
NZ_QZFS01000220.1_cds_WP_004050805.1_3077,138
NZ_KB822407.1_cds_1387,136
S-Fe1_GL0167422,134
gene_4501438,133
gene_4622482,132
NZ_QWMU01000178.1_cds_489,131
2A-dyr13-07_GL0006950,131
30_GL0062622,128
gene_4561987,126
gene_4316990,123
gene_2947127,123
2A-dyr16-07_GL0048781,122
S-Fe3_GL0181323,122
gene_4284425,122
4_GL0010320,121
gene_4386762,120
25_GL0068702,120
gene_3330827,120
gene_4386171,119
gene_4016531,119
gene_4225958,118
S-Fe4_GL0030894,118
NZ_QZFR01000203.1_cds_719,118
gene_3001961,116
gene_4334201,116
NZ_QZFR01000077.1_cds_WP_129303338.1_2015,116
gene_3787930,115
gene_4108299,114
gene_4540942,113
gene_3516854,113
NZ_QZFR01000068.1_cds_WP_129303317.1_1848,113
gene_3052838,112
gene_3495998,111
OB-1_5_GL0351769,111
gene_3135983,110
gene_3989023,110
NZ_QZFR01000080.1_cds_2036,109
1A-dyr4-07_GL0053241,109
S-Fe20_GL0124125,109
MC-6-1_GL0026927,108
S-Fe10_GL0045963,108
gene_4330949,108
gene_4346856,108
gene_3703198,108
gene_3859809,107
gene_4627549,107
gene_3210366,107
DSM22607_6_GL0248821,106
5-3_GL0082678,106
gene_3101065,106
gene_3764696,105
gene_2850056,105
gene_3574173,105
gene_4419584,105
gene_3083162,105
42_GL0001482,105
MC-6-5_GL0105112,104
gene_2988422,104
gene_3557724,104
gene_4230078,103
gene_3290868,102
gene_3585500,102
gene_3364891,102
gene_4171501,102
S-Fe3_GL0172470,101
S-Fe8_GL0240717,101
gene_3818861,101
gene_4512024,100
gene_4508783,100
gene_3188931,100
gene_2928338,100
gene_3432174,100
gene_4253614,100
gene_3257034,99
gene_3613911,99
gene_4021349,99
DSM22607_5_GL0192626,98
gene_3433148,98
gene_4387326,98
gene_3580147,97
gene_4414410,97
gene_3919810,97
S-Fe3_GL0139158,96
gene_3702322,96
gene_3841170,96
gene_3868912,96
gene_2912316,95
gene_4036652,95
NZ_QWMU01000159.1_cds_365,95
gene_3057548,95
gene_4307382,94
gene_4495409,93
gene_3993385,93
gene_3440800,93
18_GL0176077,93
Food_13_GL0021402,92
MH-0-5_GL0001186,92
gene_3384069,91
gene_3250147,91
gene_2342657,91
gene_3670427,91
gene_3896903,90
Group2-1A_GL0058937,90
gene_4420133,90
gene_3649150,89
S-Fe3_GL0163914,89
gene_2095992,89
gene_2646438,89
gene_4346761,89
gene_3544973,89
1A-dyr3-06_GL0026888,89
gene_2891508,89
gene_4338190,89
gene_3911867,88
S-Fe4_GL0011540,88
gene_4339977,88
gene_3845823,88
gene_3461286,88
gene_3082022,87
gene_3947041,87
gene_3608730,87
gene_4423019,87
gene_3291045,87
gene_3246467,87
gene_3196730,87
gene_3260889,87
gene_4401297,86
gene_3790903,86
gene_4281171,86
gene_3888271,86
gene_2485364,86
gene_3721277,86
gene_3147171,86
MH-0-5_GL0001185,86
gene_3616653,85
gene_4489856,85
gene_3803066,85
S-Fe4_GL0116983,85
gene_3347464,84
NZ_NHMT01000001.1_cds_WP_065533348.1_1300,84
gene_4028544,84
gene_3361691,84
gene_4617382,83
gene_3393628,83
gene_4508703,83
gene_4274272,83
S-Fe9_GL0041582,83
gene_3549943,82
gene_4528138,82
gene_3394445,82
gene_4025509,82
gene_3867259,82
gene_4548882,82
gene_3658717,82
gene_4265553,81
gene_3371006,81
gene_3904066,81
gene_4513499,81
gene_3652454,81
Group2-2A_GL0154590,81
gene_3824167,81
gene_4219067,81
gene_4264534,81
gene_3465828,81
gene_4147251,81
gene_4508782,80
gene_4634338,80
gene_4014806,80
gene_4493120,80
gene_4329853,80
gene_4316177,80
gene_3612590,80
gene_3630863,80
gene_4218769,80
gene_4100199,80
gene_3808459,79
gene_4517226,79
gene_3470073,79
gene_3318738,79
gene_3988271,78
gene_3730402,78
gene_4344959,78
gene_4629613,77
gene_4135100,77
gene_4470407,77
gene_4529375,77
gene_3191491,77
gene_4287915,77
gene_4436960,76
gene_4622830,76
gene_3857775,76
gene_4316493,76
gene_3939091,76
gene_3792451,76
gene_3750089,76
gene_4007429,76
gene_3414790,76
gene_4043077,76
gene_3042080,76
gene_4420132,76
gene_4410387,75
gene_3546772,75
gene_2837782,75
gene_4305320,75
gene_2762987,75
gene_4492961,75
gene_4065008,75
gene_3363819,75
49_GL0033178,75
gene_4282247,75
9_GL0006683,75
gene_3740128,75
gene_4032910,74
gene_3667044,74
gene_4534171,74
gene_3471875,74
gene_2609743,74
gene_3365448,74
gene_3575890,74
gene_4033660,74
gene_4229339,74
gene_4203002,73
gene_4135494,73
gene_4623567,73
gene_4453499,73
gene_4231947,73
gene_2478969,73
gene_3323454,73
gene_4040662,73
NZ_KB822407.1_cds_1524,73
gene_4164876,73
gene_4158462,73
gene_3728839,72
gene_4304448,72
gene_3477059,72
gene_4499431,72
gene_3842103,72
MC-0-3_GL0014214,72
Group2-2A_GL0024085,72
gene_3862761,72
2A-dyr13-07_GL0039748,72
gene_3273310,72
gene_3587112,72
gene_4151035,72
gene_4305460,72
MC-0-3_GL0002248,72
gene_3210147,72
gene_4257777,71
gene_4346442,71
gene_3696813,71
gene_4408765,71
gene_4539942,71
gene_3967408,71
gene_3762565,71
gene_3772239,71
gene_4075667,71
gene_1943947,71
gene_4147144,71
gene_3847211,71
gene_3101473,71
gene_3037461,71
gene_4234918,71
gene_4462425,70
gene_3089759,70
gene_3590518,70
gene_3685730,70
gene_3473110,70
gene_3921369,70
AF73-05_9_GL0078833,70
gene_3581102,70
OB-1_8_GL0006709,70
gene_4021122,70
gene_3673122,70
gene_3567414,70
gene_4203264,70
gene_4055190,70
gene_3512454,70
gene_4483277,70
gene_4420630,70
gene_4041724,70
gene_3042132,69
gene_3445319,69
gene_3534785,69
gene_4309498,69
gene_4493590,69
gene_3891396,69
gene_4274197,69
gene_3969514,69
gene_2851782,69
gene_3036178,69
gene_3746759,69
gene_3159664,69
gene_3378237,69
gene_4106559,69
gene_4484121,69
gene_3305502,69
gene_4604030,68
NZ_QWMU01000013.1_cds_WP_119448175.1_280,68
gene_3347716,68
gene_4036515,68
gene_3137781,68
gene_4410467,68
gene_4406968,68
gene_4132721,68
gene_2803613,68
gene_4540577,68
gene_3251230,68
S-Fe20_GL0100938,67
gene_4172273,67
