gene,noFMT_1_colon
NZ_RAYI01000046.1_cds_WP_121737090.1_2698,169
13_GL0032366,137
AF73-05_11_GL0055617,115
G1-1A_GL0093296,114
NZ_RAYW01000046.1_cds_WP_121700307.1_2029,110
5_GL0008795,99
NZ_NHMU01000004.1_cds_WP_065538169.1_2751,99
10_GL0017135,98
gene_3299502,96
NZ_CP021421.1_cds_WP_068960215.1_155,90
gene_2427730,89
NZ_RAYW01000046.1_cds_WP_121700317.1_2039,89
MH-0-5_GL0000330,82
S-Fe12_GL0126994,74
NZ_NHMU01000001.1_cds_WP_065537559.1_1061,73
gene_2943392,73
S-Fe12_GL0057299,72
10_GL0055282,71
S-Fe20_GL0190463,70
10_GL0055280,69
1-1_GL0095568,68
HF-F_1_GL0172422,67
NZ_CP021421.1_cds_WP_068960594.1_815,67
7-3_GL0097465,67
26_GL0073322,63
AF73-05_8_GL0389550,61
gene_3581654,61
S-Fe11_GL0030058,60
S-Fe10_GL0125360,59
gene_3672438,57
34_GL0081378,57
gene_3215381,57
gene_3011879,57
AF73-05_1_GL0393512,55
Chow_4_GL0320013,55
AF73-05_3_GL0412672,54
2-2_GL0151369,53
MC-0-3_GL0023855,53
13_GL0051130,53
gene_4256810,52
gene_3584313,51
MH-0-5_GL0017868,50
13_GL0042852,50
1-1_GL0030075,50
gene_4391312,49
gene_3340967,49
gene_4501438,48
gene_4016531,48
gene_4108299,48
gene_3952247,48
AF73-05_13_GL0103614,47
S-Fe13_GL0034612,46
gene_4386762,46
gene_4622482,46
gene_3330827,45
gene_4463347,45
MC-6-1_GL0056580,45
G1-1A_GL0045135,45
S-Fe19_GL0079247,44
gene_4225958,44
Food_7_GL0306114,44
gene_2912316,44
G1-1A_GL0112724,43
gene_3787930,43
gene_2947127,43
G1-1A_GL0115054,43
gene_4386171,42
gene_4316990,42
Food_6_GL0330513,42
gene_3557724,42
NZ_RAYW01000020.1_cds_WP_088294826.1_749,42
MH-0-3_GL0059544,42
gene_3135983,42
gene_4561987,42
G1-1A_GL0002588,41
gene_3001961,41
gene_3574173,41
gene_3345610,41
gene_3516854,41
gene_3989023,41
gene_4248368,40
MC-6-4_GL0023880,40
MC-6-1_GL0013098,40
gene_4627549,40
28_GL0081835,40
DSM22607_7_GL0146683,39
gene_3703198,39
gene_3670427,39
MC-0-1_GL0112760,39
gene_4284425,39
MH-0-5_GL0011084,39
S-Fe16_GL0024794,39
Chow_2_GL0203572,38
4-4_GL0076807,38
NZ_CP021421.1_cds_WP_068959865.1_594,37
gene_3083162,37
gene_4419584,37
33_GL0055062,37
gene_3257034,37
36_GL0031877,37
gene_4036652,37
gene_3764696,37
gene_3101065,37
gene_4387326,36
gene_4508783,36
gene_2515739,36
gene_4171501,36
MH-6-3_GL0034807,36
gene_3461286,36
gene_4425055,36
gene_3868912,36
gene_4281171,36
gene_3210366,36
gene_3859809,35
gene_3750089,35
37_GL0074612,35
gene_3052838,35
gene_4508703,35
gene_4334201,35
G1-1A_GL0096548,35
HF-F_3_GL0203807,35
gene_2928338,35
gene_3364891,34
G1-1A_GL0002589,34
gene_2646438,34
MC-6-1_GL0015589,34
gene_3432174,34
gene_3495998,34
gene_3613911,33
gene_4617382,33
gene_4420133,33
gene_4021349,33
gene_3433148,33
MC-6-1_GL0113848,33
G1-1A_GL0114738,33
MC-0-1_GL0117826,33
gene_3580147,33
gene_4346856,33
G1-1A_GL0048809,33
Group2-6A_GL0145598,33
gene_4253614,33
gene_4495409,33
gene_3649150,33
gene_4414410,33
gene_3290868,33
4-3_GL0022541,33
