gene,noFMT_1_duodenum
gene_3584313,4241
gene_3340967,4211
gene_4501438,3757
gene_2947127,3744
gene_3787930,3717
gene_3952247,3683
gene_4561987,3588
gene_4622482,3580
gene_4108299,3549
gene_4016531,3537
gene_3101065,3532
gene_4225958,3531
gene_3516854,3516
gene_4316990,3509
gene_3703198,3368
gene_3433148,3339
gene_4540942,3300
gene_4386762,3278
gene_4036652,3266
gene_3001961,3233
gene_4284425,3222
gene_3330827,3209
gene_4386171,3151
gene_3495998,3141
gene_3989023,3112
gene_3993385,3112
gene_3135983,3046
gene_4423019,3027
gene_4338190,2989
gene_3052838,2988
gene_4419584,2982
gene_3764696,2975
gene_4334201,2963
gene_3859809,2948
gene_2912316,2897
gene_2988422,2881
gene_3260889,2877
gene_3210366,2849
gene_2928338,2838
gene_2342657,2822
gene_3557724,2802
gene_4627549,2798
gene_4330949,2794
gene_3818861,2789
gene_2850056,2780
gene_4171501,2771
gene_3364891,2762
gene_3574173,2757
gene_4346856,2751
gene_4387326,2745
gene_3613911,2744
gene_3384069,2734
gene_3083162,2720
gene_3432174,2710
gene_4508783,2700
gene_3585500,2700
gene_3616653,2697
gene_3702322,2692
gene_3257034,2677
gene_4100199,2657
gene_4344959,2651
gene_3888271,2649
gene_4203264,2645
gene_3896903,2638
gene_3549943,2636
gene_3658717,2610
gene_3365448,2610
gene_4508782,2609
gene_4339977,2606
gene_3290868,2600
gene_3670427,2595
gene_3188931,2590
gene_3246467,2584
gene_3147171,2578
gene_4495409,2577
gene_4346761,2575
gene_4629613,2574
gene_3947041,2573
gene_3730402,2566
gene_3371006,2565
gene_4021349,2561
gene_4147251,2560
gene_3868912,2555
gene_4512024,2545
gene_3082022,2534
gene_3808459,2532
gene_4264534,2532
gene_4528138,2527
gene_4420133,2521
gene_3845823,2509
gene_4623567,2506
gene_3867259,2504
gene_2646438,2503
gene_3440800,2501
gene_3652454,2501
gene_4307382,2493
gene_3057548,2493
gene_3790903,2486
gene_4021122,2486
gene_3649150,2484
gene_3580147,2478
gene_3361691,2478
gene_3919810,2470
gene_3461286,2470
gene_3824167,2466
gene_4028544,2463
gene_4007429,2458
gene_4253614,2445
gene_3750089,2444
gene_4316177,2444
gene_2485364,2430
gene_3630863,2428
gene_3196730,2426
gene_4219067,2420
gene_4274197,2415
gene_3291045,2411
gene_3210147,2400
gene_3393628,2393
gene_4329853,2393
gene_4218769,2382
gene_3251230,2381
gene_3544973,2379
gene_4470407,2377
gene_4032910,2376
gene_3363819,2376
gene_4158462,2371
gene_4282247,2365
gene_4493120,2360
gene_3667044,2359
gene_4466755,2358
gene_4634338,2354
gene_3842103,2352
gene_4517226,2348
gene_4414410,2346
gene_4513499,2343
gene_4316493,2337
gene_4508703,2329
gene_4401297,2328
gene_3857775,2326
gene_2095992,2325
gene_3772239,2322
gene_2762987,2321
gene_4055190,2318
gene_3347716,2318
gene_3101473,2318
gene_3939091,2316
gene_4164876,2313
gene_4281171,2310
gene_4408765,2310
