gene,noFMT_1_jejunum
2-5_GL0035462,375
Group2-3A_GL0163490,345
NZ_RAYR01000060.1_cds_WP_120413911.1_3031,239
G1-5A_GL0013249,234
G1-4A_GL0025682,221
gene_2327909,210
2A-dyr14-07_GL0030982,210
MH-6-1_GL0035655,204
3-5_GL0076314,162
NZ_RAYF01000034.1_cds_WP_120436764.1_1623,159
OB-1_8_GL0041334,153
gene_2968044,152
NZ_OFSM01000063.1_cds_WP_103242611.1_4583,150
2791814155,147
NZ_KB822441.1_cds_WP_004068262.1_7,146
DSM22607_12_GL0287546,144
NZ_QZFS01000133.1_cds_WP_129184053.1_1006,143
Chow_5_GL0351592,142
Chow_1_GL0012026,142
NZ_RAZD01000060.1_cds_WP_120422901.1_2914,141
NZ_RAYU01000833.1_cds_WP_120476277.1_6781,138
NZ_KB822478.1_cds_1925,136
G1-2A_GL0045231,135
NZ_RAYM01000073.1_cds_WP_120437476.1_3571,135
NZ_RAZK01000209.1_cds_WP_016303809.1_2213,134
NZ_RAYB01000069.1_cds_WP_121708480.1_3355,133
NZ_RAYQ01000001.1_cds_1507,133
NZ_KI535321.1_cds_WP_023346812.1_1189,132
NZ_RAYB01000067.1_cds_WP_121708463.1_3183,129
NZ_RAZD01000030.1_cds_WP_120422098.1_2074,128
3_GL0060443,128
NZ_KB822478.1_cds_WP_004056581.1_1973,128
G1-8A_GL0080836,128
NZ_RAZE01000038.1_cds_WP_120400864.1_2691,125
NZ_QZFS01000146.1_cds_WP_129184292.1_1341,124
NZ_RAYF01000043.1_cds_WP_120436726.1_2204,122
NZ_RAZD01000043.1_cds_WP_120422743.1_2616,122
NZ_RAYQ01000015.1_cds_WP_120470972.1_721,121
NZ_OFSM01000084.1_cds_WP_103242748.1_2771,121
NZ_OFSM01000044.1_cds_WP_103242229.1_5530,121
NZ_RAYY01000040.1_cds_WP_120424430.1_3346,120
NZ_KB822458.1_cds_WP_004076930.1_3257,117
NZ_KB822500.1_cds_WP_004065201.1_4883,116
NZ_OFSM01000066.1_cds_WP_103242647.1_4618,115
NZ_RAZA01000074.1_cds_WP_016222257.1_4016,115
Group2-3A_GL0028247,114
3A-dyr30-06_GL0008157,114
NZ_NHTR01000003.1_cds_WP_065548059.1_4318,113
NZ_OFSM01000088.1_cds_WP_103242757.1_2921,112
S-Fe16_GL0090202,110
gene_3817247,110
NZ_RAYE01000055.1_cds_WP_120446322.1_3924,109
5-7_GL0029851,109
G1-4A_GL0030379,104
Group2-5A_GL0055929,104
NZ_OFSM01000024.1_cds_WP_103241356.1_3113,104
gene_1924700,103
12_GL0015052,103
gene_4623818,101
S-Fe16_GL0068054,100
6-6_GL0081729,99
6-2_GL0088401,96
NZ_RAZF01000015.1_cds_WP_120427723.1_306,95
33_GL0092606,93
Food_5_GL0145067,93
gene_3754113,92
S-Fe12_GL0095073,91
Food_10_GL0076131,91
NZ_RAYQ01000037.1_cds_WP_120472171.1_2648,88
HF-F_12_GL0030588,87
S-Fe17_GL0109906,86
Food_2_GL0191617,86
11_GL0132496,86
5-5_GL0091159,85
gene_2321035,84
Food_14_GL0307805,84
5-1_GL0010181,84
gene_3863025,81
gene_3886737,80
gene_2199478,80
20_GL0056251,79
2B-dyr19-06_GL0022254,79
2-3_GL0042629,76
HF-F_14_GL0350098,74
32_GL0007825,74
MH-6-1_GL0057409,74
S-Fe2_GL0178879,73
NZ_NHTR01000003.1_cds_WP_065548053.1_4324,73
2A-dyr14-06_GL0065613,73
G1-1A_GL0039741,72
NZ_QZFS01000189.1_cds_WP_129184632.1_2167,72
gene_1449219,72
NZ_RAZK01000218.1_cds_WP_120487251.1_2331,70
NZ_KB822478.1_cds_WP_004056592.1_1978,70
NZ_KB822478.1_cds_WP_004056503.1_1920,69
11_GL0033718,69
NZ_OFSM01000055.1_cds_WP_103242498.1_4919,69
NZ_RAYQ01000015.1_cds_WP_120470982.1_726,68
gene_700590,68
NZ_RAYQ01000037.1_cds_WP_120472174.1_2653,67
ERR1212009_Scaf5_265,67
gene_3814939,66
S-Fe6_GL0126359,66
6-2_GL0078403,66
S-Fe12_GL0108703,66
AF73-05_1_GL0120460,65
G1-4A_GL0014148,65
gene_1561126,65
HF-F_4_GL0260469,65
42_GL0066390,64
Food_10_GL0233507,63
5-5_GL0030129,63
2-6_GL0047092,62
gene_3676666,62
NZ_RAYI01000046.1_cds_WP_121737090.1_2698,61
S-Fe3_GL0060256,61
MC-6-4_GL0087776,60
NZ_OFSM01000014.1_cds_1719,60
4-4_GL0058737,60
6-5_GL0126034,59
1-8_GL0053236,58
NZ_QZFS01000063.1_cds_7281,58
gene_4241816,58
1A-dyr5-07_GL0033496,58
MH-6-2_GL0074797,58
ERR1212009_Scaf94_2029,57
1-5_GL0048928,56
gene_1940875,56
G1-1A_GL0060147,56
Chow_6_GL0216661,56
Group2-2A_GL0041543,56
Chow_1_GL0126334,56
Food_9_GL0071626,56
Chow_7_GL0281912,56
6-8_GL0031338,55
7-4_GL0043918,55
gene_2216226,55
gene_1286955,55
HF-F_11_GL0114772,55
NZ_CP021421.1_cds_WP_068960215.1_155,54
S-Fe19_GL0101566,54
Chow_8_GL0077179,54
38_GL0133839,54
NZ_RAZK01000244.1_cds_2668,54
NZ_RAYY01000062.1_cds_4357,53
Chow_6_GL0153793,53
2-1_GL0085161,53
6-6_GL0116611,52
7-5_GL0046790,52
S-Fe13_GL0032039,52
8-2_GL0019311,52
gene_3618098,51
2-1_GL0100303,51
4-4_GL0089721,51
gene_3433148,50
6-3_GL0088492,50
AF73-05_2_GL0393295,50
NZ_QZFS01000062.1_cds_7222,49
G1-1A_GL0033864,49
gene_645444,49
gene_2342657,49
gene_2901739,49
Chow_8_GL0152130,48
gene_4629613,48
Food_11_GL0090114,48
gene_3993385,48
13_GL0023970,48
6-7_GL0097615,48
Chow_5_GL0325698,48
S-Fe8_GL0153074,48
gene_3827266,47
Group2-2A_GL0082168,47
NZ_NHTR01000001.1_cds_890,47
NZ_QZFS01000302.1_cds_WP_129184968.1_4275,47
gene_4316990,46
gene_3845823,46
G1-1A_GL0093296,46
S-Fe8_GL0140631,46
gene_4189273,46
G1-7A_GL0095691,46
gene_4334201,45
HF-S_1_GL0277936,45
Chow_6_GL0032100,45
gene_4623567,45
gene_3702322,45
NZ_KB822499.1_cds_WP_085951425.1_4376,45
gene_3432174,44
gene_3859809,44
gene_4387326,44
gene_4419584,44
S-Fe12_GL0124353,44
gene_3210366,44
gene_4470407,44
gene_4528138,44
gene_3364891,44
S-Fe19_GL0087399,44
gene_3290868,44
gene_3465828,44
gene_4338190,43
gene_4203264,43
gene_4339977,43
gene_3257034,43
G1-4A_GL0102511,43
gene_4036515,43
gene_3371006,43
1-3_GL0003185,43
11_GL0027228,43
gene_3246467,43
gene_3857775,43
gene_4309498,43
gene_3652454,43
gene_4508782,43
gene_4219067,43
gene_4326614,43
gene_3323454,43
Chow_1_GL0109165,43
gene_4100199,43
gene_3340967,43
gene_3260889,43
S-Fe6_GL0143585,43
gene_3196730,43
gene_4386171,42
gene_4406399,42
gene_3042132,42
NZ_OFSM01000118.1_cds_WP_103242815.1_25,42
gene_3772239,42
gene_3616653,42
gene_3365448,42
Chow_8_GL0012293,42
gene_4203002,42
gene_2928338,42
gene_4164876,42
NZ_KB822478.1_cds_WP_004056589.1_1976,42
gene_3042080,42
gene_3347716,42
gene_4075667,42
gene_3295111,42
gene_4316177,42
gene_3581102,42
gene_4316493,42
gene_4633058,42
gene_3318738,42
6-3_GL0099420,42
gene_3536024,42
gene_3147171,42
gene_3567414,42
gene_4007429,42
gene_3323909,42
gene_4284425,42
gene_3544973,42
gene_3445319,42
gene_2803613,42
gene_4420630,42
gene_4622482,42
gene_3590518,42
gene_4466755,42
gene_4040662,42
gene_3996215,42
gene_4346761,42
6-7_GL0075569,42
gene_4499431,42
gene_4021122,42
gene_4346856,42
S-Fe12_GL0152348,41
gene_1795248,41
gene_3082022,41
gene_3792451,41
gene_4136208,41
