gene,noFMT_3_ileum
S-Fe15_GL0005053,86
S-Fe11_GL0105764,82
Group2-8A_GL0122825,77
S-Fe11_GL0087890,76
gene_3992082,75
gene_4317493,73
gene_4483442,70
S-Fe16_GL0036741,69
S-Fe16_GL0051592,68
S-Fe14_GL0010621,68
gene_2607478,66
G1-2A_GL0049480,65
gene_4484764,65
26_GL0133170,63
gene_4584894,61
gene_4042304,60
S-Fe10_GL0024528,59
2-6_GL0063978,58
S-Fe16_GL0079807,56
gene_4582228,56
S-Fe19_GL0002935,52
MH-6-5_GL0074431,51
25_GL0073771,50
gene_4311401,50
S-Fe17_GL0047865,48
S-Fe16_GL0061303,48
2-8_GL0014320,47
11_GL0156550,46
50_GL0051014,46
S-Fe14_GL0001373,43
4-1_GL0009368,43
gene_2021856,41
gene_2512028,41
8-7_GL0023734,38
3-4_GL0018617,37
S-Fe11_GL0060805,37
5-1_GL0019758,37
gene_3796816,34
4-1_GL0056187,34
45_GL0167089,34
6-1_GL0046787,32
10_GL0030387,31
S-Fe8_GL0018695,31
S-Fe4_GL0096858,31
S-Fe10_GL0148840,30
10_GL0031267,30
8-7_GL0061235,30
1A-dyr2-07_GL0000960,30
4-5_GL0006861,28
S-Fe9_GL0001618,28
S-Fe11_GL0081091,28
55_GL0008753,27
1-1_GL0081298,27
50_GL0028196,26
gene_3478227,26
S-Fe14_GL0069598,24
3-2_GL0062485,23
gene_4515030,23
S-Fe18_GL0064456,22
gene_3584313,22
45_GL0033742,22
S-Fe10_GL0138032,22
gene_3921369,22
S-Fe19_GL0089378,22
gene_2747697,21
gene_3993385,21
gene_3052838,21
gene_3433148,21
S-Fe4_GL0131596,21
S-Fe16_GL0016063,20
gene_3947041,20
10_GL0030386,20
1A-dyr2-07_GL0044571,19
gene_3862165,19
gene_4265553,19
7_GL0069563,19
gene_3001961,19
gene_4016531,19
gene_4316990,18
gene_3495998,18
gene_3988271,18
DSM22607_4_GL0340256,18
gene_4548882,18
gene_3764696,18
gene_4501438,18
S-Fe1_GL0151621,18
10_GL0023860,18
gene_4338190,18
23_GL0021175,17
gene_3330827,17
gene_2928338,17
gene_4100199,17
S-Fe16_GL0061914,17
gene_3787930,17
gene_4316493,17
gene_4633740,17
gene_4622482,17
2-8_GL0047377,17
gene_3101065,17
gene_3613911,17
gene_4408765,16
S-Fe7_GL0275169,16
gene_4307382,16
gene_3616653,16
gene_4215772,16
gene_3696813,16
gene_3363819,16
3B-dyr31-06_GL0046482,16
gene_4021122,16
gene_4036652,16
10_GL0030964,16
gene_3137781,16
gene_4320139,16
gene_4495409,16
gene_4284425,16
gene_3251230,16
gene_3703198,16
gene_4203264,16
gene_3888271,16
gene_3600794,16
gene_4339977,16
gene_3516854,16
gene_4258902,16
gene_4282247,16
gene_4629613,16
7-5_GL0130021,15
6-2_GL0037695,15
gene_3845823,15
gene_2485364,15
gene_4108299,15
gene_4346761,15
gene_4032910,15
gene_4172273,15
gene_2988422,15
gene_4544228,15
gene_4528138,15
gene_3567414,15
gene_4540942,15
gene_3395763,15
gene_3260889,15
gene_4470407,15
gene_3590518,15
gene_4546409,15
gene_4164876,15
gene_4432102,15
gene_3544973,15
gene_3335067,15
gene_4539942,15
gene_3393628,15
gene_4147251,15
gene_3652454,15
gene_3702322,15
gene_4419584,15
gene_3911867,15
gene_3318738,15
gene_4329853,15
10_GL0012831,15
gene_4007429,15
gene_4075667,15
gene_4420533,15
2A-dyr13-07_GL0024692,15
gene_3859809,15
gene_3705808,15
gene_2762763,15
10_GL0008022,15
gene_4501677,15
gene_4344959,15
gene_3790903,15
gene_2922673,15
gene_3340967,15
gene_3612590,15
gene_3876445,15
gene_2653875,15
gene_4304448,15
gene_4423019,15
gene_4499431,15
gene_3658717,15
gene_3246467,15
gene_4386171,15
gene_2342657,15
gene_4040662,15
gene_4287915,15
gene_3746756,15
gene_4508783,15
gene_3792451,14
gene_4436960,14
gene_4633058,14
gene_3465828,14
gene_3549943,14
gene_3082022,14
gene_4041724,14
gene_4622830,14
gene_2850056,14
gene_4106559,14
gene_4489856,14
gene_3470073,14
gene_4203002,14
gene_3432174,14
gene_4118449,14
gene_3867259,14
gene_4346856,14
gene_2609743,14
gene_4036515,14
gene_3918469,14
gene_4443786,14
gene_3913946,14
gene_3042132,14
gene_4309498,14
gene_4264534,14
gene_4334201,14
S-Fe6_GL0203623,14
gene_2905495,14
gene_3291045,14
gene_3147171,14
gene_2095992,14
gene_4489862,14
gene_4406399,14
gene_4219067,14
gene_3575890,14
gene_3273310,14
gene_3857775,14
gene_3305502,14
gene_4505036,14
gene_4462425,14
gene_4316177,14
gene_4216701,14
gene_4410467,14
gene_3037461,14
gene_3615601,14
gene_3440800,14
gene_3772239,14
gene_3188931,14
gene_2657735,14
gene_4305460,14
gene_3808459,14
gene_3101473,14
gene_3581102,14
gene_4135494,14
gene_3818861,14
gene_4021349,14
gene_3290868,14
gene_3576352,14
gene_4422374,14
gene_3384069,14
gene_4529375,14
gene_4502224,14
gene_3196730,14
gene_4627549,14
gene_4158462,14
gene_3364891,14
gene_3250147,14
gene_4466755,14
gene_3210147,14
gene_3149382,14
gene_3651666,14
gene_4420630,14
gene_3588999,14
gene_4387326,14
