gene,postFMT_1_colon
gene_3340967,644
gene_4501438,597
gene_3584313,588
gene_4622482,581
gene_4016531,562
gene_3952247,555
gene_4036652,549
gene_3516854,549
gene_2947127,539
gene_4561987,537
gene_4225958,537
gene_4386762,534
gene_3787930,519
gene_3433148,519
gene_4316990,517
gene_4338190,513
gene_4108299,511
gene_3330827,505
gene_3989023,505
gene_4284425,502
gene_4386171,499
gene_3101065,498
gene_3260889,483
gene_4334201,483
gene_3135983,480
gene_4419584,477
gene_3703198,475
gene_3001961,469
gene_4171501,467
gene_3993385,463
gene_2342657,461
gene_3859809,458
gene_3702322,456
gene_4346856,449
gene_3210366,449
gene_4387326,446
gene_3616653,444
gene_3557724,444
gene_3083162,442
gene_2928338,440
gene_4330949,436
gene_3495998,436
gene_3246467,434
gene_3845823,434
gene_4540942,433
gene_3364891,433
gene_3365448,432
gene_4627549,432
gene_2850056,431
gene_3868912,431
gene_4344959,430
gene_2912316,429
gene_3371006,428
gene_4203264,428
gene_3613911,428
gene_3052838,426
gene_3658717,426
gene_3574173,423
gene_4629613,421
gene_3670427,418
gene_3652454,417
gene_4423019,417
gene_4147251,416
gene_4528138,414
gene_3549943,413
gene_4512024,413
gene_4420133,411
gene_3919810,409
gene_3432174,409
gene_4339977,408
gene_4508782,408
gene_4264534,405
gene_4508783,405
gene_3808459,405
gene_4623567,404
gene_4100199,402
gene_3257034,401
gene_3290868,400
gene_3649150,399
gene_3057548,398
gene_3347716,397
gene_4253614,397
gene_4346761,397
gene_3580147,396
gene_3291045,395
gene_3544973,394
gene_3461286,393
gene_3196730,392
gene_3210147,392
gene_3790903,391
gene_4021122,391
gene_4021349,391
gene_3147171,390
gene_3082022,390
gene_3042080,389
gene_4007429,389
gene_4219067,388
gene_4470407,387
gene_3361691,387
gene_3824167,386
gene_3857775,386
gene_3101473,386
gene_3764696,386
gene_4408765,385
gene_4466755,385
gene_2095992,385
gene_4495409,385
gene_4316177,384
gene_4032910,384
gene_3347464,384
gene_3772239,382
gene_4028544,382
gene_3867259,382
gene_3818861,381
gene_4410387,380
gene_4040662,380
gene_3630863,380
gene_3251230,378
gene_4617382,378
gene_3393628,377
gene_2762987,377
gene_4499431,377
gene_4203002,375
gene_2646438,374
gene_4513499,374
gene_4282247,374
gene_4316493,373
gene_4164876,373
gene_4420630,373
gene_4075667,372
gene_3862761,372
gene_4304448,371
gene_3904066,370
gene_4517226,370
gene_4218769,370
gene_4274272,370
gene_3363819,369
gene_3862165,368
gene_4274197,368
gene_4462425,368
gene_3803066,368
gene_2988422,367
gene_3590518,367
gene_3567414,365
gene_3939091,364
gene_3841170,364
gene_3869673,364
gene_4158462,363
gene_3667044,363
gene_4281171,362
gene_3465828,362
gene_3842103,361
gene_3042132,361
gene_4508703,361
gene_3888271,361
gene_3037461,360
gene_4229339,359
gene_4172273,359
gene_4489856,358
gene_3588999,358
gene_4307382,358
gene_4634338,358
gene_3705808,357
gene_3305502,357
gene_1943947,356
gene_2803613,356
gene_4401297,356
gene_4046817,354
gene_4055190,353
gene_4501677,352
gene_3384069,351
gene_4135100,351
gene_4025509,351
gene_4234918,350
gene_3896903,350
gene_3696813,350
gene_3746759,350
gene_3608730,349
gene_3730402,349
gene_3445319,349
gene_3585500,348
gene_2837782,348
gene_3721277,348
gene_4346442,347
gene_4539942,347
gene_3036178,345
gene_3612590,343
gene_4253810,343
gene_2609743,343
gene_3323454,342
gene_3452612,341
gene_3273310,341
gene_3295111,340
gene_3318738,339
gene_4453499,337
gene_3188931,336
DSM22607_4_GL0340256,335
gene_3581102,335
gene_4632305,335
gene_2217371,333
gene_4410467,333
gene_4014806,333
gene_2762763,333
gene_4147144,332
gene_3569353,332
gene_4566288,332
gene_4432102,332
gene_3394445,331
gene_2478969,330
gene_3147416,330
gene_3911867,329
gene_3048704,329
gene_3250147,328
gene_4320139,327
gene_4106559,326
gene_4041724,326
gene_4489862,326
gene_4135494,325
gene_4492961,325
gene_3395763,325
gene_4287915,325
gene_4309498,324
gene_4595680,324
gene_3191491,324
gene_2653875,323
gene_3891396,323
gene_4142584,322
gene_4467399,322
gene_3792451,322
gene_3473110,322
gene_4216701,322
gene_3176526,322
gene_3470073,322
gene_2891508,322
gene_4420533,322
gene_3947041,321
gene_4546409,320
gene_4633058,320
gene_2485364,320
gene_4406399,320
gene_3615601,320
gene_4305460,319
gene_3750089,318
gene_3335067,318
gene_3016781,318
gene_4279215,318
gene_4320912,317
gene_3968139,316
gene_4378487,316
gene_4529375,316
gene_4540577,315
gene_4443786,315
gene_3631341,313
gene_3149382,312
gene_3876445,312
gene_3873906,311
gene_4329853,311
gene_4258902,310
gene_4612043,309
gene_4484121,309
gene_4036515,309
gene_3440800,308
gene_4529292,308
gene_3600794,307
gene_2657735,307
gene_4436960,306
gene_4118449,305
gene_3209101,305
gene_3555335,305
gene_1958653,305
gene_4403355,304
gene_3546772,304
gene_4414410,302
gene_4406968,301
gene_4043077,299
gene_3967408,299
gene_2905495,299
gene_4299436,299
gene_3213901,298
gene_4434951,298
gene_3638660,298
gene_3913077,295
gene_3414790,295
gene_4220068,295
gene_3576352,294
gene_4263639,294
gene_3264320,293
gene_3767204,293
gene_4032535,292
gene_3536024,292
gene_4044965,292
gene_3701764,292
gene_3673122,291
gene_4606530,290
gene_3471875,290
gene_3089759,290
gene_3008714,289
gene_3762565,288
gene_2902355,288
gene_4493120,287
gene_4315453,287
gene_3758893,287
gene_3896904,286
gene_3646316,285
gene_4108300,285
gene_4483277,284
gene_4573738,284
gene_4160447,284
gene_3929361,282
gene_4534171,282
