gene,postFMT_2_jejunum
gene_3340967,3793
gene_3584313,3783
gene_3952247,3272
gene_4501438,3268
gene_3787930,3183
gene_4622482,3145
gene_4225958,3140
gene_4561987,3091
gene_4016531,3061
gene_2947127,3047
gene_3516854,3031
gene_4316990,3029
gene_4540942,2964
gene_3101065,2932
gene_3495998,2915
gene_4386762,2902
gene_4108299,2866
gene_3330827,2832
gene_4284425,2797
gene_3989023,2790
gene_3703198,2785
gene_3001961,2775
gene_3433148,2775
gene_4386171,2751
gene_4036652,2733
gene_3135983,2632
gene_3993385,2632
gene_3052838,2628
gene_4334201,2610
gene_2928338,2608
gene_4338190,2581
gene_4419584,2568
gene_4171501,2557
gene_3859809,2521
gene_3888271,2510
gene_3764696,2505
gene_4627549,2490
gene_3818861,2473
gene_3210366,2468
gene_3260889,2462
gene_2342657,2460
gene_3557724,2457
gene_4346856,2453
gene_4387326,2447
gene_4423019,2417
gene_3083162,2405
gene_2912316,2394
gene_2988422,2392
gene_3364891,2381
gene_4330949,2377
gene_3702322,2369
gene_3585500,2368
gene_2850056,2366
gene_3574173,2361
gene_3613911,2348
gene_4339977,2345
gene_3919810,2327
gene_3188931,2324
gene_3432174,2299
gene_4100199,2284
gene_3616653,2280
gene_4508783,2263
gene_3868912,2263
gene_2478969,2255
gene_3257034,2255
gene_3384069,2243
gene_3670427,2241
gene_4253614,2236
gene_3057548,2232
gene_4420133,2229
gene_3845823,2227
gene_3290868,2224
gene_4344959,2218
gene_4264534,2208
gene_4203264,2207
gene_4495409,2202
gene_4512024,2200
gene_3896903,2200
gene_4414410,2197
gene_3658717,2195
gene_4142584,2191
gene_3147171,2185
gene_3371006,2168
gene_3649150,2166
gene_4629613,2164
gene_3365448,2162
gene_3549943,2161
gene_3544973,2158
gene_3291045,2157
gene_3947041,2155
gene_4147251,2154
gene_2485364,2151
gene_3246467,2147
gene_4307382,2147
gene_4528138,2142
gene_4021349,2142
gene_4508782,2137
gene_4346761,2132
gene_3730402,2131
gene_3250147,2130
gene_2646438,2129
gene_3790903,2128
