gene,postFMT_3_ileum
gene_3340967,1087
gene_3584313,1065
gene_4225958,964
gene_3952247,963
gene_4501438,942
gene_3787930,905
gene_4622482,903
gene_4561987,892
gene_4316990,878
gene_4386762,848
gene_3516854,846
gene_4016531,844
gene_2947127,843
gene_3101065,835
gene_4284425,821
gene_3989023,818
gene_3001961,816
gene_4386171,814
gene_3495998,813
gene_3330827,812
gene_4540942,811
gene_4108299,792
gene_3433148,788
gene_3703198,785
gene_4036652,776
gene_3135983,766
gene_3993385,757
gene_2928338,748
gene_2912316,741
gene_4338190,736
gene_3557724,734
gene_4419584,734
gene_3888271,733
gene_4171501,726
gene_4334201,725
gene_3052838,713
gene_3574173,713
gene_3260889,711
gene_3859809,705
gene_3764696,705
gene_4330949,699
gene_4627549,695
gene_4346856,694
gene_3210366,692
gene_3702322,692
gene_2342657,688
gene_3083162,685
gene_4339977,684
gene_2988422,683
gene_4387326,681
gene_3919810,679
gene_3670427,677
gene_3818861,675
gene_4423019,672
gene_3585500,669
gene_2850056,669
gene_4100199,667
gene_3845823,666
gene_2478969,666
gene_3364891,666
gene_3188931,651
gene_3432174,650
gene_4420133,648
gene_3616653,646
gene_3868912,643
gene_3613911,641
gene_4264534,639
gene_4508783,637
gene_4253614,634
gene_3257034,634
gene_3057548,634
gene_4495409,631
gene_3649150,630
gene_3384069,628
gene_3658717,626
gene_3290868,625
gene_3250147,623
gene_3365448,621
gene_4021122,619
gene_3371006,618
gene_4512024,617
gene_4021349,616
gene_4203264,616
gene_4142584,616
gene_3147171,615
gene_4344959,614
gene_3580147,610
gene_3246467,609
gene_3042080,608
gene_3896903,608
gene_4147251,607
gene_4629613,607
gene_4346761,607
gene_4623567,605
gene_3549943,603
gene_2646438,603
gene_3461286,602
gene_3652454,600
gene_4508782,599
gene_3790903,596
gene_4508703,596
gene_4617382,594
gene_4414410,593
gene_3361691,593
gene_3291045,592
gene_4316493,592
gene_3082022,591
gene_4528138,590
gene_3544973,590
gene_4281171,587
gene_3630863,587
gene_4028544,585
gene_4470407,583
gene_4307382,582
gene_3089759,581
gene_3440800,579
gene_3841170,579
gene_3393628,579
gene_3824167,578
gene_4634338,578
gene_4513499,577
gene_3867259,575
gene_3808459,575
gene_4219067,572
gene_3847211,570
gene_3196730,570
gene_4274272,570
gene_3947041,569
gene_3347464,569
gene_3730402,568
gene_4274197,567
gene_2095992,567
gene_3378237,567
gene_4218769,566
gene_3251230,566
gene_3667044,566
gene_3857775,564
gene_4032910,563
gene_3904066,563
gene_3347716,562
gene_2762987,561
gene_4517226,561
gene_4401297,560
gene_4007429,558
gene_4135100,558
gene_4025509,557
gene_4466755,556
gene_3803066,556
gene_4014806,556
gene_4282247,555
gene_3101473,555
gene_4316177,552
gene_4408765,551
gene_3210147,551
gene_2485364,550
gene_4229339,550
gene_3721277,548
gene_3363819,548
gene_4410387,547
gene_3842103,546
gene_3772239,544
gene_3608730,544
gene_3750089,543
gene_3394445,543
gene_3939091,542
gene_4164876,542
gene_4420630,539
gene_4040662,539
gene_3696813,539
gene_3612590,538
gene_4172273,537
gene_4329853,537
gene_4234918,537
gene_4499431,537
gene_4203002,536
gene_2837782,536
gene_3590518,535
gene_4436960,535
gene_4075667,535
gene_3862761,534
gene_4304448,533
gene_3191491,532
gene_4055190,532
gene_4489856,530
gene_3705808,530
gene_4462425,530
gene_3445319,529
gene_4346442,529
gene_3042132,529
gene_4253810,529
gene_3567414,529
gene_4231947,528
gene_3465828,528
gene_3836959,527
gene_4147144,526
gene_3869673,525
gene_4392070,524
gene_3588999,524
gene_4046817,522
gene_2891508,522
gene_4158462,521
gene_3921369,519
gene_3037461,518
gene_3305502,518
gene_3318738,517
gene_2803613,516
gene_1943947,515
gene_3866419,515
gene_4493590,515
gene_3546772,514
gene_3746759,514
gene_3036178,514
gene_3891396,512
gene_4501677,512
gene_3740128,512
gene_4492961,510
gene_3862165,510
gene_4585997,510
gene_3137781,509
gene_4539942,509
gene_4453499,509
gene_4265553,508
gene_3911867,506
gene_4135494,505
gene_4309498,504
gene_4287915,503
gene_2609743,503
gene_3452612,501
gene_3147416,501
gene_4432102,500
gene_4529375,499
gene_3615601,499
gene_4132721,498
gene_4018366,498
gene_3473110,497
gene_4493120,497
gene_3792451,492
gene_3728839,492
gene_3581102,490
gene_4378487,488
gene_3136800,487
gene_4420132,486
gene_4595680,486
gene_4622830,486
gene_3323454,485
gene_2762763,485
gene_4041724,484
gene_4043077,483
gene_3575890,483
gene_4305460,483
gene_3149382,483
gene_2217371,483
gene_4632305,482
gene_4216701,480
gene_3295111,480
gene_3273310,479
gene_3470073,476
gene_4484121,476
gene_4633058,476
gene_3569353,473
gene_4420533,473
gene_4566288,473
gene_3391546,473
gene_3414790,473
gene_2653875,472
gene_3213901,472
gene_4033660,471
gene_4489862,470
gene_4548882,470
gene_1924892,470
gene_3631341,469
gene_3555335,469
gene_4320139,468
gene_4106559,468
gene_4305320,467
gene_4320912,467
gene_3048704,467
gene_4179326,466
gene_3600794,464
gene_3673122,463
gene_3374861,462
gene_4333487,462
gene_3471875,462
gene_2905495,462
gene_4606530,462
DSM22607_4_GL0340256,461
gene_4410467,461
gene_4406399,460
gene_3395763,459
gene_3988271,458
gene_4036515,458
gene_3477059,457
gene_3176526,456
gene_3209101,456
gene_4279215,456
gene_4467399,456
gene_3873906,455
gene_3762565,455
gene_3968139,455
gene_4406968,454
gene_3969514,453
gene_4257777,453
gene_4483277,453
gene_4540577,453
gene_3576352,452
gene_3335067,452
gene_4299436,451
gene_4529292,450
gene_4546409,450
gene_4403355,450
gene_3724218,449
gene_4009535,449
gene_3016781,449
gene_4474935,448
gene_4169428,447
gene_3685730,447
gene_3208292,446
gene_4534171,446
gene_4258902,445
gene_3534785,445
gene_4044965,445
gene_4118449,444
gene_3967408,444
gene_4053958,443
gene_2933446,440
gene_4612043,440
gene_4065008,439
