gene,postFMT_4_cecum
gene_3584313,69
gene_3495998,55
gene_3787930,55
gene_2947127,53
gene_3340967,53
gene_4540942,52
gene_4501438,51
gene_4225958,51
gene_3952247,48
gene_4561987,48
gene_3101065,47
gene_4016531,47
gene_3730402,46
gene_4108299,46
gene_4423019,46
gene_3516854,46
gene_3764696,46
gene_4622482,45
gene_2485364,44
gene_3818861,44
gene_4414410,44
gene_4316990,44
gene_3703198,43
gene_3052838,43
gene_3750089,42
gene_4386762,42
gene_3888271,42
gene_3989023,42
gene_4436960,41
gene_4329853,40
gene_3188931,40
gene_3947041,39
gene_3585500,39
gene_4334201,39
gene_3433148,39
gene_3993385,39
gene_3001961,39
gene_2988422,39
gene_3728839,38
gene_3330827,38
gene_4387326,38
gene_4036652,38
gene_4419584,37
gene_4142584,37
gene_3575890,37
gene_3919810,37
gene_4171501,37
gene_4386171,37
gene_2342657,37
gene_2928338,37
gene_3859809,37
gene_3210366,36
gene_2478969,36
gene_3364891,36
gene_4307382,36
gene_4493120,36
gene_3135983,36
gene_3868912,35
gene_4284425,35
gene_4338190,35
gene_3574173,35
gene_3702322,35
gene_2953684,35
gene_3440800,35
gene_3137781,34
gene_3291045,34
gene_3988271,34
gene_3670427,34
gene_3260889,34
gene_3378237,34
gene_4033660,34
gene_3089759,34
gene_3250147,33
gene_4548882,33
gene_3544973,33
gene_3147171,33
gene_4346856,33
gene_4420133,33
gene_3361691,33
gene_4339977,33
gene_4253614,33
gene_2851782,33
gene_3557724,33
gene_2646438,33
gene_4627549,33
gene_3083162,33
gene_3057548,33
gene_4231947,33
gene_2912316,32
gene_3616653,32
gene_3257034,32
gene_3432174,32
gene_3847211,32
gene_3630863,32
gene_4305320,32
gene_3939091,32
gene_4028544,32
gene_3613911,32
gene_4281171,32
gene_4512024,32
gene_3384069,32
gene_4330949,32
gene_4218769,32
gene_4447285,32
gene_3580147,32
gene_4585997,31
gene_4513499,31
gene_4517226,31
gene_3896903,31
gene_3377575,31
gene_4264534,31
gene_4495409,31
gene_2891508,31
gene_3082022,31
gene_4021349,31
gene_3290868,31
gene_4053958,31
gene_3921369,31
gene_4100199,31
gene_2762987,31
gene_3740128,30
gene_4629613,30
gene_3790903,30
gene_3649150,30
gene_3246467,30
gene_3652454,30
gene_2736174,30
gene_3371006,30
gene_4410387,30
gene_4219067,30
gene_3845823,30
gene_4253810,30
gene_4604030,30
gene_3836959,30
gene_4622830,30
gene_3196730,29
gene_3549943,29
gene_3780972,29
gene_3803066,29
gene_3904066,29
gene_3414630,29
gene_4021122,29
gene_4014806,29
gene_4316177,29
gene_4617382,29
gene_3824167,29
gene_3862165,29
gene_3042080,29
gene_4426549,29
gene_3264320,29
gene_4634338,29
gene_4508703,29
gene_4132721,29
gene_4229339,29
gene_2095992,29
gene_4528138,29
gene_2609743,28
gene_4025509,28
gene_3191491,28
gene_3808459,28
gene_4018366,28
gene_3347464,28
gene_3365448,28
gene_3772239,28
gene_4274197,28
gene_3394445,28
gene_3934547,28
gene_4346442,28
gene_4055190,28
gene_3867259,28
gene_3857775,28
gene_3461286,28
gene_4623567,28
gene_4466755,28
gene_2850056,28
gene_4265553,28
gene_4007429,28
gene_4392070,28
gene_4492961,28
gene_3473110,28
DSM22607_4_GL0340256,28
gene_4203264,28
gene_3251230,28
gene_3866419,28
gene_3136800,27
gene_4505036,27
gene_3658717,27
gene_4274272,27
gene_4508782,27
gene_4329657,27
gene_3841170,27
gene_4135100,27
gene_3596412,27
gene_3842103,27
gene_3203715,27
gene_4462425,27
gene_3977405,27
gene_4499431,27
gene_3608730,27
gene_3546772,27
gene_4282247,27
gene_4529375,27
gene_3696813,27
gene_4420630,27
gene_3037461,27
gene_4147251,27
gene_3724218,27
gene_3393628,27
gene_3667044,26
gene_4152129,26
gene_4344959,26
gene_4032910,26
gene_3036178,26
gene_3347716,26
gene_4408765,26
gene_4106559,26
gene_4333487,26
gene_4316493,26
gene_4164876,26
gene_3555335,26
gene_4040662,26
gene_4453499,26
gene_1924892,26
gene_3208292,26
gene_4179326,26
gene_3210147,26
gene_1943947,26
gene_3470073,26
gene_4135494,26
gene_4508783,26
gene_4346761,26
gene_3465828,26
gene_4633740,26
gene_4203002,26
gene_4520153,26
gene_4470407,26
gene_4489856,26
gene_4209155,25
gene_4539942,25
gene_2803613,25
gene_3590518,25
gene_3742710,25
gene_3746759,25
gene_4075667,25
gene_3567414,25
gene_3213901,25
gene_4483988,25
gene_3862761,25
gene_3598423,25
gene_3305502,25
gene_3101473,25
gene_3569353,25
gene_4046817,25
gene_4484121,25
gene_3042132,25
gene_4501677,25
gene_4420132,25
gene_3588999,25
gene_3049061,25
gene_3352067,25
gene_3998040,25
gene_4044582,25
gene_4317122,25
gene_4172273,25
gene_4493590,25
gene_3891396,25
gene_3391546,25
gene_3721277,25
gene_4467399,24
gene_2657735,24
gene_4420533,24
gene_4304448,24
gene_3318738,24
gene_2489998,24
gene_4580872,24
gene_3587112,24
gene_3374861,24
gene_3986306,24
gene_3612590,24
gene_2837782,24
gene_4557870,24
gene_4624028,24
gene_3600794,24
gene_3452612,24
gene_3615601,24
gene_4257777,24
gene_3445319,24
gene_3656089,24
gene_4320139,24
gene_4540577,24
gene_3705808,24
gene_3273310,24
gene_3869673,24
gene_3896904,24
gene_4500981,24
gene_3969514,24
gene_3048704,23
gene_3477059,23
gene_3395763,23
gene_4406968,23
gene_3363819,23
gene_4222121,23
gene_3892935,23
gene_4616863,23
gene_3758893,23
gene_4234918,23
gene_1958653,23
gene_4595680,23
gene_3992728,23
gene_4401297,23
gene_4410467,23
gene_4403355,23
gene_4320912,23
gene_3581102,23
gene_3323454,23
gene_3335067,23
gene_4067681,23
gene_4546409,23
gene_4566288,23
gene_4474926,23
gene_4158462,23
gene_3875564,23
gene_4406399,23
gene_4044965,23
gene_4279215,23
gene_3792451,23
gene_4041724,23
gene_3149382,23
gene_3511474,23
gene_4606530,22
gene_3032996,22
gene_4216701,22
gene_3700930,22
gene_4489862,22
gene_4432102,22
gene_3385642,22
gene_3572156,22
gene_3968139,22
gene_3911867,22
gene_3016781,22
gene_4299436,22
gene_3762565,22
gene_2217371,22
gene_4258902,22
gene_4036360,22
gene_4220068,22
gene_2902355,22
gene_3876445,22
gene_4139158,22
gene_4222118,22
gene_4147144,22
gene_3673122,22
gene_4309498,22
gene_3720711,22
gene_3277055,22
gene_4436151,22
gene_4485092,22
gene_4632783,22
gene_3008714,22
gene_4529292,22
gene_4383761,22
gene_3685730,22
gene_2762763,22
gene_3878529,22
gene_4036515,22
gene_4375746,22
gene_4573738,22
gene_3176526,21
gene_3534785,21
gene_3638660,21
gene_4419666,21
gene_4305460,21
gene_4378487,21
gene_4633058,21
gene_4474935,21
gene_3314902,21
gene_4426836,21
gene_4632305,21
gene_2653875,21
gene_4591505,21
gene_3929361,21
gene_3474526,21
gene_4050456,21
gene_3087960,21
gene_3295111,21
gene_3736960,21
gene_3701764,21
gene_3209101,21
gene_3935885,21
gene_3940284,21
gene_2933446,21
gene_3178395,21
gene_3784095,21
gene_4118449,21
gene_3471875,21
gene_4263639,21
gene_2677191,21
gene_4169428,21
gene_4540214,21
gene_4434951,21
gene_4009535,21
gene_3331940,21
gene_2839179,21
gene_4612043,21
gene_4090523,20
gene_2986687,20
