gene,postFMT_4_duodenum
gene_3584313,74655
gene_3340967,66629
gene_3787930,63436
gene_4501438,60529
gene_3101065,60248
gene_4540942,58466
gene_3495998,56998
gene_3952247,56297
gene_4016531,55975
gene_4108299,55802
gene_4316990,55518
gene_2947127,54935
gene_4225958,54156
gene_4622482,54049
gene_4561987,53321
gene_3052838,53302
gene_3433148,53085
gene_3001961,52096
gene_3516854,51268
gene_4036652,50872
gene_3818861,50302
gene_3764696,50298
gene_2928338,50091
gene_3993385,49867
gene_4423019,49591
gene_4386762,49513
gene_2988422,49090
gene_3703198,48765
gene_4284425,48267
gene_4338190,47995
gene_3989023,47922
gene_3888271,47667
gene_3384069,47511
gene_4386171,47504
gene_3330827,47423
gene_3585500,47075
gene_3188931,46513
gene_3896903,45889
gene_3135983,45453
gene_4339977,45266
gene_3260889,44944
gene_4100199,44492
gene_4307382,44293
gene_4414410,43981
gene_4419584,43981
gene_3859809,43912
gene_3730402,43892
gene_3440800,43773
gene_2478969,43517
gene_4171501,43150
gene_2912316,43068
gene_2485364,42967
gene_3947041,42736
gene_4334201,42675
gene_4627549,42579
gene_3845823,42335
gene_4329853,42317
gene_3210366,42171
gene_4142584,42096
gene_4436960,42034
gene_3658717,41879
gene_3557724,41745
gene_3616653,41691
gene_2850056,41499
gene_3868912,41384
gene_2342657,41275
gene_3365448,41002
gene_4021122,41001
gene_3702322,40946
gene_4387326,40859
gene_4203264,40837
gene_4344959,40803
gene_4147251,40710
gene_3549943,40676
gene_3670427,40636
gene_3250147,40490
gene_3919810,40477
gene_4623567,40077
gene_3364891,40018
gene_4316493,39919
gene_3083162,39805
gene_3613911,39609
gene_4495409,39423
gene_3574173,39419
gene_3246467,39363
gene_4346856,39362
gene_4330949,39330
gene_3089759,39256
gene_4508783,39017
gene_3057548,38808
gene_3649150,38782
gene_4528138,38616
gene_3257034,38609
gene_4346761,38604
gene_3824167,38566
gene_3728839,38536
gene_4629613,38317
gene_3378237,38187
gene_4032910,38102
gene_3432174,38076
gene_3371006,38052
gene_3808459,38025
gene_4508782,37902
gene_3652454,37680
gene_4493120,37678
gene_3210147,37632
gene_3251230,37632
gene_3101473,37629
gene_3393628,37597
gene_4253614,37562
gene_3740128,37550
gene_3575890,37520
gene_3867259,37498
gene_4408765,37444
gene_3790903,37424
gene_3847211,37269
gene_4529375,37219
gene_4316177,37191
gene_4274197,37167
gene_3750089,37125
gene_4420133,37006
gene_4007429,36969
gene_3363819,36899
gene_3862761,36655
gene_3347716,36613
gene_3082022,36535
gene_3290868,36500
gene_4466755,36494
gene_3667044,36464
gene_4033660,36399
gene_3042080,36278
gene_4158462,36238
gene_3147171,36228
gene_4219067,36213
gene_4622830,36208
gene_3696813,36196
gene_3196730,36108
gene_4470407,36024
gene_3544973,35934
gene_4512024,35924
gene_4021349,35720
gene_2646438,35708
gene_4304448,35700
gene_3869673,35660
gene_3772239,35649
gene_4264534,35597
gene_3461286,35589
gene_4282247,35548
gene_3836959,35486
gene_3988271,35414
gene_3264320,35225
gene_3705808,35221
gene_4462425,35184
gene_3137781,35071
gene_4499431,35003
gene_3588999,34795
gene_4046817,34693
gene_3347464,34685
gene_3037461,34663
gene_3612590,34639
gene_4040662,34595
gene_3305502,34480
gene_3291045,34441
gene_4075667,34416
gene_3136800,34414
gene_4548882,34403
gene_3862165,34397
gene_4432102,34368
