gene,postFMT_4_ileum
gene_3584313,15360
gene_3340967,14937
gene_4501438,13279
gene_3787930,13184
gene_3952247,12931
gene_4622482,12575
gene_4225958,12451
gene_3516854,12313
gene_2947127,12254
gene_4561987,12142
gene_4016531,12078
gene_3101065,12062
gene_4316990,12003
gene_4540942,11836
gene_3495998,11816
gene_4386762,11660
gene_4108299,11583
gene_4284425,11294
gene_3330827,11241
gene_3433148,11162
gene_3989023,11097
gene_4386171,11095
gene_4036652,11044
gene_3703198,11035
gene_3001961,11011
gene_3052838,10845
gene_3993385,10592
gene_3135983,10511
gene_2928338,10403
gene_4338190,10327
gene_4334201,10296
gene_4419584,10250
gene_4423019,10196
gene_3818861,10175
gene_4171501,10146
gene_3764696,10107
gene_3888271,10088
gene_3859809,9949
gene_3557724,9847
gene_4627549,9801
gene_3260889,9795
gene_2988422,9764
gene_3210366,9651
gene_2342657,9646
gene_3702322,9633
gene_3585500,9619
gene_4387326,9595
gene_3670427,9565
gene_2912316,9552
gene_4346856,9524
gene_4339977,9495
gene_3083162,9468
gene_2850056,9440
gene_3868912,9426
gene_4330949,9416
gene_3845823,9411
gene_3574173,9382
gene_3919810,9380
gene_3364891,9379
gene_3188931,9369
gene_3057548,9212
gene_3613911,9209
gene_3384069,9207
gene_3257034,9200
gene_4100199,9127
gene_3616653,9106
gene_2478969,9079
gene_3432174,9067
gene_3649150,9066
gene_3896903,9035
gene_4253614,9030
gene_3658717,9016
gene_4203264,9001
gene_4142584,8906
gene_4508783,8886
gene_3371006,8869
gene_4344959,8864
gene_4307382,8842
gene_4147251,8810
gene_3365448,8778
gene_3250147,8777
gene_3730402,8774
gene_3947041,8744
gene_3549943,8742
gene_2485364,8732
gene_4414410,8725
gene_3246467,8724
gene_4420133,8708
gene_3440800,8678
gene_4512024,8662
gene_3290868,8661
gene_4021122,8608
gene_4264534,8604
gene_4495409,8582
gene_4329853,8552
gene_3790903,8551
gene_4508782,8528
gene_4528138,8523
gene_4346761,8518
gene_3042080,8510
gene_4629613,8510
gene_3147171,8505
gene_4021349,8469
gene_3544973,8446
gene_4623567,8426
gene_3652454,8420
gene_4436960,8407
gene_2646438,8377
gene_3824167,8368
gene_3082022,8359
gene_3808459,8342
gene_3461286,8333
gene_3580147,8331
gene_3291045,8314
gene_3361691,8311
gene_4316493,8305
gene_3630863,8227
gene_3750089,8207
gene_3347464,8206
gene_4316177,8196
gene_3196730,8145
gene_4219067,8136
gene_3867259,8133
gene_2095992,8131
gene_4513499,8130
gene_4028544,8119
gene_3210147,8114
gene_3101473,8109
gene_3393628,8108
gene_4007429,8091
gene_3251230,8089
gene_3089759,8067
gene_4032910,8066
gene_4617382,8048
gene_4408765,8033
gene_4466755,8012
gene_4282247,8002
gene_3347716,7979
gene_3667044,7970
gene_4218769,7966
gene_4470407,7965
gene_4281171,7953
gene_4253810,7911
gene_3803066,7909
gene_3721277,7905
gene_4508703,7899
gene_3862761,7892
gene_3841170,7886
gene_4274197,7868
gene_4158462,7858
gene_4274272,7836
