"","ko_map","noFMT_1_duodenum","noFMT_1_jejunum","noFMT_1_ileum","noFMT_1_cecum","noFMT_1_colon","noFMT_2_duodenum","noFMT_2_jejunum","noFMT_2_ileum","noFMT_2_cecum","noFMT_2_colon","noFMT_3_duodenum","noFMT_3_jejunum","noFMT_3_ileum","noFMT_3_cecum","noFMT_3_colon","noFMT_4_duodenum","noFMT_4_jejunum","noFMT_4_ileum","noFMT_4_cecum","noFMT_4_colon","donor_1_duodenum","donor_1_jejunum","donor_1_ileum","donor_1_cecum","donor_1_colon","donor_2_duodenum","donor_2_jejunum","donor_2_ileum","donor_2_cecum","donor_2_colon","donor_3_duodenum","donor_3_jejunum","donor_3_ileum","donor_3_cecum","donor_3_colon","donor_4_duodenum","donor_4_jejunum","donor_4_ileum","donor_4_cecum","donor_4_colon","postFMT_1_duodenum","postFMT_1_jejunum","postFMT_1_ileum","postFMT_1_cecum","postFMT_1_colon","postFMT_2_duodenum","postFMT_2_jejunum","postFMT_2_ileum","postFMT_2_cecum","postFMT_2_colon","postFMT_3_duodenum","postFMT_3_jejunum","postFMT_3_ileum","postFMT_3_cecum","postFMT_3_colon","postFMT_4_duodenum","postFMT_4_jejunum","postFMT_4_ileum","postFMT_4_cecum","postFMT_4_colon"
"1","K00001",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,0,0,0,9,0,0,0,0,3,2,1,2,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","K00002",0,0,0,0,0,2,10,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,20,2,0,0,11,0,0,0,1,0,1,4,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","K00003",7,2,0,3,8,7,117,0,31,10,3,81,2,0,4,0,40,69,40,4,0,3,161,20,3,1,110,0,186,50,1,9,24,34,11,0,47,0,54,64,56,1,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0
"4","K00004",0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,3,0,3,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","K00005",0,0,0,0,2,0,22,0,0,2,0,10,0,0,0,0,4,5,3,0,0,1,45,3,9,0,27,0,4,0,0,3,3,11,1,0,25,0,9,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"6","K00008",5,0,1,4,2,18,119,0,21,0,0,27,2,14,0,0,12,35,13,0,0,0,153,35,4,0,113,0,24,8,0,3,8,30,0,0,24,0,13,45,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"7","K00009",0,0,0,0,0,0,39,0,12,0,0,28,0,0,0,0,6,6,7,0,0,0,46,0,0,0,35,0,16,1,0,0,0,7,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8","K00010",0,0,0,1,5,1,62,0,68,10,5,158,1,4,4,1,105,77,16,1,0,0,92,4,2,0,32,0,107,2,1,3,7,43,14,0,63,0,6,5,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,7,0,0,0,0
"9","K00012",47,7,1,5,38,6,96,0,56,99,4,24,1,29,16,0,37,28,12,13,0,1,67,38,4,1,83,0,25,15,5,5,14,27,29,0,25,0,12,41,0,0,0,0,0,8,0,0,0,2,3,3,0,0,0,1,0,0,0,0
"10","K00013",10,1,0,2,17,5,118,0,35,10,0,35,5,1,7,0,46,31,20,4,0,4,184,28,2,0,89,1,24,7,1,4,20,21,22,0,55,0,27,35,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0
