ko_map,gi_location,no_FMT_control,Recipient,Donor,postFMTvsnoFMT,donorVnoFMT,postFMTvdonor
K00003,duodenum,1.5470035,29.7080825,0.0407455,4.26330712391259,-5.24669191604422,9.50999903995681
K00005,duodenum,0.02334275,0.5563705,0.0188765,4.5749994875182,-0.306383243237089,4.88138273075529
K00031,duodenum,0.30760775,3.99695,0.03575025,3.69973576868159,-3.10506661588292,6.80480238456451
K00074,duodenum,0.18910575,7.98236225,0.066029,5.3995506156772,-1.51802152911234,6.91757214478954
K00366,duodenum,0.10124725,1.044125,0.0188765,3.3663398097748,-2.42321952689892,5.78955933667372
K00611,duodenum,1.34154925,14.64385825,0.31756375,3.44832378991024,-2.07878187585451,5.52710566576475
K00639,duodenum,0.02334275,0.60147625,0.0188765,4.68746133251515,-0.306383243237089,4.99384457575224
K00666,duodenum,0.02334275,1.157191,0.0188765,5.63150866332301,-0.306383243237089,5.9378919065601
K00965,duodenum,1.7130785,20.6949,0.0188765,3.59461210931132,-6.50385616153319,10.0984682708445
K01026,duodenum,0.02334275,0.25286125,0.03384475,3.43729952706008,0.535957525818622,2.90134200124145
K01118,duodenum,0.02334275,0.32807625,0.0188765,3.81298471898515,-0.306383243237089,4.11936796222224
K01193,duodenum,1.67833175,27.93365,0.98757475,4.05690427665564,-0.765066060784509,4.82197033744014
K01214,duodenum,0.6759905,8.8307,0.01914725,3.70745292635877,-5.14179386494666,8.84924679130543
K01246,duodenum,2.39938625,24.478652,0.05814125,3.35078678875861,-5.3669595203897,8.71774630914831
K01251,duodenum,0.02334275,3.984745,0.0188765,7.41536905865438,-0.306383243237089,7.72175230189147
K01447,duodenum,0.02334275,0.4886975,0.04839375,4.38789528480289,1.05184620265951,3.33604908214338
K01478,duodenum,0.02334275,3.253164,0.0188765,7.12272520941221,-0.306383243237089,7.4291084526493
K01531,duodenum,0.034357,0.4246505,0.0188765,3.62759997545776,-0.864012776936819,4.49161275239458
K01653,duodenum,1.940334,23.80305,0.07464625,3.61676952721219,-4.70009141674539,8.31686094395758
K01709,duodenum,0.02334275,1.70953075,0.0188765,6.19448202871999,-0.306383243237089,6.50086527195708
K01768,duodenum,0.12166325,1.44220975,0.0188765,3.56731564664059,-2.68823025240736,6.25554589904795
K01788,duodenum,0.02334275,1.4257455,0.13339625,5.93259813461176,2.51467167093866,3.4179264636731
K01803,duodenum,3.1578,49.368427,0.13802225,3.96659697220745,-4.51594703885877,8.48254401106622
K01843,duodenum,0.02334275,4.225414,0.0188765,7.49997435690365,-0.306383243237089,7.80635760014074
K01890,duodenum,3.95184575,49.787025,0.2391585,3.65517126913043,-4.0464876635992,7.70165893272963
K01938,duodenum,0.932151,16.13160825,0.12111725,4.11318278844313,-2.94415932328438,7.05734211172751
K01997,duodenum,0.495323,17.3094925,0.0188765,5.1270500033446,-4.71370641687324,9.84075642021784
K01998,duodenum,0.143331,9.8366375,0.08062125,6.10074265891783,-0.830118616288786,6.93086127520661
K02011,duodenum,0.253793,2.69308075,0.0188765,3.40753330551389,-3.74898908173047,7.15652238724436
K02012,duodenum,0.02334275,2.1836005,0.0188765,6.54759058793859,-0.306383243237089,6.85397383117568
K02018,duodenum,0.02334275,1.0449705,0.05581875,5.48434387032732,1.25777528280357,4.22656858752375
K02058,duodenum,0.80176225,12.1743,0.259931,3.92452052059173,-1.62504578817475,5.54956630876649
K02071,duodenum,0.117271,1.435245,0.0188765,3.61337883180602,-2.63518309648894,6.24856192829496
K02122,duodenum,0.02334275,2.066143,0.043001,6.46782176354229,0.88139567609118,5.58642608745111
K02203,duodenum,0.21942975,4.353568,0.0188765,4.3103672146771,-3.53909594146189,7.84946315613899
K02241,duodenum,0.02334275,5.80195775,0.0188765,7.95742144522698,-0.306383243237089,8.26380468846407
K02395,duodenum,0.02334275,0.48245125,0.0188765,4.36933673099808,-0.306383243237089,4.67571997423517
K02396,duodenum,0.026313,4.04945,0.113185,7.26580642036753,2.10483512800145,5.16097129236609
K02400,duodenum,0.5485635,14.271575,0.04198875,4.70134211591173,-3.70758388710546,8.40892600301719
K02409,duodenum,0.12892875,2.52775825,0.07080525,4.29321258025176,-0.864645767173542,5.1578583474253
K02413,duodenum,0.128306,2.82886425,0.0188765,4.46256240496565,-2.76492544079506,7.2274878457607
K02417,duodenum,0.06545675,1.49527975,0.0188765,4.51372963868596,-1.79395068161342,6.30768032029938
K02418,duodenum,0.02334275,1.67993725,0.0188765,6.16928900101421,-0.306383243237089,6.4756722442513
K02419,duodenum,0.02334275,1.836313,0.0188765,6.29769364282804,-0.306383243237089,6.60407688606513
K02421,duodenum,0.34751225,5.01192225,0.02680125,3.85022829464341,-3.69669164042761,7.54691993507102
K02422,duodenum,0.28238725,2.91736225,0.0188765,3.36891768095138,-3.90301175504024,7.27192943599162
K02473,duodenum,0.02334275,0.727818,0.04155125,4.96253129207848,0.831917344339759,4.13061394773872
K02483,duodenum,0.02334275,0.480145,0.0188765,4.36242371465436,-0.306383243237089,4.66880695789145
K02496,duodenum,0.12176225,2.29175125,0.0188765,4.23431163203721,-2.68940372697698,6.92371535901419
K02556,duodenum,0.02334275,16.95245,0.04890875,9.50430353971503,1.06711805865617,8.43718548105887
K02614,duodenum,0.02334275,3.63321025,0.06556075,7.28212651078543,1.4898578242525,5.79226868653292
K02652,duodenum,0.02334275,2.51283325,0.0188765,6.75019659347276,-0.306383243237089,7.05657983670985
K02669,duodenum,0.13808225,2.56043525,0.0740135,4.21278929258629,-0.89966753179645,5.11245682438274
K02759,duodenum,0.02334275,0.42367625,0.0188765,4.18191581838559,-0.306383243237089,4.48829906162268
K02760,duodenum,0.02334275,1.1074725,0.0188765,5.56815253060193,-0.306383243237089,5.87453577383902
K02798,duodenum,0.35681225,10.80358975,0.14153625,4.9202018052111,-1.33399354565613,6.25419535086723
K02805,duodenum,0.02334275,1.53117975,0.0188765,6.03552531067539,-0.306383243237089,6.34190855391248
K02822,duodenum,0.02334275,1.1294225,0.0188765,5.59646693302904,-0.306383243237089,5.90285017626613
K03060,duodenum,0.02334275,0.89310125,0.0188765,5.25777730202599,-0.306383243237089,5.56416054526308
K03075,duodenum,0.02334275,1.50198925,0.13060375,6.007756142662,2.48414988180684,3.52360626085516
K03151,duodenum,0.8978085,12.47510575,0.0554785,3.79650047991455,-4.01640706859741,7.81290754851195
K03284,duodenum,0.48180575,6.2235705,0.0188765,3.6912189844279,-4.6737884149351,8.365007399363
K03410,duodenum,0.02334275,2.69473725,0.0188765,6.85102626543956,-0.306383243237089,7.15740950867665
K03413,duodenum,3.015531,37.01125,0.0188765,3.61747988988816,-7.31967696497341,10.9371568548616
K03429,duodenum,0.02334275,0.31545125,0.0188765,3.75637062809943,-0.306383243237089,4.06275387133652
K03462,duodenum,0.050741,0.694245,0.03271325,3.77422102436774,-0.633276856626796,4.40749788099454
K03518,duodenum,0.5814405,6.1375475,0.0497685,3.3999588144255,-3.54632675469746,6.94628556912296
K03556,duodenum,0.02334275,2.86701575,0.0188765,6.94043148546389,-0.306383243237089,7.24681472870098
K03563,duodenum,0.02334275,2.747868,0.0188765,6.87919435812359,-0.306383243237089,7.18557760136068
K03594,duodenum,0.02334275,1.61368525,0.0188765,6.11124086316299,-0.306383243237089,6.41762410640008
K03629,duodenum,2.3327035,25.81315,0.48095925,3.46803135617151,-2.27801637439096,5.74604773056246
K03707,duodenum,0.0974185,3.05626425,0.0188765,4.97142970702764,-2.36760447832873,7.33903418535637
K03722,duodenum,0.060026,2.82763725,0.038496,5.55786570915645,-0.640878985531665,6.19874469468811
K03830,duodenum,0.49856225,5.71396425,0.0188765,3.5186464554447,-4.7231104531201,8.2417569085648
K03856,duodenum,0.02334275,0.62643925,0.19321125,4.74612816905872,3.04913266009777,1.69699550896095
K03969,duodenum,0.02334275,0.4806725,0.0188765,4.36400782758013,-0.306383243237089,4.67039107081722
K04061,duodenum,0.02334275,1.26965125,0.0188765,5.76531392483942,-0.306383243237089,6.07169716807651
K04074,duodenum,0.02334275,0.52067625,0.0188765,4.47934016199425,-0.306383243237089,4.78572340523134
K04088,duodenum,0.02334275,0.56422,0.0188765,4.59521136678695,-0.306383243237089,4.90159461002404
K04652,duodenum,0.02334275,0.41872,0.0188765,4.16493939000505,-0.306383243237089,4.47132263324214
