ko_map,gi_location,no_FMT_control,Recipient,Donor,postFMTvsnoFMT,donorVnoFMT,postFMTvdonor
K00997,duodenum,0.02334275,0.01485325,0.32338575,-0.652195896561719,3.79220966833078,-4.4444055648925
K01787,duodenum,0.02334275,0.01485325,0.53203875,-0.652195896561719,4.51048488592643,-5.16268078248815
K02825,duodenum,0.02334275,0.01485325,0.27766375,-0.652195896561719,3.57229240093687,-4.22448829749859
K07498,duodenum,0.02334275,0.01485325,0.85681375,-0.652195896561719,5.19793519290281,-5.85013108946452
K08998,duodenum,0.02334275,7.83828075,0.48201375,8.39141890342695,4.36802786209422,4.02339104133273
K12472,duodenum,0.02334275,0.16806,0.38526825,2.84792994975268,4.04481685874136,-1.19688690898868
K00184,jejunum,0.38862525,0.017249,17.909394,-4.49379500955858,5.52619307182304,-10.0199880813816
K01023,jejunum,0.27895275,0.825036,2.96210025,1.56443629797322,3.40852778926498,-1.84409149129176
K01118,jejunum,0.22748175,0.017249,2.9102925,-3.72116617790592,3.67734144590475,-7.39850762381067
K01246,jejunum,2.4498175,3.70924975,34.962925,0.598453131019559,3.83507970154599,-3.23662657052644
K01251,jejunum,0.784604,0.017249,7.87685,-5.50738006037233,3.32758220696263,-8.83496226733496
K01430,jejunum,0.15140975,0.017249,1.755285,-3.13387348028413,3.5351752798381,-6.66904876012223
K01621,jejunum,0.3660455,0.92758675,4.36305,1.34145922333472,3.57524211300411,-2.23378288966939
K02099,jejunum,0.4446065,0.70507475,21.982579,0.665247175760973,5.62768780298147,-4.9624406272205
K02241,jejunum,0.0169475,0.017249,0.170389,0.0254402541827596,3.32968782493421,-3.30424757075145
K02822,jejunum,0.29063175,1.01419975,3.557815,1.8030776003059,3.61372727141302,-1.81064967110712
K02914,jejunum,0.9408855,0.017249,11.6218975,-5.76943453640538,3.62668265918367,-9.39611719558905
K03652,jejunum,0.24730775,6.63143975,2.4958425,4.74494277148896,3.3351475399174,1.40979523157156
K03969,jejunum,0.082725,0.017249,2.3132225,-2.26181066156641,4.80543684318777,-7.06724750475419
K06416,jejunum,0.1268455,5.01818975,3.5871875,5.30602277955574,4.82170891197209,0.484313867583655
K06605,jejunum,0.04669225,1.09372475,0.7701615,4.54992279003573,4.04390598954516,0.50601680049057
K06895,jejunum,0.0169475,0.44287475,1.5224575,4.7077543700503,6.48918567428023,-1.78143130422993
K07480,jejunum,0.10415425,0.017249,1.16746825,-2.59413707947047,3.48658970084346,-6.08072678031394
K07498,jejunum,0.0169475,0.017249,10.6952125,0.0254402541827596,9.30167696114036,-9.2762367069576
K07571,jejunum,0.56989275,0.017249,24.14496625,-5.04610580919035,5.40488819740326,-10.4509940065936
K10009,jejunum,0.0655195,0.017249,2.1016625,-1.92541162238797,5.00346285202471,-6.92887447441268
K12472,jejunum,0.03318625,0.017249,47.172525,-0.944072891125768,10.4731454945222,-11.4172183856479
K13252,jejunum,0.02263175,2.6787965,0.6023815,6.8870930326678,4.73425741303553,2.15283561963227
K16924,jejunum,0.15236375,0.017249,2.83401,-3.14293507119859,4.21725324251873,-7.36018831371732
K19055,jejunum,0.48522275,0.56999975,5.0096,0.232314092729839,3.36797631469016,-3.13566222196033
K20276,jejunum,0.54766,2.46352675,14.548775,2.169372719376,4.73147336114892,-2.56210064177292
K21672,jejunum,0.34052025,0.017249,4.401185,-4.3031559646464,3.6920795156006,-7.995235480247
K22901,jejunum,0.08223975,0.017249,0.90330675,-2.25332315392921,3.45730820541385,-5.71063135934306
K23148,jejunum,0.05046,0.017249,1.6923015,-1.54862748134281,5.06770260499475,-6.61633008633756
K00077,ileum,0.125502,0.018157,1.36636625,-2.78911259777405,3.44456198488639,-6.23367458266044
K00184,ileum,0.0144345,0.018157,0.61143125,0.331004717671588,5.40459724995685,-5.07359253228527
K00197,ileum,0.0144345,0.018157,0.4506885,0.331004717671588,4.96453759826962,-4.63353288059803
K00339,ileum,0.0144345,0.018157,0.20512325,0.331004717671588,3.82889798579886,-3.49789326812727
K00349,ileum,0.0144345,0.018157,0.180478,0.331004717671588,3.64422994574545,-3.31322522807386
K00633,ileum,0.0745945,0.018157,0.75346625,-2.03854340938128,3.33640172390159,-5.37494513328288
K00666,ileum,0.0618045,0.018157,1.81916625,-1.76718603265276,4.87942169891602,-6.64660773156878
K00677,ileum,0.0144345,0.018157,0.15603825,0.331004717671588,3.43430668375085,-3.10330196607927
K00759,ileum,0.1531045,0.018157,1.71664125,-3.07591892933142,3.48699997930702,-6.56291890863845
K00940,ileum,0.0144345,0.018157,2.33973375,0.331004717671588,7.34067942285214,-7.00967470518055
K01028,ileum,0.0384795,0.018157,0.4203135,-1.08356420068653,3.44930383692547,-4.53286803761201
K01101,ileum,0.03596975,0.018157,0.48584125,-0.986258280104798,3.75562894867362,-4.74188722877842
K01174,ileum,0.0144345,0.018157,0.86411625,0.331004717671588,5.90363237224189,-5.5726276545703
K01487,ileum,0.02011,0.018157,0.48582875,-0.14738722938107,4.5944628804413,-4.74185010982237
K01621,ileum,0.02923475,0.018157,2.36871625,-0.687158401948475,6.34027732315195,-7.02743572510042
K01676,ileum,0.0144345,0.018157,0.17580125,0.331004717671588,3.60635228881214,-3.27534757114056
K01815,ileum,0.0553495,0.018157,1.15554125,-1.60804443221024,4.38385466671599,-5.99189909892623
K01919,ileum,0.0144345,0.018157,1.85590375,0.331004717671588,7.00645694722377,-6.67545222955218
K01993,ileum,0.03026875,0.018157,0.3894255,-0.737303245564705,3.68544635343257,-4.42274959899728
K02012,ileum,0.0144345,0.018157,0.69180875,0.331004717671588,5.58278022133598,-5.25177550366439
K02066,ileum,0.0144345,0.018157,0.15154125,0.331004717671588,3.39211751353385,-3.06111279586226
