,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,9.0,0.0,1.0,3.0
K00002,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0
K00003,7.0,2.0,0.0,3.0,8.0,7.0,117.0,0.0,31.0,10.0,3.0,81.0,2.0,0.0,4.0,0.0,40.0,69.0,40.0,4.0,0.0,3.0,161.0,20.0,3.0,1.0,110.0,0.0,186.0,50.0,1.0,9.0,24.0,34.0,11.0,0.0,47.0,0.0,54.0,64.0
K00004,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
K00005,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,1.0,45.0,3.0,9.0,0.0,27.0,0.0,4.0,0.0,0.0,3.0,3.0,11.0,1.0,0.0,25.0,0.0,9.0,9.0
K00008,5.0,0.0,1.0,4.0,2.0,18.0,119.0,0.0,21.0,0.0,0.0,27.0,2.0,14.0,0.0,0.0,12.0,35.0,13.0,0.0,0.0,0.0,153.0,35.0,4.0,0.0,113.0,0.0,24.0,8.0,0.0,3.0,8.0,30.0,0.0,0.0,24.0,0.0,13.0,45.0
K00009,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,12.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,35.0,0.0,16.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,15.0
K00010,0.0,0.0,0.0,1.0,5.0,1.0,62.0,0.0,68.0,10.0,5.0,158.0,1.0,4.0,4.0,1.0,105.0,77.0,16.0,1.0,0.0,0.0,92.0,4.0,2.0,0.0,32.0,0.0,107.0,2.0,1.0,3.0,7.0,43.0,14.0,0.0,63.0,0.0,6.0,5.0
K00012,47.0,7.0,1.0,5.0,38.0,6.0,96.0,0.0,56.0,99.0,4.0,24.0,1.0,29.0,16.0,0.0,37.0,28.0,12.0,13.0,0.0,1.0,67.0,38.0,4.0,1.0,83.0,0.0,25.0,15.0,5.0,5.0,14.0,27.0,29.0,0.0,25.0,0.0,12.0,41.0
K00013,10.0,1.0,0.0,2.0,17.0,5.0,118.0,0.0,35.0,10.0,0.0,35.0,5.0,1.0,7.0,0.0,46.0,31.0,20.0,4.0,0.0,4.0,184.0,28.0,2.0,0.0,89.0,1.0,24.0,7.0,1.0,4.0,20.0,21.0,22.0,0.0,55.0,0.0,27.0,35.0
