,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4290470262629826,0.0,22.53433630058714,0.0,0.0,2.4708414151467477,0.0,14.167532373732364,0.0,0.0,0.0,4.823911783388609,0.0,0.0,0.0,18.830094031482208,0.0,0.0,0.0,0.0,47.779100157315824,24.08356580720367,8.802969093585386,10.901418332302553,0.0,19.891862650013454,0.0,7.159613502297921,10.472270495898453
K00002,0.0,0.0,0.0,0.0,0.0,59.41832607939554,26.8797931216589,0.0,0.0,0.0,31.621059296632534,9.676936784309754,53.02336299513283,0.0,0.0,0.0,2.9971744976632135,5.918194501841067,0.0,0.0,0.0,0.0,35.82494343537994,8.185705239920352,0.0,0.0,25.66489504080562,0.0,0.0,0.0,5.2660087178458355,0.0,13.827846436953228,37.287792705092514,0.0,0.0,9.332673636801397,0.0,0.0,3.621158667643048
K00003,35.68140763548472,66.83265224177434,0.0,169.83745249292463,82.1203948384817,174.32694093291653,306.0114651412659,0.0,153.46474130336364,73.81682364360603,84.754162797372,215.84997992810986,90.2690423673237,0.0,69.22953926653987,0.0,103.50679530774731,397.4229990013516,609.4883481318597,47.51665446058689,0.0,155.42775630671417,252.01890703126634,69.99703266784964,24.51825771032292,1.887971740536912,229.27363349682693,0.0,1283.5382788981972,355.09991927886233,4.392685489886254,169.02007866570443,290.1567628510891,285.73832517347404,59.783838291997235,0.0,106.82617743927378,0.0,404.0490037218543,230.03336153651148
K00004,0.0,0.0,0.0,0.0,0.0,0.0,34.05355396669269,0.0,0.0,0.0,0.0,2.8214835931801225,0.0,0.0,0.0,0.0,0.0,16.666558889585847,17.124234782163466,0.0,0.0,0.0,3.4759124826412933,0.0,0.0,0.0,28.87183636188895,0.0,19.805075005710748,0.0,0.0,0.0,0.0,8.97703910391052,0.0,0.0,4.750759818710055,0.0,7.260169871712217,11.054252875283787
K00005,0.0,0.0,0.0,0.0,23.513981613336128,0.0,58.14898033387403,0.0,0.0,16.220851267652705,0.0,26.015626520682027,0.0,0.0,0.0,0.0,10.813655927641303,25.78576070207987,46.41251164416761,0.0,0.0,54.456620944887725,78.79795618741171,11.235029723351726,84.7592996885534,0.0,57.623304321264854,0.0,24.392916220635243,0.0,0.0,47.38108508574447,38.73033266763453,111.48629850935612,5.37624592617653,0.0,59.670969160309035,0.0,112.10645950077492,30.3983257654959
K00008,31.162575856142535,0.0,69.19413466230357,246.66676650607812,20.945801727826417,509.384916652283,349.9965608894942,0.0,114.5503788961773,0.0,0.0,87.46904345547205,106.81741440589258,426.1220824432816,0.0,0.0,34.428498039764506,212.80330039364387,218.6437052626132,0.0,0.0,0.0,282.5036978914799,142.67753095919826,43.92725159396623,0.0,260.5331303867258,0.0,149.970656017472,51.700574268276135,0.0,51.00017164856226,105.34273598219309,271.34557588691024,0.0,0.0,53.479426396802225,0.0,94.80121287778968,184.30806835225604
K00009,0.0,0.0,0.0,0.0,0.0,0.0,100.56584523845684,0.0,58.524071520029516,0.0,0.0,85.80319564681574,0.0,0.0,0.0,0.0,17.127494359881656,32.091798524453274,151.55168254412493,0.0,0.0,0.0,79.88218013783302,0.0,0.0,0.0,70.52083596122888,0.0,115.77819348099808,6.288510840386526,0.0,0.0,0.0,57.046542955970736,0.0,0.0,1.8031292948285889,0.0,0.0,60.82668774096769
K00010,0.0,0.0,0.0,68.43832970781283,53.49101709053512,28.85789762308752,205.93146052293864,0.0,412.0986795668467,128.61174098880502,118.34508878769276,486.17952442949826,54.74897540029986,111.20494955437677,84.80829805096114,2.99837734414565,314.70332225463744,491.5232228304343,276.4470259768086,14.119538611883307,0.0,0.0,179.85195587100966,16.491423476519106,20.325629594506946,0.0,72.59885860757757,0.0,755.6994216908046,13.693325380249954,5.2504288103965875,50.59909838478569,100.988303637797,495.41115563485187,89.33157580489274,0.0,173.77060264144174,0.0,44.32183262303634,17.92501816058537
K00012,221.31895504919854,237.64143158633186,54.8509313496165,255.15504263177542,336.95642683849854,176.1138278978696,227.05512925632414,0.0,244.3323634028923,679.8043310834012,74.24557869549658,61.00515584809475,111.47682942952623,615.4333803396418,293.8572817012669,0.0,90.57878235144409,132.81045048219258,175.48054688744645,140.2125623730928,0.0,47.64954332677675,113.62488852401935,133.8297341288672,31.163556152341478,1.7213859987248317,165.68128320285308,0.0,147.22699603905042,81.99984855889784,20.13155354031127,70.86314722172058,159.4768226028696,213.33813624117693,130.9255987132558,0.0,63.052962868900615,0.0,83.93763631238456,127.6999735440378
K00013,58.945655746338474,31.542513441211252,0.0,102.92736804026669,148.4653727226214,144.68871057069586,258.13532147501445,0.0,143.07979198999257,69.56304279689839,0.0,98.83283072832059,301.15795884912984,21.601881005390425,138.92368029379105,0.0,111.30229523354855,150.66147916747943,271.1903238378253,43.78375372642141,0.0,191.32625532953278,281.2648435083664,90.21904817236579,15.36685798568369,0.0,173.29612467254296,1.832304441252741,151.27784710471525,37.63032036688495,4.13670148697913,51.393451266784325,258.9005946686253,184.19826655771885,138.78907657297515,0.0,118.4352333568844,0.0,217.78816569350903,127.00353525610467
