,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00002,0.0,0.0,0.0,0.0,0.0,67.68005786499816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00003,7941.785550086191,137.40321660930084,0.0,0.0,0.0,19.167088055097558,0.0,0.0,0.0,0.0,204.46737829692626,0.0,0.0,0.0,0.0,245.71956322292812,0.0,0.0,0.0,0.0
K00005,0.0,0.0,0.0,0.0,0.0,21.110053145614298,0.0,0.0,0.0,0.0,0.0,64.10680501428044,0.0,0.0,0.0,172.14447603869394,0.0,0.0,0.0,0.0
K00008,136.54380591554192,0.0,0.0,0.0,395.7042348267212,42.88005075364393,274.9839409378492,0.0,0.0,0.0,75.10064989098389,67.41317318120608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.58702010875922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00010,136.94540534470525,329.27989779151983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.87818006591841,278.22304141598545,0.0,0.0,0.0,484.36725361940717,0.0,0.0,0.0,0.0
K00012,0.0,0.0,0.0,0.0,0.0,160.38098254736522,0.0,0.0,0.0,96.2816229769546,222.66780424678737,151.51663675504363,0.0,0.0,0.0,56.691810618512186,0.0,0.0,0.0,0.0
K00013,107.78110605833284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45597060636976,453.34117316120927,0.0,0.0,0.0,108.09052835372347,0.0,0.0,0.0,0.0
K00014,0.0,341.4006302255634,0.0,0.0,0.0,26.569549648790414,0.0,0.0,0.0,0.0,202.21653589323287,0.0,0.0,0.0,0.0,133.99882509830152,0.0,0.0,0.0,0.0
K00016,147.81408830857075,176.6612784976725,0.0,0.0,0.0,286.45055684280567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.1781570658716,0.0,0.0,0.0,0.0
K00018,291.9212402332275,0.0,0.0,0.0,0.0,23.85501361656105,0.0,0.0,0.0,0.0,83.28469507141163,213.1979096209458,0.0,0.0,0.0,66.99941254915076,0.0,0.0,0.0,0.0
K00024,0.0,0.0,0.0,0.0,0.0,23.138646841288942,0.0,0.0,0.0,0.0,0.0,136.82765713343832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00027,118.77917810510151,141.9599559356297,0.0,0.0,395.7042348267212,195.7278002386692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.41612817005488,0.0,0.0,0.0,0.0
K00029,0.0,714.5145383597801,0.0,0.0,741.7622071171031,27.918977671637307,664.0268896363441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.78824179804317,0.0,0.0,0.0,0.0
K00030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.10725117118062,0.0,0.0,0.0,0.0
K00031,122.53009951894684,0.0,0.0,0.0,0.0,193.59565031613397,0.0,0.0,0.0,0.0,64.16006138834672,1310.5207535008542,0.0,0.0,0.0,921.4091681817486,0.0,0.0,0.0,0.0
K00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.03552173885862,0.0,0.0,0.0,0.0
K00036,94.4451071342795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00040,87.3572942161347,0.0,0.0,0.0,0.0,14.565537614648807,0.0,0.0,0.0,0.0,47.85418943329729,43.56888414859429,0.0,0.0,0.0,131.4271150433993,0.0,0.0,0.0,0.0
K00041,0.0,0.0,0.0,0.0,0.0,15.503358949998427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.87846012847773,0.0,0.0,0.0,2571.1858252091156
K00046,0.0,0.0,0.0,0.0,0.0,55.83456085615377,0.0,0.0,0.0,0.0,103.11438437412869,0.0,0.0,0.0,0.0,934.3151717195558,0.0,0.0,0.0,0.0
K00048,0.0,0.0,0.0,0.0,0.0,59.99752187586215,1008.8725736993348,0.0,0.0,0.0,0.0,59.262462066098024,0.0,0.0,0.0,61.25660575922355,644.3547059527648,0.0,0.0,0.0
K00052,253.74080554332315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.25305457743445,0.0,0.0,0.0,1310.6208568868756,0.0,0.0,0.0,0.0
K00053,406.8667839951388,0.0,0.0,0.0,0.0,742.1604008848796,8466.751266411005,0.0,0.0,0.0,1729.5778991828925,132.3799950802239,0.0,0.0,0.0,546.7299701051803,0.0,0.0,0.0,0.0
K00057,412.8728137327514,0.0,0.0,0.0,0.0,46.07481656234315,0.0,0.0,0.0,0.0,86.32832180159609,0.0,0.0,0.0,0.0,990.9858547465911,0.0,0.0,0.0,0.0
K00058,0.0,0.0,0.0,0.0,787.3185034020032,194.53074730815257,0.0,0.0,0.0,0.0,0.0,453.1148062742361,0.0,0.0,2914.619146716099,1889.5813601556415,0.0,0.0,0.0,0.0
K00059,567.0944349530744,226.21261271043426,0.0,5749.10888812234,0.0,164.32086213737526,0.0,0.0,0.0,0.0,211.29016200178444,175.8957243902894,0.0,0.0,0.0,956.7247302566747,0.0,0.0,0.0,0.0
K00065,0.0,0.0,0.0,0.0,0.0,60.21133595623321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00067,472.12892988020883,0.0,0.0,0.0,0.0,81.02187220917591,0.0,0.0,0.0,0.0,0.0,82.55156996575761,0.0,0.0,0.0,75.10762171114992,322.2629562598935,0.0,0.0,0.0
K00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53244434661924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00074,0.0,0.0,0.0,0.0,0.0,190.44541440429424,0.0,0.0,0.0,0.0,1290.3530279348047,0.0,0.0,0.0,0.0,600.6235669833826,0.0,0.0,0.0,0.0
K00075,0.0,0.0,0.0,0.0,418.5333252974935,50.03356752044946,0.0,0.0,0.0,0.0,161.11913289852814,223.1772095004494,0.0,0.0,0.0,600.1782772801481,275.33145777544297,0.0,0.0,0.0
K00077,0.0,0.0,0.0,0.0,0.0,17.43250995056384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.93878120883744,30.55480187044275,0.0,0.0,0.0,277.2947029183555,111.21231431713971,0.0,0.0,0.0
K00088,0.0,226.9046301798008,0.0,0.0,0.0,232.3375653036052,196.1125780331948,0.0,0.0,0.0,743.050870700508,47.722510020772646,0.0,0.0,0.0,113.93136819952207,0.0,0.0,0.0,0.0
K00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31833293414617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00096,101.6625279851524,124.21496144367596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
