time_mins,temp,well,OD600
0,37.0,A01,0.157
10,36.9,A01,0.157
20,37.0,A01,0.159
30,37.0,A01,0.159
40,37.0,A01,0.159
50,37.0,A01,0.159
60,36.9,A01,0.159
70,37.0,A01,0.158
80,36.9,A01,0.158
90,37.0,A01,0.158
100,36.9,A01,0.158
110,37.0,A01,0.158
120,36.9,A01,0.157
130,36.9,A01,0.157
140,36.9,A01,0.156
150,37.0,A01,0.156
160,36.9,A01,0.155
170,37.0,A01,0.155
180,36.9,A01,0.155
190,37.0,A01,0.155
200,37.0,A01,0.154
210,36.9,A01,0.154
220,36.9,A01,0.153
230,37.0,A01,0.153
240,37.0,A01,0.153
250,37.0,A01,0.153
260,37.0,A01,0.155
270,36.9,A01,0.152
280,37.0,A01,0.152
290,37.0,A01,0.152
300,36.9,A01,0.152
310,37.0,A01,0.151
320,37.0,A01,0.151
330,36.9,A01,0.151
340,36.9,A01,0.151
350,36.9,A01,0.151
360,37.0,A01,0.151
370,37.0,A01,0.150
380,36.9,A01,0.149
390,36.9,A01,0.149
400,36.9,A01,0.149
410,37.0,A01,0.149
420,37.0,A01,0.149
430,37.0,A01,0.149
440,37.0,A01,0.149
450,36.9,A01,0.148
460,37.0,A01,0.149
470,37.0,A01,0.148
480,36.9,A01,0.148
490,37.0,A01,0.148
500,36.9,A01,0.149
510,36.9,A01,0.148
520,36.9,A01,0.148
530,37.0,A01,0.148
540,36.9,A01,0.147
550,37.0,A01,0.147
560,37.0,A01,0.146
570,37.0,A01,0.147
580,36.9,A01,0.147
590,37.0,A01,0.146
600,37.0,A01,0.146
610,37.0,A01,0.146
620,37.0,A01,0.146
630,37.0,A01,0.145
640,37.0,A01,0.145
650,37.0,A01,0.145
660,36.9,A01,0.146
670,37.0,A01,0.144
680,37.0,A01,0.143
690,36.9,A01,0.141
700,37.0,A01,0.140
710,37.0,A01,0.138
720,37.0,A01,0.138
730,37.0,A01,0.137
740,36.9,A01,0.138
750,37.0,A01,0.136
760,36.9,A01,0.136
770,37.0,A01,0.136
780,37.0,A01,0.136
790,36.9,A01,0.135
800,37.0,A01,0.135
810,37.0,A01,0.135
820,36.9,A01,0.134
830,36.9,A01,0.133
840,37.0,A01,0.133
850,37.0,A01,0.132
860,37.0,A01,0.132
870,36.9,A01,0.131
880,37.0,A01,0.131
890,37.0,A01,0.130
900,37.0,A01,0.130
910,36.9,A01,0.130
920,37.0,A01,0.129
930,37.0,A01,0.129
940,36.9,A01,0.129
950,36.9,A01,0.128
960,37.0,A01,0.128
970,37.0,A01,0.128
980,37.0,A01,0.128
990,37.0,A01,0.128
1000,37.0,A01,0.128
1010,37.0,A01,0.128
1020,36.9,A01,0.128
1030,36.9,A01,0.128
1040,36.9,A01,0.128
1050,37.0,A01,0.128
1060,36.9,A01,0.127
1070,36.9,A01,0.128
1080,36.9,A01,0.127
1090,37.0,A01,0.127
1100,37.0,A01,0.127
1110,36.9,A01,0.127
1120,37.0,A01,0.126
1130,36.9,A01,0.127
1140,36.9,A01,0.127
1150,36.9,A01,0.127
1160,37.0,A01,0.126
1170,37.0,A01,0.126
1180,37.0,A01,0.126
1190,37.0,A01,0.126
1200,37.0,A01,0.126
1210,36.9,A01,0.126
1220,37.0,A01,0.126
1230,37.0,A01,0.126
1240,36.9,A01,0.126
1250,36.9,A01,0.126
1260,37.0,A01,0.126
1270,37.0,A01,0.126
1280,37.0,A01,0.126
1290,37.0,A01,0.126
1300,37.0,A01,0.126
1310,37.0,A01,0.126
1320,37.0,A01,0.126
1330,37.0,A01,0.126
1340,36.9,A01,0.125
1350,37.0,A01,0.125
1360,37.0,A01,0.125
1370,37.0,A01,0.126
1380,36.9,A01,0.126
1390,37.0,A01,0.125
1400,37.0,A01,0.125
1410,37.0,A01,0.125
1420,36.9,A01,0.126
1430,37.0,A01,0.125
1440,36.9,A01,0.125
1450,36.9,A01,0.125
1460,37.0,A01,0.125
1470,37.0,A01,0.125
1480,36.9,A01,0.125
1490,36.9,A01,0.125
1500,37.0,A01,0.125
1510,37.0,A01,0.125
1520,36.9,A01,0.125
1530,36.9,A01,0.125
1540,36.9,A01,0.125
1550,36.9,A01,0.125
1560,36.9,A01,0.125
1570,36.9,A01,0.125
1580,37.0,A01,0.124
1590,37.0,A01,0.124
1600,37.0,A01,0.124
1610,36.9,A01,0.124
1620,37.0,A01,0.124
1630,37.0,A01,0.124
1640,36.9,A01,0.124
1650,37.0,A01,0.124
1660,37.0,A01,0.124
1670,36.9,A01,0.125
1680,37.0,A01,0.124
1690,36.9,A01,0.124
1700,36.9,A01,0.124
1710,36.9,A01,0.124
1720,37.0,A01,0.128
1730,37.0,A01,0.124
