OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1,Bacteria,1.0,Firmicutes,1.0,Bacilli,1.0,Bacillales,1.0,Planococcaceae,1.0,Sporosarcina,1.0
Otu2,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Prevotellaceae,0.97,Prevotella,0.72
Otu3,Bacteria,1.0,Firmicutes,1.0,Bacilli,1.0,Lactobacillales,1.0,Lactobacillaceae,1.0,Ligilactobacillus,0.97
Otu4,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Muribaculaceae,1.0,Duncaniella,1.0
Otu5,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Bacteroides,1.0
Otu6,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Muribaculaceae,1.0,Muribaculum,0.97
Otu7,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,0.99,Bacteroidales,0.99,Muribaculaceae,0.92,Paramuribaculum,0.79
Otu8,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Muribaculaceae,1.0,Paramuribaculum,1.0
Otu9,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Phocaeicola,0.55
Otu10,Bacteria,1.0,Firmicutes,1.0,Bacilli,1.0,Lactobacillales,1.0,Lactobacillaceae,1.0,Lactobacillus,1.0
Otu11,Bacteria,1.0,Verrucomicrobia,1.0,Verrucomicrobiae,1.0,Verrucomicrobiales,1.0,Akkermansiaceae,1.0,Akkermansia,1.0
Otu13,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,0.97,Bacteroidales,0.97,Muribaculaceae,0.63,Muribaculum,0.57
Otu14,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Bacteroides,1.0
Otu16,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,0.98,Bacteroidales,0.98,Muribaculaceae,0.69,Muribaculum,0.51
Otu19,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Muribaculaceae,1.0,Muribaculum,1.0
Otu20,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Bacteroides,1.0
Otu22,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Bacteroides,1.0
Otu23,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Bacteroidaceae,1.0,Bacteroides,1.0
Otu24,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,0.91,Bacteroidales,0.91,Muribaculaceae,0.68,Muribaculum,0.49
Otu25,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,1.0,Bacteroidales,1.0,Muribaculaceae,1.0,Muribaculum,0.5
Otu27,Bacteria,1.0,Bacteroidetes,1.0,Bacteroidia,0.97,Bacteroidales,0.97,Muribaculaceae,0.78,Duncaniella,0.46
