seqid,mouse_type,polysacc,replicate,S3_R1_path,S3_R2_path
psac.001,EC,amylopectin,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-amylopectin-1_S140_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-amylopectin-1_S140_L001_R2_001.fastq.gz
psac.002,EC,amylopectin,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-amylopectin-2_S141_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-amylopectin-2_S141_L001_R2_001.fastq.gz
psac.003,EC,pectin,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-apple-pectin-1_S134_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-apple-pectin-1_S134_L001_R2_001.fastq.gz
psac.004,EC,pectin,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-apple-pectin-2_S135_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-apple-pectin-2_S135_L001_R2_001.fastq.gz
psac.005,EC,arabinan,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabinan-1_S104_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabinan-1_S104_L001_R2_001.fastq.gz
psac.006,EC,arabinan,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabinan-2_S105_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabinan-2_S105_L001_R2_001.fastq.gz
psac.007,EC,arabinogalactan,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabino-galactan-1_S128_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabino-galactan-1_S128_L001_R2_001.fastq.gz
psac.008,EC,arabinogalactan,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabino-galactan-2_S129_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-arabino-galactan-2_S129_L001_R2_001.fastq.gz
psac.009,EC,cellobiose,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-cellobiose-1_S116_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-cellobiose-1_S116_L001_R2_001.fastq.gz
psac.010,EC,cellobiose,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-cellobiose-2_S117_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-cellobiose-2_S117_L001_R2_001.fastq.gz
psac.011,EC,glucose,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-glucose-1_S98_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-glucose-1_S98_L001_R2_001.fastq.gz
psac.012,EC,glucose,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-glucose-2_S99_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-glucose-2_S99_L001_R2_001.fastq.gz
psac.013,EC,H20,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-H20-1_S86_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-EC-H20-1_S86_L001_R2_001.fastq.gz
