seqid,Otu6,Otu129,Otu119,Otu67,Otu9,Otu11,Otu306,Otu126,Otu3,Otu5,Otu418,Otu46,Otu10,Otu22,Otu191,Otu138,Otu32,Otu242,Otu758,Otu241,Otu50,Otu1062,Otu406,Otu416,Otu264,Otu14,Otu20,Otu176,Otu187,Otu411,Otu151,Otu382,Otu19,Otu280,Otu1092,Otu170,Otu230,Otu1127,Otu162,Otu7,Otu431,Otu1019,Otu56,Otu40,Otu1325,Otu106,Otu116,Otu202,Otu1616,Otu165,Otu472,Otu93,Otu1249,Otu133,Otu616,Otu746,Otu606,Otu71,Otu722,Otu1534,Otu575,Otu1353,Otu1438,Otu52,Otu723,Otu142,Otu2055,Otu1146,Otu207,Otu1411,Otu1481,Otu1607,Otu1984,Otu1581,Otu1670,Otu562,Otu870,Otu1424,Otu1626,Otu1778,Otu1905,Otu1569,Otu1367,Otu1653,Otu1710,Otu1658,Otu2015,Otu1451,Otu894,Otu1903,Otu1729,Otu1829,Otu1685,Otu1772,Otu1554,Otu2097,Otu2110,Otu1624,Otu1561,Otu1470,Otu1978,Otu1779,Otu2039,Otu2087,Otu1758,Otu1304,Otu2045,Otu1666,Otu1997,Otu2086,Otu1794,Otu1314,Otu1752,Otu1918,Otu1294,Otu1935,Otu1,Otu1887,Otu1669,Otu2126,Otu1636,Otu2168,Otu1838,Otu1748,Otu1762,Otu1233,Otu2079,Otu2132,Otu2129,Otu1869,Otu1114,Otu1972,Otu1695,Otu1854,Otu1556,Otu1873,Otu1988,Otu1672,Otu2069,Otu1958,Otu2051,Otu2152,Otu2031,Otu1630,Otu1589,Otu1615,Otu2071,Otu2102,Otu1586,Otu2023,Otu1834,Otu1604,Otu2083,Otu1753,Otu1720,Otu2141,Otu1806,Otu2103,Otu2123,Otu935,Otu2064,Otu1980,Otu1891,Otu1979,Otu1799,Otu1784,Otu1782,Otu2075,Otu1919,Otu1924,Otu1830,Otu1731,Otu2046,Otu2181,Otu1631,Otu1816,Otu1625,Otu1767,Otu2019,Otu1977,Otu1874,Otu2056,Otu2160
lac.001,0,0,0,0,12,1,0,0,8,2,0,24955,1533,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,15,0,0,0,51,10,6,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,19,0,3,0,9,3,7,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,4,1,0,4,0,0
lac.002,0,0,0,1,36,1,0,11,4,10,2,4,24272,1,0,8,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,8,14,0,1,0,66,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,5,0,0,2,0,5,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17,0,6,0,5,0,1,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,0,0
lac.003,2,0,0,0,18,0,0,0,29298,6,0,0,14,0,0,4,5730,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,35,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,2,0,0,3,0,19,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,10,4,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
lac.004,0,0,1,0,16,1,0,0,24493,0,0,3,16,0,0,3,4578,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,19,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,7,24,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,5,0,9,4,0,9,0,5,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,84,0,1,0,2,0,0,5,2,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,37,5,0,3,1,0,0,0
lac.005,0,0,0,0,57,0,0,8,30,1,0,882,111,1,0,0,0,0,2,0,2,0,1,0,0,23,0,0,0,0,0,3,3,1,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,9,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
lac.006,0,0,0,0,89,1,4,86,3475,14,0,6,109,0,0,127,3,4,2,0,0,0,0,2,0,38,9,0,0,0,0,0,0,0,11,0,0,0,1,0,0,3,30,4,0,0,0,123,4,0,1,2,0,0,0,0,3,0,196,0,0,0,0,0,0,3,1,3,0,0,0,0,0,3,0,0,0,3,0,0,0,48,0,0,0,0,0,0,0,0,0,9,0,0,19,7,7,0,0,15,0,0,0,7,0,49,0,0,0,0,0,3,4,0,0,1,32,3,4,2,8,0,7,2,0,0,1,1,0,0,0,4,0,15,0,0,0,0,1,0,1,0,0,0,23,12,0,0,0,0,3,1,0,5,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,3,6,2,8,4,0
lac.007,0,0,0,0,45,2,0,8,2083,24,0,10,100,0,4,24,11,0,0,0,4,7,0,2,0,12,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,130,0,0,3,0,0,0,2,1,0,0,15,2,1,0,1,0,0,0,0,2,0,0,6,0,2,0,2,0,0,0,3,0,0,6,0,12,0,5,0,3,1,0,0,0,0,0,14,1,0,30,0,11,0,0,2,3,0,41,0,31,6,0,0,0,0,0,10,0,9,5,12,0,16,2,0,3,1,1,0,0,4,3,0,0,2,0,0,3,0,0,7,2,0,4,0,0,7,11,5,0,7,8,2,0,0,6,0,3,1,4,0,0,11,2,1,3,0,3,0,5,1,6,0,0,0,0,0,0,5,2,0,6,0,7,0
lac.008,0,0,0,0,20,5,0,4,11,6,0,20227,15,1,0,40,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,9,27,1,0,0,64,0,5,1,0,1,2,0,0,0,2,7,0,0,0,0,2,0,0,6,0,6,5,2,0,16,0,1,0,0,0,0,11,13,1,2,2,7,1,0,3,0,0,0,0,1,0,6,0,2,3,3,3,1,2,0,0,0,11,1,2,0,3,1,8,3,0,0,0,19,0,0,2,4,0,1,0,3,0,0,0,0,1,0,3,2,0,2,0,4,0,0,4,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,7,8,0,0,0,0,0,0,0,0,2,2,0,24,0,2,1,79,0,0,2,0,0,7,0,0
lac.009,0,1,0,0,47,1,0,5,22,7,0,3,9992,0,0,22,1,0,2,0,3,0,1,0,0,9,3,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,0,0,0,89,1,0,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,17,0,0,1,0,9,0,2,1,0,0,42,0,0,0,0,0,0,1,0,1,0,14,0,7,0,14,0,0,8,4,0,0,0,0,5,0,1,0,0,0,0,7,0,0,0,0,0,0,3,8,8,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,2,0,0,0,0,0,0,17,4,0,2,0,0,0
lac.010,0,0,0,0,32,1,0,10,8,11,0,1,12971,1,0,15,0,0,4,2,2,1,0,0,0,12,7,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,15,0,0,0,79,0,0,4,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1,4,0,0,0,2,3,0,0,1,8,0,2,0,0,7,1,1,0,0,1,42,0,0,0,0,1,3,0,0,8,0,10,4,7,0,14,1,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,56,10,3,0,10,0,3,1,0,3,0,1,0,0,2,1,0,0,0,0,0,9,0,0,0,0,3,0,37,0,0,0,0,6,4,4,0,4,0,5
