seqid,ZOTU,count,rel_ab,spike_count,mouse_type,order,family,genus
lac.001,Otu46,24955,0.933315880020944,19,EC,Lactobacillales,Lactobacillaceae,Limosilactobacillus
lac.001,Otu10,1533,0.057334131199042564,19,EC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.002,Otu10,24272,0.988555370015884,17,EC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.003,Otu3,29298,0.8313611986038989,21,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.003,Otu32,5730,0.16259470503107176,21,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.004,Otu3,24493,0.8329252533496565,10,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.004,Otu32,4578,0.15568251377269945,10,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.005,Otu3,30,0.023828435266084195,9,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.005,Otu46,882,0.7005559968228753,9,EC,Lactobacillales,Lactobacillaceae,Limosilactobacillus
lac.005,Otu10,111,0.08816521048451152,9,EC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.006,Otu3,3475,0.7445896721662738,33,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.006,Otu10,109,0.023355474608956504,33,EC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.007,Otu3,2083,0.7275585050646175,9,EC,Lactobacillales,Lactobacillaceae,Ligilactobacillus
lac.007,Otu10,100,0.0349283967865875,9,EC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.008,Otu46,20227,0.9746073046159777,19,EC,Lactobacillales,Lactobacillaceae,Limosilactobacillus
lac.009,Otu10,9992,0.956263757297349,14,JC,Lactobacillales,Lactobacillaceae,Lactobacillus
lac.010,Otu10,12971,0.9615983393876492,10,JC,Lactobacillales,Lactobacillaceae,Lactobacillus
