seqid,ZOTU,count,rel_ab,spike_count,abs_ab,mouse_type,polysacc,replicate,order,family,genus
psac02.001,Otu13,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.001,Otu114,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.001,Otu6,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.001,Otu129,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Lachnospira
psac02.001,Otu8,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Muribaculaceae,Paramuribaculum
psac02.001,Otu119,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.001,Otu62,0,0,20914,0,EC,amylopectin,1,Lactobacillales,Lactobacillaceae,Lactobacillus
psac02.001,Otu67,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu9,6,0.0014807502467917078,20914,2.868891651525294e-4,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Phocaeicola
psac02.001,Otu11,0,0,20914,0,EC,amylopectin,1,Verrucomicrobiales,Akkermansiaceae,Akkermansia
psac02.001,Otu123,0,0,20914,0,EC,amylopectin,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.001,Otu121,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Clostridium_IV
psac02.001,Otu126,1,2.4679170779861795e-4,20914,4.78148608587549e-5,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu3,0,0,20914,0,EC,amylopectin,1,Lactobacillales,Lactobacillaceae,Ligilactobacillus
psac02.001,Otu5,21,0.005182625863770977,20914,0.001004112078033853,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu418,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu46,0,0,20914,0,EC,amylopectin,1,Lactobacillales,Lactobacillaceae,Limosilactobacillus
psac02.001,Otu10,3,7.403751233958539e-4,20914,1.434445825762647e-4,EC,amylopectin,1,Lactobacillales,Lactobacillaceae,Lactobacillus
psac02.001,Otu95,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu22,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu30,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.001,Otu83,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Ruminococcus2
psac02.001,Otu205,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.001,Otu191,0,0,20914,0,EC,amylopectin,1,Burkholderiales,Sutterellaceae,Parasutterella
psac02.001,Otu581,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Kineothrix
psac02.001,Otu61,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Lawsonibacter
psac02.001,Otu138,0,0,20914,0,EC,amylopectin,1,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
psac02.001,Otu32,0,0,20914,0,EC,amylopectin,1,Lactobacillales,Lactobacillaceae,Ligilactobacillus
psac02.001,Otu242,0,0,20914,0,EC,amylopectin,1,Clostridiales,Clostridiaceae_4,Anaerosolibacter
psac02.001,Otu136,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Marvinbryantia
psac02.001,Otu515,0,0,20914,0,EC,amylopectin,1,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus
psac02.001,Otu78,1,2.4679170779861795e-4,20914,4.78148608587549e-5,EC,amylopectin,1,Deferribacterales,Deferribacteraceae,Mucispirillum
psac02.001,Otu194,0,0,20914,0,EC,amylopectin,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.001,Otu50,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.001,Otu1062,1,2.4679170779861795e-4,20914,4.78148608587549e-5,EC,amylopectin,1,Lactobacillales,Streptococcaceae,Streptococcus
psac02.001,Otu168,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Mordavella
psac02.001,Otu406,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.001,Otu447,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.001,Otu318,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Blautia
psac02.001,Otu14,2525,0.6231490621915103,20914,0.12073252366835613,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu111,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Blautia
psac02.001,Otu97,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Flavonifractor
psac02.001,Otu20,0,0,20914,0,EC,amylopectin,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.001,Otu355,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.001,Otu187,0,0,20914,0,EC,amylopectin,1,Clostridiales,Ruminococcaceae,Ruminococcus
psac02.001,Otu321,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Acetatifactor
psac02.001,Otu148,0,0,20914,0,EC,amylopectin,1,Clostridiales,Lachnospiraceae,Clostridium_XlVa
psac02.001,Otu641,0,0,20914,0,EC,amylopectin,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
