seqid,Otu13,Otu114,Otu6,Otu129,Otu8,Otu119,Otu62,Otu67,Otu9,Otu11,Otu123,Otu121,Otu126,Otu3,Otu5,Otu418,Otu46,Otu10,Otu95,Otu22,Otu30,Otu83,Otu205,Otu191,Otu581,Otu61,Otu138,Otu32,Otu242,Otu136,Otu515,Otu78,Otu194,Otu50,Otu1062,Otu168,Otu406,Otu447,Otu318,Otu14,Otu111,Otu97,Otu20,Otu355,Otu187,Otu321,Otu148,Otu641,Otu172,Otu19,Otu304,Otu236,Otu334,Otu17,Otu178,Otu243,Otu500,Otu170,Otu667,Otu130,Otu230,Otu48,Otu299,Otu1127,Otu162,Otu237,Otu7,Otu354,Otu1124,Otu431,Otu635,Otu77,Otu25,Otu268,Otu375,Otu42,Otu56,Otu293,Otu16,Otu465,Otu906,Otu40,Otu456,Otu561,Otu2,Otu43,Otu1325,Otu106,Otu4,Otu88,Otu79,Otu116,Otu202,Otu44,Otu41,Otu63,Otu24,Otu29,Otu72,Otu229,Otu31,Otu33,Otu23,Otu45,Otu149,Otu80,Otu96,Otu1172,Otu36,Otu147,Otu317,Otu165,Otu309,Otu89,Otu76,Otu140,Otu26,Otu472,Otu59,Otu132,Otu398,Otu64,Otu203,Otu141,Otu108,Otu196,Otu103,Otu422,Otu1064,Otu346,Otu247,Otu1163,Otu179,Otu91,Otu473,Otu564,Otu1249,Otu791,Otu634,Otu335,Otu493,Otu598,Otu616,Otu746,Otu606,Otu166,Otu599,Otu621,Otu803,Otu1063,Otu722,Otu1648,Otu865,Otu575,Otu1353,Otu1186,Otu1438,Otu1017,Otu434,Otu142,Otu101,Otu796,Otu1026,Otu1146,Otu404,Otu208,Otu482,Otu1481,Otu1293,Otu1670,Otu69,Otu1424,Otu1626,Otu1778,Otu1367,Otu1710,Otu1658,Otu2015,Otu1451,Otu1738,Otu894,Otu990,Otu1225,Otu665,Otu201,Otu776,Otu1886,Otu1326,Otu1774,Otu1829,Otu1890,Otu1772,Otu1973,Otu2161,Otu1554,Otu2097,Otu1705,Otu1632,Otu1978,Otu2156,Otu1779,Otu1969,Otu1831,Otu1304,Otu1449,Otu2050,Otu2045,Otu1770,Otu1666,Otu1904,Otu1106,Otu1314,Otu1918,Otu1294,Otu1462,Otu1664,Otu2092,Otu2029,Otu1668,Otu2162,Otu2089,Otu1,Otu697,Otu759,Otu864,Otu1887,Otu1669,Otu1636,Otu2168,Otu1748,Otu1762,Otu2132,Otu2129,Otu600,Otu1869,Otu1015,Otu786,Otu1691,Otu1114,Otu1972,Otu1317,Otu1695,Otu1854,Otu2037,Otu1551,Otu1556,Otu1873,Otu1988,Otu1672,Otu2069,Otu1764,Otu1226,Otu1364,Otu1401,Otu2113,Otu1166,Otu1180,Otu1292,Otu1589,Otu1615,Otu1456,Otu2071,Otu1822,Otu1363,Otu2023,Otu1216,Otu1923,Otu1967,Otu1604,Otu1560,Otu1266,Otu620,Otu1757,Otu1806,Otu1383,Otu1564,Otu1788,Otu1316,Otu1928,Otu1761,Otu1673,Otu1463,Otu1620,Otu1562,Otu2190,Otu2193,Otu1644,Otu1073,Otu935,Otu1892,Otu2064,Otu1980,Otu1591,Otu2041,Otu1979,Otu1799,Otu1784,Otu2046,Otu2181,Otu1809,Otu1625,Otu1767,Otu2019,Otu1977,Otu1858,Otu1896,Otu1703,Otu2013,Otu2042,Otu2056,Otu2160,Otu1759,Otu1476,Otu1352,Otu1877,Otu1975,Otu1649,Otu1633,Otu2076,Otu1986,Otu2014,Otu2088,Otu1354,Otu2080,Otu1912,Otu1839,Otu1771,Otu2178
psac02.001,0,0,0,0,0,0,0,0,6,0,0,0,1,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1017,28,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,22,0,0,0,0,0,66,13,0,0,0,0,0,20,0,1,45,19,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,44,3,17,0,0,0,7,0,1,0,0,0,0,4,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,7,4,0,0,20914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.002,0,0,0,0,0,0,0,0,18,0,0,0,3,3,44,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,25,0,0,1,0,0,0,2,0,0,0,7,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,440,0,0,133,0,0,0,0,0,347,61,0,0,0,0,0,60,0,14,158,101,32,62,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,1,184,15,52,0,1,0,24,0,2,0,0,12,0,16,1,0,12,3,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,26,2,12,15,5,1,29808,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,14,1,1,1,0,0,0,0,0,0,9,0,1,13,1,1,0,0,0,0,0,2,1,9,0,6,1,0,0,0,0,9,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,0,0,0,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
psac02.003,0,0,0,0,4,0,0,1,20115,0,3,0,2,8,648,0,0,2,0,1235,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,27,15338,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,5,392,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,38,1,0,0,0,1,0,0,0,0,0,0,0,0,6,326,0,0,0,0,0,0,1,327,1,0,1,0,0,0,0,21,0,0,114,0,386,0,0,0,306,51,0,0,0,0,0,39,0,5,147,97,34,31,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,136,15,32,0,0,0,21,0,2,0,0,3,0,8,2,0,6,0,0,29,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,4,5,2,1,35739,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0,9,1,1,1,0,0,0,0,0,0,10,2,1,5,0,0,0,1,0,0,0,0,1,5,0,1,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
psac02.004,1,0,1,0,6,0,0,0,40147,0,3,0,8105,4,1217,0,0,8,1,5728,0,0,0,0,0,0,2,4,0,0,0,0,2,32,0,0,0,0,46,17559,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,26,0,0,3,0,1543,861,0,1,4,0,0,2,0,0,0,15,0,0,0,0,0,1,0,1,0,260,0,0,0,1,0,1,2,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,66,0,0,0,0,0,0,0,14,0,0,0,1,368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58869,0,0,0,1,3,1,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.005,0,0,0,0,0,0,0,7,30136,0,0,0,0,0,438,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,34,7,0,0,0,0,0,6,0,1,25,6,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,1,3,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.006,0,0,0,0,0,0,0,0,37019,0,0,0,532,0,213,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1,0,4,6,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,30,4,0,0,0,0,0,2,0,0,11,10,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.007,0,0,0,0,0,0,0,1,8054,0,0,0,0,1,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,22667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,328,0,0,0,20,0,0,0,0,0,0,3,0,1,7,5,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.008,1,0,0,0,1,0,0,0,15229,0,0,0,7,4,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24415,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,24,4,0,0,0,0,0,8,0,3,15,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,11,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.009,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28119,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psac02.010,0,0,0,0,0,0,0,3,3,0,0,0,1762,1,35970,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
