seqid,mouse_type,polysacc,replicate,S3_R1_path,S3_R2_path
psac02.001,EC,amylopectin,1,20211222_JvEPolysaccharideScreen/20210908-EC-amylopectin-1_S73_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-amylopectin-1_S73_L001_R2_001.fastq.gz
psac02.002,EC,amylopectin,2,20211222_JvEPolysaccharideScreen/20210908-EC-amylopectin-2_S74_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-amylopectin-2_S74_L001_R2_001.fastq.gz
psac02.003,EC,apple_pectin,1,20211222_JvEPolysaccharideScreen/20210908-EC-apple-pectin-1_S67_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-apple-pectin-1_S67_L001_R2_001.fastq.gz
psac02.004,EC,apple_pectin,2,20211222_JvEPolysaccharideScreen/20210908-EC-apple-pectin-2_S68_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-apple-pectin-2_S68_L001_R2_001.fastq.gz
psac02.005,EC,arabinan,1,20211222_JvEPolysaccharideScreen/20210908-EC-arabinan-1_S37_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-arabinan-1_S37_L001_R2_001.fastq.gz
psac02.006,EC,arabinan,2,20211222_JvEPolysaccharideScreen/20210908-EC-arabinan-2_S38_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-arabinan-2_S38_L001_R2_001.fastq.gz
psac02.007,EC,arabinogalactan,1,20211222_JvEPolysaccharideScreen/20210908-EC-arabino-galactan-1_S61_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-arabino-galactan-1_S61_L001_R2_001.fastq.gz
psac02.008,EC,arabinogalactan,2,20211222_JvEPolysaccharideScreen/20210908-EC-arabino-galactan-2_S62_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-arabino-galactan-2_S62_L001_R2_001.fastq.gz
psac02.009,EC,cellobiose,1,20211222_JvEPolysaccharideScreen/20210908-EC-cellobiose-1_S49_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-cellobiose-1_S49_L001_R2_001.fastq.gz
psac02.010,EC,cellobiose,2,20211222_JvEPolysaccharideScreen/20210908-EC-cellobiose-2_S50_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-cellobiose-2_S50_L001_R2_001.fastq.gz
psac02.011,EC,glucose,1,20211222_JvEPolysaccharideScreen/20210908-EC-glucose-1_S31_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-glucose-1_S31_L001_R2_001.fastq.gz
psac02.012,EC,glucose,2,20211222_JvEPolysaccharideScreen/20210908-EC-glucose-2_S32_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-glucose-2_S32_L001_R2_001.fastq.gz
psac02.013,EC,H20,1,20211222_JvEPolysaccharideScreen/20210908-EC-H20-1_S19_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-H20-1_S19_L001_R2_001.fastq.gz
psac02.014,EC,H20,2,20211222_JvEPolysaccharideScreen/20210908-EC-H20-2_S20_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-H20-2_S20_L001_R2_001.fastq.gz
psac02.015,EC,inulin,1,20211222_JvEPolysaccharideScreen/20210908-EC-inulin-1_S43_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-inulin-1_S43_L001_R2_001.fastq.gz
psac02.016,EC,inulin,2,20211222_JvEPolysaccharideScreen/20210908-EC-inulin-2_S44_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-inulin-2_S44_L001_R2_001.fastq.gz
psac02.017,EC,mGAM,1,20211222_JvEPolysaccharideScreen/20210908-EC-mGAM-1_S25_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-mGAM-1_S25_L001_R2_001.fastq.gz
psac02.018,EC,mGAM,2,20211222_JvEPolysaccharideScreen/20210908-EC-mGAM-2_S26_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-mGAM-2_S26_L001_R2_001.fastq.gz
psac02.019,EC,mucin,1,20211222_JvEPolysaccharideScreen/20210908-EC-mucin-1_S55_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-mucin-1_S55_L001_R2_001.fastq.gz
psac02.020,EC,mucin,2,20211222_JvEPolysaccharideScreen/20210908-EC-mucin-2_S56_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-EC-mucin-2_S56_L001_R2_001.fastq.gz
psac02.021,JC,amylopectin,1,20211222_JvEPolysaccharideScreen/20210908-JC-amylopectin-1_S71_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-amylopectin-1_S71_L001_R2_001.fastq.gz
psac02.022,JC,amylopectin,2,20211222_JvEPolysaccharideScreen/20210908-JC-amylopectin-2_S72_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-amylopectin-2_S72_L001_R2_001.fastq.gz
psac02.023,JC,apple_pectin,1,20211222_JvEPolysaccharideScreen/20210908-JC-apple-pectin-1_S65_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-apple-pectin-1_S65_L001_R2_001.fastq.gz
psac02.024,JC,apple_pectin,2,20211222_JvEPolysaccharideScreen/20210908-JC-apple-pectin-2_S66_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-apple-pectin-2_S66_L001_R2_001.fastq.gz
psac02.025,JC,arabinan,1,20211222_JvEPolysaccharideScreen/20210908-JC-arabinan-1_S35_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-arabinan-1_S35_L001_R2_001.fastq.gz
psac02.026,JC,arabinan,2,20211222_JvEPolysaccharideScreen/20210908-JC-arabinan-2_S36_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JC-arabinan-2_S36_L001_R2_001.fastq.gz
