#OTU ID	bulk16SV4s10	bulk16SV4s11	bulk16SV4s12	bulk16SV4s13	bulk16SV4s14	bulk16SV4s15	bulk16SV4s16	bulk16SV4s17	bulk16SV4s1	bulk16SV4s2	bulk16SV4s3	bulk16SV4s4	bulk16SV4s5	bulk16SV4s6	bulk16SV4s7	bulk16SV4s8	bulk16SV4s9	HMP206534	HMP206536	HMP206538	HMP206547	HMP206548	HMP206561	HMP206562	HMP206563	HMP206564	HMP206569	HMP206570	HMP206571	HMP206572	HMP206603	HMP206604	HMP206605	HMP206608	HMP206609	HMP206614	HMP206615	HMP206616	HMP206617	HMP206618	HMP206619	HMP206620	HMP206621	HMP206622	HMP206623	HMP206624	HMP206625	HMP206626	HMP206627	HMP206628	HMP206629	HMP206630	HMP206635	HMP206636	HMP206643	HMP206644	HMP206645	HMP206646	HMP206647	HMP206648	HMP206655	HMP206656	HMP206657	HMP206658	HMP206659	HMP206660	HMP206667	HMP206668	HMP206669	HMP206670	HMP206671	HMP206672	HMP206673	HMP206675	HMP206676	HMP206677	HMP206678	HMP206681	HMP206682	HMP206683	HMP206684	HMP206695	HMP206700	HMP206701	HMP206702	HMP206703	HMP206704	HMP206708	HMP206709	HMP206710	HMP206711	HMP206712	HMP206713	HMP206718	HMP206719	HMP206720	HMP206721	HMP206723	HMP206724	HMP206725	HMP206726	HMP206727	HMP206728	HMP206729	HMP206730	HMP206731	HMP206732	HMP206733	HMP206734	HMP206738	HMP206739	HMP206740	HMP206741	HMP206742	HMP206743	HMP206746	HMP206747	HMP206750	HMP206751	HMP206752	HMP206753	HMP206754	HMP206755	HMP206756	HMP206757	HMP206758	HMP206761	HMP206762	HMP206766	HMP206767	HMP206768	HMP206769	HMP206770	HMP214994	HMP214995	HMP215003	HMP215004	HMP215007	HMP215008	HMP215009	HMP215010	HMP215023	HMP215048	HMP215049	HMP215050	HMP215055	HMP215056	HMP215057	HMP215058	HMP215061	HMP215062	HMP215067	HMP215074	HMP215075	HMP215076	HMP215077	HMP215080	HMP215084	HMP215085	HMP219633	HMP219634	HMP219637	HMP219638	HMP219643	HMP219644	HMP219645	HMP219646	HMP219651	HMP219652	HMP219653	HMP219654	HMP219655	HMP219656	HMP219657	HMP219658	HMP219659	HMP219668	HMP219669	HMP219670	HMP219675	HMP219676	HMP219691	HMP219692	HMP219693	HMP222170	HMP222171	HMP224323	HMP224324	HMP224325	HMP224326	HMP224327	HMP224328	HMP224330	HMP224844	HMP224845
Otu55	270	122	199	250	165	0	268	126	74	1	160	39	19	0	55	129	137	0	0	0	0	0	51	48	371	3	49	65	0	0	0	153	132	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	217	0	0	0	0	0	231	115	58	12	0	56	79	56	35	0	0	0	0	0	0	88	9	10	0	0	0	0	147	1235	0	0	1	2	124	435	304	141	0	0	138	34	110	166	174	119	0	5	282	292	0	0	0	0	238	140	114	361	161	416	79	99	3	10	205	218	16	15	75	141	472	205	165	0	0	376	317	9	16	0	0	0	28	132	0	0	0	0	12	41	0	47	0	0	0	0	106	221	114	117	77	78	5	0	228	30	0	0	194	471	0	106	233	299	1	0	811	639	276	303	31	7	0	0	58	0	505	425	475	1027	60	1	234	5	72	166	30	44	118	0	0	170	24	73
Otu126	11608	7	0	0	0	0	0	0	0	0	35	0	0	959	494	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	125	119	76	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Otu124	2647	114	10	10	2	6	3	0	1	0	23	0	0	5	0	4	47	0	0	0	0	0	20	52	48	0	12	25	0	0	0	0	0	3	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	35	0	0	3	2	0	0	0	2	0	0	0	0	2	0	0	1	5	16	0	0	0	0	72	56	0	1	19	39	11	0	0	0	0	0	12	20	2	34	4	31	597	280	5	13	23	13	3	5	0	1594	1607	0	0	0	0	116	55	0	0	18	4	39	0	0	0	0	0	1	0	2	0	1	9	3	12	0	0	0	5	0	0	0	0	181	1	0	0	1	0	132	6	1	0	0	9	4	453	202	0	0	0	0	148	0	69	72	0	3	0	0	0	0	5	0	0	20	111	149	80	0	0	0
Otu491	25	11	0	0	24	0	9	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0	0	0	0	0	21	0	41	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
Otu65	945	2214	1657	0	0	441	668	570	1	0	2	0	331	1	0	0	2743	188	175	138	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	25	0	0	0	0	139	0	0	0	0	0	0	0	7	0	0	0	0	47	0	28	0	21	0	0	2	0	0	1	0	0	0	0	116	141	1	0	0	0	0	0	2	0	262	200	0	0	0	0	0	6	0	0	0	0	2	0	327	312	349	1281	0	0	0	0	0	0	436	438	1	99	72	0	0	1	0	9	0	0	0	0	100	35	92	0	1	0	293	284	0	0	0	0	284	192	0	1	1	0	0	69	0	0	248	486	0	0	0	0	0	0	10	2	0	0	12	9	92	410	0	0	0	0	47	0	1500	2010	0	0	0	0	0	11	0	0	0	0	0	0	0	105	29	25
Otu19	620	2	0	0	0	1	0	0	0	3	0	0	0	516	2	0	8	185	229	146	300	151	642	359	3	0	532	672	31	0	98	1	1	1	0	148	662	0	22	42	458	0	0	0	0	0	0	0	0	0	0	0	198	13	0	1	127	1326	6	0	0	4	4	1	0	1	0	0	0	2210	923	274	0	0	0	1	0	381	111	0	0	1	1195	0	0	653	863	7	39	2180	2603	81	95	7	7	2113	2408	0	2	304	662	42	67	1	0	3	0	83	77	282	229	522	579	1002	506	506	275	0	1	1	0	0	0	8	1145	1599	458	199	6	0	15	0	238	708	794	2	0	161	16	0	0	1019	0	0	948	0	0	0	0	0	0	977	143	0	2	405	367	0	0	2	0	0	20	1259	49	11	1	1522	2136	516	1009	0	1	0	0	0	0	2456	2036	180	161	2	0	0	0	0	0	0	399	332	15	53	908	0	0
Otu1180	16	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu80	243	557	521	0	525	0	183	146	850	0	1746	353	34	929	1387	2080	415	286	115	72	0	0	0	24	18	0	4	8	0	0	0	14	41	0	0	0	0	6	12	0	29	0	0	0	0	0	0	3	0	0	4	220	6	0	0	0	0	166	10	18	0	6	0	0	20	2	1	0	0	0	0	0	37	28	0	0	0	150	26	0	0	0	0	0	0	20	115	20	26	400	267	219	36	0	1	1	0	0	7	0	0	0	0	0	0	52	56	1	2	103	73	49	26	37	99	10	5	23	21	26	29	544	28	22	0	0	341	210	0	0	0	0	67	0	0	0	0	45	29	16	12	15	29	0	716	0	0	69	25	21	56	18	85	22	27	81	34	0	0	8	13	0	443	47	0	0	0	33	64	0	0	1	0	0	0	0	0	24	27	47	142	0	0	0	4	32	0	0	11	23	0	0	255	0	2
Otu75	88	46	78	53	23	102	118	197	31	0	86	22	22	3	43	111	48	1	10	0	0	0	169	72	1	0	34	69	0	0	0	38	9	13	25	0	0	0	0	1	0	0	0	101	0	0	0	0	0	0	14	23	0	0	577	549	0	46	0	0	0	0	0	1	43	54	107	0	0	8	1425	1058	0	197	249	0	8	0	0	2	1	0	0	1	0	176	157	18	52	26	12	54	59	40	56	1	0	0	70	241	317	3	1	0	17	85	171	162	241	12	68	0	3	416	681	123	47	0	0	254	147	265	11	7	1	0	16	7	0	0	0	1	8	2	2	0	0	21	5	10	0	139	0	0	64	21	27	10	0	0	0	41	0	46	85	0	442	43	0	2	0	0	0	36	14	197	142	35	16	0	0	9	24	0	0	0	0	35	22	33	53	0	0	0	9	51	66	138	997	522	12	22	24	0	0
Otu15	1672	1797	2015	881	75	6	942	2532	1543	79	509	427	528	165	190	528	45	265	203	45	0	0	198	367	63	7	39	76	1	0	3	29	16	82	87	0	0	44	91	72	191	1	4	0	0	0	0	2	0	0	638	840	14	0	1	0	0	684	762	185	1	1	538	325	129	88	0	4	4	1395	0	0	651	182	136	17	90	273	6	196	168	1	4	0	1	1495	2050	227	54	2	2	317	366	658	1011	307	397	0	1	216	222	2	4	0	3	727	668	6	2	962	3093	1122	2461	1729	596	1564	1298	4	4	414	1163	2479	645	365	1	1	652	755	577	172	1	0	442	345	572	4	0	145	32	100	114	13	138	0	467	1539	1882	325	87	209	200	34	611	0	0	1160	404	67	80	76	27	0	30	1061	2670	391	207	1737	1369	1	0	42	6	0	0	0	0	58	54	3	0	280	0	0	37	47	887	415	53	162	27	69	384	32	221
Otu213	631	0	0	0	0	0	0	0	0	0	0	0	0	45	4	0	0	68	71	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	8	15	7	0	0	0	1	0	0	2	0	0	234	35	51	11	0	0	0	0	0	0	0	0	0	0	0	0	154	86	0	0	0	0	56	67	0	0	0	0	0	0	6	9	140	2	0	0	0	243	65	0	0	0	0	62	0	0	2	0	11	11	0	0	5	6	0	76	0	0	0	0	0	0	0	6	0	0	42	105	0	0	0	0	0	42	1	0	0	0	1	3	0	0	0	0	0	0	0	0	35	75	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
Otu10	1486	2286	848	34	0	2739	1	0	120	0	1062	102	70	1	0	9	711	1481	1531	582	0	0	0	0	0	0	30	25	0	0	1	0	0	434	377	0	0	0	0	1	0	0	0	1	0	1	19	1	0	0	4	74	822	9	0	1	0	1	2	61	122	33	0	0	1	0	0	0	0	2	1	1	0	170	84	35	199	64	2	1	2	0	0	0	3	184	186	1	0	50	49	362	348	1951	2888	1	5	0	15	288	327	0	0	0	10	975	1122	3637	4088	1089	1438	761	1179	9211	8572	1	0	2	0	1094	1077	513	2144	2185	4	0	0	0	3	1	0	0	0	0	0	181	19	4	0	0	1	624	283	0	1749	0	0	351	233	93	57	291	0	492	428	0	279	402	497	0	0	0	87	526	0	0	0	558	515	385	180	2	4	0	0	179	0	615	386	0	0	0	0	41	0	0	78	67	2020	2398	1	0	210	78	288
Otu1179	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu42	1311	69	0	283	84	1	13	234	2223	305	2323	446	64	984	3069	2489	35	72	15	3	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	10	114	1640	53	0	0	0	236	0	1	0	0	0	0	28	45	0	0	0	0	1	0	0	0	0	0	0	0	0	33	80	0	0	3	0	0	2	0	0	171	170	0	0	0	0	0	0	0	0	23	21	0	0	0	0	1164	1050	0	0	0	0	2	11	0	8	0	0	0	0	0	0	565	11	6	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	16	17	38	30	0	813	0	0	13	2	0	0	0	0	0	3	0	74	0	0	0	0	0	11	892	0	0	0	1987	4618	0	0	0	0	1	0	0	0	32	85	0	0	0	0	0	12	18	50	47	15	12	0	0	0	29	53
Otu38	41	601	74	39	41	42	0	53	24	1	197	15	3	2	0	0	0	164	99	103	0	0	47	81	137	17	141	250	1	0	0	140	188	729	994	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0	0	0	1	0	0	1	1678	447	0	47	154	92	202	293	156	4	0	0	0	0	0	19	129	0	2	0	1	0	1	20	1	0	0	230	123	65	469	248	114	404	412	106	323	402	388	0	12	0	0	0	0	0	0	44	50	0	0	202	151	218	414	0	1	338	161	436	393	244	436	165	671	860	1	1	0	0	6	0	0	0	310	0	0	177	19	2	0	114	139	183	68	0	235	406	134	135	82	313	241	205	21	39	8	142	8	298	178	95	82	0	275	128	0	0	0	238	158	465	505	35	40	1	0	94	0	399	179	126	130	1	0	347	69	141	77	80	1681	2417	63	155	0	127	118
Otu307	35	0	42	10	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	107	39	9	0	0	0	0	0	8	17	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	11	4	56	40	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	28	8	0	0	0	0	3	2	0	0	3	0	0	2	8	9	0	0	0	0	2	1	54	69	2	6	14	15	3	12	0	0	0	0	13	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	0	135	75	9	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	16	19	28	0	0	0	0	0	0	0	19	23	26	28	0	0	0
