seqid,mouse_type,tube label,S3_R1_path,S3_R2_path
lac.001,EC,10,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_10_L001-ds.eae592738db94776b722ac9f9b6ee0e1/20211210GU-Lacto-Env-10_S371_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_10_L001-ds.eae592738db94776b722ac9f9b6ee0e1/20211210GU-Lacto-Env-10_S371_L001_R2_001.fastq.gz
lac.002,EC,11,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_11_L001-ds.f4da3b629fbb44379ccb9fdb96f93b88/20211210GU-Lacto-Env-11_S372_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_11_L001-ds.f4da3b629fbb44379ccb9fdb96f93b88/20211210GU-Lacto-Env-11_S372_L001_R2_001.fastq.gz
lac.003,EC,2,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_2_L001-ds.94f04145b6044e40b098dc9e48c59ec5/20211210GU-Lacto-Env-2_S365_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_2_L001-ds.94f04145b6044e40b098dc9e48c59ec5/20211210GU-Lacto-Env-2_S365_L001_R2_001.fastq.gz
lac.004,EC,3,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_3_L001-ds.ed8b1ba3ff034eb587eedfcc41fcce3f/20211210GU-Lacto-Env-3_S366_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_3_L001-ds.ed8b1ba3ff034eb587eedfcc41fcce3f/20211210GU-Lacto-Env-3_S366_L001_R2_001.fastq.gz
lac.005,EC,4,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_4_L001-ds.7bbbcf3cf2c44aafaf9745bba95f8beb/20211210GU-Lacto-Env-4_S367_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_4_L001-ds.7bbbcf3cf2c44aafaf9745bba95f8beb/20211210GU-Lacto-Env-4_S367_L001_R2_001.fastq.gz
lac.006,EC,5,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_5_L001-ds.9c4d5be49f9a44ac88511918176ec11e/20211210GU-Lacto-Env-5_S368_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_5_L001-ds.9c4d5be49f9a44ac88511918176ec11e/20211210GU-Lacto-Env-5_S368_L001_R2_001.fastq.gz
lac.007,EC,7,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_7_L001-ds.fb1bef91046d44b2b00bc32ffe47fbf1/20211210GU-Lacto-Env-7_S369_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_7_L001-ds.fb1bef91046d44b2b00bc32ffe47fbf1/20211210GU-Lacto-Env-7_S369_L001_R2_001.fastq.gz
lac.008,EC,8,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_8_L001-ds.b5e0ddd6ce36475193211260e28e05d5/20211210GU-Lacto-Env-8_S370_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Env_8_L001-ds.b5e0ddd6ce36475193211260e28e05d5/20211210GU-Lacto-Env-8_S370_L001_R2_001.fastq.gz
lac.009,JC,2,20211211_JvE_Lacto_16S/20211210GU_Lacto_Jax_1_L001-ds.6163f4252ee44da5b0db704b0e8169cd/20211210GU-Lacto-Jax-1_S363_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Jax_1_L001-ds.6163f4252ee44da5b0db704b0e8169cd/20211210GU-Lacto-Jax-1_S363_L001_R2_001.fastq.gz
lac.010,JC,3,20211211_JvE_Lacto_16S/20211210GU_Lacto_Jax_2_L001-ds.31712d402d3d43c6a21d86a846ea6dc6/20211210GU-Lacto-Jax-2_S364_L001_R1_001.fastq.gz,20211211_JvE_Lacto_16S/20211210GU_Lacto_Jax_2_L001-ds.31712d402d3d43c6a21d86a846ea6dc6/20211210GU-Lacto-Jax-2_S364_L001_R2_001.fastq.gz
