HammingDistance,BarcodeReadCounts,BarcodeParticleCounts,ProportionofBarcodesByParticles,ProportionofBarcodesByReads,BarcodeSet
0,67069744,1590739,0.75682407162034,0.952483110366416,Barcode 1
1,1367781,350735,0.166868789134962,0.0194243815986548,Barcode 1
2,441039,48255,0.0229582260672804,0.00626336367875347,Barcode 1
3,1183483,84470,0.0401881951280318,0.0168070951471915,Barcode 1
4,328885,25671,0.0122134622603493,0.00467062178965315,Barcode 1
5,24740,1989,0.000946304251327752,0.00035134221103431,Barcode 1
6,6,2,9.51537708725744e-07,8.52082969363726e-08,Barcode 1
0,63714843,1528637,0.727277874226697,0.90483887693306,Barcode 2
1,6584890,528321,0.251358676905847,0.0935145437355584,Barcode 2
2,108902,41686,0.0198329004629707,0.00154655899216081,Barcode 2
3,6930,3149,0.00149819612238868,9.84155829615104e-05,Barcode 2
4,113,68,3.23522820966753e-05,1.60475625896835e-06,Barcode 2
0,63340938,1527092,0.726542811346707,0.899528908888728,Barcode 3
1,6656251,508534,0.241944638584569,0.0945279686151712,Barcode 3
2,316167,56770,0.0270093978621802,0.00449000860291369,Barcode 3
3,102106,9357,0.00445176917027339,0.00145004639449754,Barcode 3
4,216,108,5.13830362711902e-05,3.06749868970941e-06,Barcode 3
