Distance,BarcodeRound,Sample,NumberParticlesDistance,NumberReadsDistance,SampleNumberParticles,SampleNumberReads,ProportionParticle,ProportionReads
0,Barcode1,E5,4922,703965,7932,750983,0.620524457892083,0.937391392348429
1,Barcode1,E5,2421,19318,7932,750983,0.305219364599092,0.0257236182443544
2,Barcode1,E5,237,4497,7932,750983,0.0298789712556732,0.00598815152939547
3,Barcode1,E5,268,18167,7932,750983,0.0337871911245587,0.0241909603812603
4,Barcode1,E5,78,5030,7932,750983,0.00983358547655068,0.00669788796816972
5,Barcode1,E5,6,6,7932,750983,0.00075642965204236,7.98952839145493e-06
0,Barcode2,E5,5518,683975,7932,750983,0.695663136661624,0.910772946924231
1,Barcode2,E5,2130,65857,7932,750983,0.268532526475038,0.0876943952126746
2,Barcode2,E5,265,1131,7932,750983,0.0334089762985376,0.00150602610178926
3,Barcode2,E5,19,20,7932,750983,0.00239536056480081,2.66317613048498e-05
0,Barcode3,E5,4883,680152,7932,750983,0.615607665153807,0.905682285750809
1,Barcode3,E5,2653,66542,7932,750983,0.334467977811397,0.0886065330373657
2,Barcode3,E5,366,3938,7932,750983,0.046142208774584,0.00524379380092492
3,Barcode3,E5,30,351,7932,750983,0.0037821482602118,0.000467387410900114
0,Barcode1,E5r1s20to40,27431,1531566,37351,1627461,0.734411394607909,0.941076929032401
1,Barcode1,E5r1s20to40,7781,43110,37351,1627461,0.208321062354422,0.0264891140248522
2,Barcode1,E5r1s20to40,867,15210,37351,1627461,0.0232122299269096,0.00934584607557416
3,Barcode1,E5r1s20to40,984,31168,37351,1627461,0.026344676180022,0.0191513037793225
4,Barcode1,E5r1s20to40,258,5707,37351,1627461,0.00690744558378624,0.00350668925399748
5,Barcode1,E5r1s20to40,30,700,37351,1627461,0.000803191346951889,0.000430117833852854
0,Barcode2,E5r1s20to40,26380,1489571,37351,1627461,0.706272924419694,0.915272931271471
1,Barcode2,E5r1s20to40,10017,135020,37351,1627461,0.268185590747236,0.082963585609732
2,Barcode2,E5r1s20to40,868,2572,37351,1627461,0.023239002971808,0.00158037581238506
3,Barcode2,E5r1s20to40,83,295,37351,1627461,0.00222216272656689,0.00018126394426656
4,Barcode2,E5r1s20to40,3,3,37351,1627461,8.03191346951889e-05,1.84336214508366e-06
0,Barcode3,E5r1s20to40,26682,1511107,37351,1627461,0.71435838397901,0.928505813656979
1,Barcode3,E5r1s20to40,9586,111913,37351,1627461,0.256646408396027,0.0687653959142493
2,Barcode3,E5r1s20to40,967,3432,37351,1627461,0.0258895344167492,0.00210880629397571
3,Barcode3,E5r1s20to40,115,1008,37351,1627461,0.00307890016331557,0.00061936968074811
4,Barcode3,E5r1s20to40,1,1,37351,1627461,2.67730448983963e-05,6.1445404836122e-07
0,Barcode1,E5r2s20to40,3054,265223,4391,274812,0.69551355044409,0.965107055004876
1,Barcode1,E5r2s20to40,1162,3489,4391,274812,0.264632202231838,0.0126959521418279
2,Barcode1,E5r2s20to40,67,71,4391,274812,0.0152584832612161,0.000258358441407217
3,Barcode1,E5r2s20to40,84,4667,4391,274812,0.0191300387155545,0.0169825189584152
4,Barcode1,E5r2s20to40,24,1362,4391,274812,0.0054657253473013,0.00495611545347365
0,Barcode2,E5r2s20to40,2958,251051,4391,274812,0.673650649054885,0.913537254559481
1,Barcode2,E5r2s20to40,1293,23602,4391,274812,0.294465953085857,0.0858841680858187
2,Barcode2,E5r2s20to40,130,149,4391,274812,0.029606012297882,0.000542188841826412
3,Barcode2,E5r2s20to40,10,10,4391,274812,0.00227738556137554,3.63885128742559e-05
0,Barcode3,E5r2s20to40,2820,243996,4391,274812,0.642222728307903,0.887865158726693
1,Barcode3,E5r2s20to40,1364,30581,4391,274812,0.310635390571624,0.111279711220762
2,Barcode3,E5r2s20to40,196,224,4391,274812,0.0446367570029606,0.000815102688383331
3,Barcode3,E5r2s20to40,11,11,4391,274812,0.00250512411751309,4.00273641616814e-05
0,Barcode1,E6,2528,393160,4065,416412,0.621894218942189,0.944161071246746
1,Barcode1,E6,1233,3216,4065,416412,0.303321033210332,0.00772312037117086
2,Barcode1,E6,87,669,4065,416412,0.0214022140221402,0.00160658194288349
3,Barcode1,E6,173,16337,4065,416412,0.0425584255842558,0.0392327790745704
4,Barcode1,E6,44,3030,4065,416412,0.0108241082410824,0.00727644736462926
0,Barcode2,E6,2789,390199,4065,416412,0.68610086100861,0.937050325158737
1,Barcode2,E6,1183,26111,4065,416412,0.291020910209102,0.0627047251279982
2,Barcode2,E6,87,96,4065,416412,0.0214022140221402,0.000230540906602115
3,Barcode2,E6,6,6,4065,416412,0.0014760147601476,1.44088066626322e-05
0,Barcode3,E6,2433,390672,4065,416412,0.598523985239852,0.938186219417308
1,Barcode3,E6,1419,24450,4065,416412,0.349077490774908,0.0587158871502262
2,Barcode3,E6,195,1272,4065,416412,0.0479704797047971,0.00305466701247803
3,Barcode3,E6,17,17,4065,416412,0.0041820418204182,4.08249522107912e-05
4,Barcode3,E6,1,1,4065,416412,0.0002460024600246,2.40146777710537e-06
0,Barcode1,E6r1s20to40,38717,1720431,52320,1811719,0.740003822629969,0.949612495094438
1,Barcode1,E6r1s20to40,9380,36792,52320,1811719,0.179281345565749,0.0203077850373044
2,Barcode1,E6r1s20to40,1361,20623,52320,1811719,0.026012996941896,0.0113831118401916
3,Barcode1,E6r1s20to40,2138,25822,52320,1811719,0.0408639143730887,0.0142527621557206
4,Barcode1,E6r1s20to40,658,7230,52320,1811719,0.0125764525993884,0.00399068508968554
5,Barcode1,E6r1s20to40,66,821,52320,1811719,0.00126146788990826,0.000453160782660004
0,Barcode2,E6r1s20to40,38163,1683294,52320,1811719,0.729415137614679,0.929114283175261
1,Barcode2,E6r1s20to40,13010,125792,52320,1811719,0.248662079510703,0.069432400940764
2,Barcode2,E6r1s20to40,1080,2557,52320,1811719,0.0206422018348624,0.00141136677376569
3,Barcode2,E6r1s20to40,66,75,52320,1811719,0.00126146788990826,4.13971482332525e-05
4,Barcode2,E6r1s20to40,1,1,52320,1811719,1.91131498470948e-05,5.51961976443367e-07
0,Barcode3,E6r1s20to40,38919,1707169,52320,1811719,0.743864678899083,0.942292375362846
1,Barcode3,E6r1s20to40,12255,101965,52320,1811719,0.234231651376147,0.0562808029280479
2,Barcode3,E6r1s20to40,1020,2161,52320,1811719,0.0194954128440367,0.00119278983109412
3,Barcode3,E6r1s20to40,122,420,52320,1811719,0.00233180428134557,0.000231824030106214
4,Barcode3,E6r1s20to40,4,4,52320,1811719,7.64525993883792e-05,2.20784790577347e-06
0,Barcode1,E6r2s20to40,24451,1100711,32558,1169730,0.750998218563794,0.940995785352175
1,Barcode1,E6r2s20to40,6464,31847,32558,1169730,0.198537993734259,0.0272259410291264
2,Barcode1,E6r2s20to40,680,9428,32558,1169730,0.020885803796302,0.00805997965342429
3,Barcode1,E6r2s20to40,730,22592,32558,1169730,0.0224215246636771,0.0193138587537295
4,Barcode1,E6r2s20to40,215,4753,32558,1169730,0.00660359972971313,0.00406333085412873
5,Barcode1,E6r2s20to40,18,399,32558,1169730,0.000552859512255053,0.000341104357415814
0,Barcode2,E6r2s20to40,23863,1056154,32558,1169730,0.732938141163462,0.902904088977798
1,Barcode2,E6r2s20to40,7957,111511,32558,1169730,0.244394618834081,0.0953305463654006
2,Barcode2,E6r2s20to40,702,2029,32558,1169730,0.021561520977947,0.00173458832380122
