Sample,ReadsPreCorrection,ReadsPostCorrection,ProportionReadsRemaining,NumberParticlesPreBCCorrection,NumberParticlesPostBCCorrection,ProportionParticlesRemaining
E5,750983,717940,0.956,7261,6103,0.841
E5r1s20to40,1627461,1568526,0.964,28069,24417,0.87
E5r2s20to40,274812,268353,0.976,4056,3573,0.881
E6,416412,395002,0.949,3704,3138,0.847
E6r1s20to40,1811719,1752424,0.967,30200,25484,0.844
E6r2s20to40,1169730,1127773,0.964,26162,23269,0.889
E7,2771389,2663235,0.961,21203,16932,0.799
E7r1s20to40,2034648,1961383,0.964,48253,40163,0.832
E7r2s20to40,1149839,1110642,0.966,30814,25868,0.839
E8,4659642,4488596,0.963,80941,67910,0.839
E8r1s20to40,2151818,2091175,0.972,74950,60937,0.813
E8r2s20to40,1575065,1526244,0.969,61372,50082,0.816
J1,2930282,2814749,0.961,47637,40560,0.851
J1r1s20to40,2797330,2706255,0.967,41860,34949,0.835
J1r2,1703721,1619001,0.95,13785,11701,0.849
J1r2s20to40,2419597,2336756,0.966,51082,44654,0.874
J2,2677883,2575285,0.962,27535,22844,0.83
J2r1s20to40,2767400,2668885,0.964,69508,58280,0.838
J2r2,1665411,1615987,0.97,4811,3402,0.707
J2r2s20to40,2577164,2495083,0.968,68953,58867,0.854
J3,280698,269307,0.959,2965,2560,0.863
J3r1s20to40,2811672,2716288,0.966,36229,30396,0.839
J3r2,892541,891662,0.999,1149,874,0.761
J3r2s20to40,1499523,1441755,0.961,35144,31007,0.882
J4,82252,81104,0.986,912,814,0.893
J4r1s20to40,681478,658857,0.967,14928,13212,0.885
J4r2,634171,633163,0.998,879,668,0.76
J4r2s20to40,855363,841555,0.984,8727,7446,0.853
JE10,2672248,2563656,0.959,65527,56915,0.869
JE10r1s20to40,1949477,1875965,0.962,89453,76518,0.855
JE10r2s20to40,2068204,1985216,0.96,77534,65778,0.848
JE11,1858390,1783277,0.96,24148,20055,0.831
JE11r1s20to40,1726283,1664626,0.964,65407,56666,0.866
JE11r2s20to40,1850708,1785666,0.965,59053,51087,0.865
JE12,2109285,2034827,0.965,21508,17561,0.816
JE12r1s20to40,2433471,2349855,0.966,47568,39806,0.837
JE12r2s20to40,1512512,1459764,0.965,37819,32853,0.869
JE9,1598919,1531673,0.958,30082,25677,0.854
JE9r1s20to40,1465452,1420892,0.97,41494,35975,0.867
JE9r2s20to40,1500725,1438045,0.958,29986,25027,0.835
