Sample,UniqueParticles,TotalReads,MeanReads,MedianReads
E5r1s20to40,4178,1556492,229.167545401289,41
E5r2s20to40,179,267567,410.944869831547,1
E5,696,717385,746.281704781705,247
E6r1s20to40,2263,1688983,196.976770410465,11
E6r2s20to40,2660,1116865,119.61572794899,1
E6,207,394774,1425.95306859206,886
E7r1s20to40,3390,1878499,137.953776775648,9
E7r2s20to40,1910,1067638,112.981653246356,5
E7,921,2657594,1831.17286501377,396
E8r1s20to40,3243,2011940,91.7024060414471,3
E8r2s20to40,2618,1459956,77.5010678328079,3
E8,9591,4421706,239.292240367168,27
J1r1s20to40,3873,2623974,224.590322311985,14
J1r2,84,1606291,248.000306372549,1
J1r2s20to40,5429,2263621,138.227932894659,11
J1,8067,2796235,237.990689013035,68
J2r1s20to40,4862,2539719,118.764637732822,8
J2r2s20to40,4466,2378384,98.7198653198653,3
J2,2156,2573031,784.638634978672,177
J3r1s20to40,3573,2704250,457.529401824941,81
J3r2s20to40,2041,1426515,107.855741142986,1
J3,188,268869,683.497461928934,12
J4r1s20to40,2608,649518,149.82023239918,35
J4r2s20to40,541,838943,450.364756293519,1
J4,31,80714,257.425396825397,1
JE10r1s20to40,2328,1716627,43.5984317922707,3
JE10r2s20to40,2583,1838805,58.3071042107739,3
JE10,11339,2387603,103.461258933258,23
JE11r1s20to40,2185,1514681,52.9403723930887,3
JE11r2s20to40,2829,1646569,65.1232391796219,3
JE11,3253,1778788,427.737284069098,86
JE12r1s20to40,2017,2258028,122.608747846965,2
JE12r2s20to40,2550,1431588,94.34786263985,1
JE12,2315,2032580,654.402058539723,107
JE9r1s20to40,2079,1367712,73.8608985371441,1
JE9r2s20to40,1744,1408902,127.641340087088,1
JE9,5198,1501323,194.444670308728,40
J2r2,52,1614525,2166.1890080429,1
J4r2,11,632570,2398.33712121212,2
J3r2,8,890929,2876.32580645161,1
