OTU2,OTU1,meandist,distsd,median,Original,Zscore,zpvalue,zpadjusted,Cluster,Significant,Phylum_OTU1,Class_OTU1,Order_OTU1,Family_OTU1,OTU1WithOrder,Phylum_OTU2,Class_OTU2,Order_OTU2,Family_OTU2,OTU2WithOrder,OTU1ColorName,OTU2ColorName,OTU1Type,OTU2Type,OTU1emergence,OTU2emergence
Otu1,Otu10,0.939605233708118,0.00337297726709964,0.939343163538874,0.937562940584089,0.605486773939977,0.544855610041454,0.629,Env,FALSE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu10_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu10,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu10,0.952549269007833,0.00492386317975297,0.953095684803002,0.892857142857143,12.1230269752712,0.00000000000000000000000000000000079757956483521,0.000000000000000000000000000000017,Jax,TRUE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu10_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu10,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu10,0.831313314769337,0.00608872895351649,0.831648002968803,0.840901091165083,-1.57467617115861,0.115331210778745,0.28,Env2Jax,FALSE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu10_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu10,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu102,0.970936067716599,0.00237430926345638,0.970941329552784,1,-12.2410053023555,0.000000000000000000000000000000000187693317361444,0.0000000000000000000000000000000031,Env,TRUE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu102_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu102,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu102,0.958613267988593,0.00768777252241489,0.961764705882353,1,-5.38344909279481,0.0000000730719204584704,0.0000004,Jax,TRUE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu102_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu102,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu103,0.989373192772479,0.0013831441418134,0.989628040057225,0.985272988505747,2.9644085115787,0.00303265404051967,0.00799,Env,TRUE,Firmicutes,Peptococcales,Clostridia,Peptococcaceae,Otu103_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu103,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu103,0.997941944758401,0.00138600023029021,0.997943326380668,0.997256515775034,0.494537423866821,0.620926683140437,0.669,Jax,FALSE,Firmicutes,Peptococcales,Clostridia,Peptococcaceae,Otu103_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu103,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu103,0.99426631266529,0.00145883275695324,0.994613124387855,0.991154791154791,2.13288431841726,0.0329342170576078,0.109,Env2Jax,FALSE,Firmicutes,Peptococcales,Clostridia,Peptococcaceae,Otu103_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu103,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu112,0.99724718175272,0.000681329995112042,0.997295802998894,0.999640287769784,-3.51240373128005,0.000444072850605029,0.00138,Env,TRUE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu112_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu112,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu112,0.99714359204058,0.00169198777524329,0.997282608695652,1,-1.68819657045673,0.091373501350808,0.141,Jax,FALSE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu112_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu112,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
