"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.959072923943555,0.00612761636645909,0.959752321981424,0.962962962962963,-0.634837233071775,0.525534577091826,0.776,"3",1300,53096,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu10",0.941690185684602,0.0217781976680012,0.942528735632184,0.904761904761905,1.69565367555444,0.0899514862732289,0.225,"13",4481,10338,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"3","Otu1","Otu10",0.942034466549015,0.0122402507744827,0.939393939393939,0.958333333333333,-1.33157948187601,0.182998410956771,0.532,"9",4978,17291,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"4","Otu1","Otu10",0.68756864131894,0.0216711695378382,0.687022900763359,0.741463414634146,-2.48693422941965,0.0128849217552761,0.0982,"2",30545,32299,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"5","Otu1","Otu10",0.879710382577654,0.0350702515737176,0.878048780487805,0.878048780487805,0.0473792463779922,0.962210969432968,0.988,"18",539,4723,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"6","Otu1","Otu10",0.869112844600071,0.0130472148873685,0.868686868686869,0.923076923076923,-4.13606113969171,0.0000353318091364737,0.00355,"7",7207,20118,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"7","Otu1","Otu10",0.96754366753767,0.00541341838496228,0.966887417218543,0.978165938864629,-1.96221141090186,0.0497378759752861,0.342,"0",1538,63985,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"8","Otu1","Otu10",0.919608152030229,0.0147927201359044,0.920245398773006,0.920245398773006,-0.0430784018708224,0.965639036124136,0.983,"10",2752,19767,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"9","Otu1","Otu103",0.971169187860329,0.00551097096902924,0.972049689440994,0.962382445141066,1.59440918281792,0.110844417015098,0.363,"3",1655,53096,FALSE,"Firmicutes","Peptococcales","Clostridia","Peptococcaceae","Otu103_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu12",0.96924080705827,0.00499303768327995,0.968944099378882,0.968944099378882,0.0594242820121009,0.952614172982016,0.98,"3",471,53096,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
