"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.961316068103206,0.00687174043103502,0.959752321981424,0.962962962962963,-0.239661971560877,0.810592318108161,0.925,"3",1300,53096,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu10",0.944924397624196,0.0217751438787264,0.942528735632184,0.904761904761905,1.8444191728868,0.0651220752559655,0.184,"13",4481,10338,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"3","Otu1","Otu10",0.945577303895367,0.0149573090410862,0.94578313253012,0.958333333333333,-0.852829168865021,0.393754045744023,0.696,"9",4978,17291,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"4","Otu1","Otu10",0.681051021514059,0.0145715481597541,0.683673469387755,0.741463414634146,-4.14591452176257,0.0000338460083223676,0.00166,"2",30545,32299,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"5","Otu1","Otu10",0.884941221254324,0.0379076050476262,0.878048780487805,0.878048780487805,0.181822110836587,0.855722331808742,0.985,"18",539,4723,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"6","Otu1","Otu10",0.873832624409879,0.0136978738645055,0.874371859296482,0.923076923076923,-3.59503227684466,0.000324351361728475,0.0206,"7",7207,20118,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"7","Otu1","Otu10",0.966628961913493,0.00569555102146877,0.964601769911504,0.978165938864629,-2.02561207996347,0.0428045526545968,0.314,"0",1538,63985,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"8","Otu1","Otu10",0.920540119711329,0.0128345199555184,0.923537333532845,0.920245398773006,0.0229631446555023,0.981679671495935,0.99,"10",2752,19767,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"9","Otu1","Otu103",0.970638121333416,0.00529539957731411,0.968847352024922,0.962382445141066,1.55902799624746,0.118989754058821,0.376,"3",1655,53096,FALSE,"Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Otu103_Peptococcales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu12",0.96719386604776,0.00649619773513929,0.965732087227414,0.968944099378882,-0.269424269777752,0.78760321184582,0.915,"3",471,53096,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu12_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
