"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.865744929223693,0.0180260127830568,0.869822485207101,0.828220858895706,2.08166224997119,0.0373733310635733,0.267,"3",22070,37720,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu10",0.738615825729624,0.0183562196697341,0.741735537190083,0.759674134419552,-1.1472029137159,0.251297767641159,0.506,"1",73846,51100,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"3","Otu1","Otu10",0.74148492757388,0.0289364826126955,0.742657669128257,0.721854304635762,0.678403909724195,0.497515630833729,0.769,"6",20524,24656,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"4","Otu1","Otu10",0.723678566445715,0.0311415344085579,0.729411764705882,0.682926829268293,1.30859759968101,0.190670694436366,0.555,"13",4020,22782,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"5","Otu1","Otu10",0.848800271565128,0.0533294219138611,0.846153846153846,0.928571428571429,-1.49581889590231,0.134700855846716,0.513,"19",1674,1260,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"6","Otu1","Otu10",0.828928249518845,0.0252805677510385,0.824644549763033,0.784313725490196,1.76477539855949,0.0776015208601684,0.296,"2",22655,33187,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"7","Otu1","Otu10",0.760813431784493,0.043380722500156,0.764705882352941,0.707692307692308,1.22453294990637,0.220751244217416,0.68,"14",2746,6198,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"8","Otu1","Otu10",0.839598989944661,0.0377026409610594,0.84,0.765957446808511,1.95321975487632,0.0507935612199165,0.433,"8",3626,27876,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"9","Otu1","Otu10",0.939668756139442,0.00664098740271917,0.938773980815348,0.924574209245742,2.27293713695634,0.0230299684543201,0.162,"0",18124,136249,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"10","Otu1","Otu10",0.787364798741803,0.0338610733599467,0.8,0.810810810810811,-0.692417863420181,0.4886749508692,0.755,"12",27758,45611,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
