"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.977660988040159,0.0256327256730664,0.978260869565217,0.978260869565217,-0.0234029549845667,0.981328847915921,0.997,"4",677,4199,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu10",0.965654236351518,0.0116099108278147,0.965502055196712,0.961538461538462,0.354505290703527,0.722960239752937,0.852,"11",2077,19918,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"3","Otu1","Otu10",0.859768987811415,0.0369735507771429,0.86013986013986,0.927631578947368,-1.83543613500887,0.0664410937573575,0.225,"6",25856,6301,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"4","Otu1","Otu10",0.836962816146905,0.0163119803815766,0.836700141251137,0.808917197452229,1.71932641154669,0.0855549533683063,0.326,"1",54453,15701,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"5","Otu1","Otu10",0.935117467430502,0.0181294849397422,0.936170212765957,0.888888888888889,2.54991130168701,0.0107750328801507,0.0686,"9",5505,7953,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"6","Otu1","Otu10",0.8051816148792,0.047200295741574,0.829268292682927,0.829268292682927,-0.51030777297676,0.609835857971511,0.832,"19",456,2144,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"7","Otu1","Otu10",0.880490079149849,0.0286273014386108,0.888888888888889,0.870967741935484,0.332631325197913,0.739412594510283,0.79,"14",9091,6882,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"8","Otu1","Otu10",0.831856940706643,0.0554498762734264,0.830492424242424,0.914285714285714,-1.48654567185345,0.137134845741045,0.411,"18",3699,1287,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"9","Otu1","Otu12",0.955292727121758,0.0160372944257166,0.956140350877193,0.956140350877193,-0.0528532888986649,0.957848802398479,0.992,"4",16048,4199,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu12",0.911875105599972,0.0259821742564972,0.914285714285714,0.898550724637681,0.512827788419558,0.608071789655956,0.807,"11",4091,19918,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
