"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.956930782649373,0.00705129180218291,0.957908163265306,0.901881720430108,7.80694711885607,0.000000000000005859,0.0000000000000898,"Jax",71500,60145,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu102",0.965230444643622,0.00677042333078694,0.966783936262876,1,-5.13550684464171,0.00000028138,0.0000021,"Jax",24336,60145,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu102_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"3","Otu1","Otu103",0.997219340357647,0.00242952772575147,0.998109640831758,0.998109640831758,-0.366450016056491,0.71403,0.755,"Jax",1374,60145,FALSE,"Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Otu103_Peptococcales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"4","Otu1","Otu112",0.993835141668547,0.00248804375931769,0.994515539305302,1,-2.47779337013891,0.01322,0.0337,"Jax",14947,60145,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu112_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu113",0.96546074892433,0.00779296234045246,0.965663119115841,1,-4.43210804399503,0.0000093316,0.0000552,"Jax",22354,60145,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu113_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu116",0.998474736459469,0.00145213330179895,0.998095238095238,1,-1.05036055480663,0.29355,0.382,"Jax",3367,60145,FALSE,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Otu116_Bacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu116","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"7","Otu1","Otu118",0.977080527549355,0.00557148401308949,0.977707006369427,1,-4.1137105296898,0.000038935,0.000204,"Jax",14153,60145,TRUE,"Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Otu118_Christensenellales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"8","Otu1","Otu12",0.936135872325963,0.00552903018296829,0.936329588014981,0.945218198700093,-1.642661746016,0.10045,0.17,"Jax",115459,60145,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu12_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"9","Otu1","Otu126",0.991856263592852,0.00287067499797712,0.991150442477876,1,-2.83687161134113,0.0045558,0.0138,"Jax",14897,60145,TRUE,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Otu126_Veillonellales-Selenomonadales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"10","Otu1","Otu127",0.968676952555977,0.00798084954021182,0.969387755102041,1,-3.92477608883629,0.00008681,0.000423,"Jax",16243,60145,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu127_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"11","Otu1","Otu13",0.972244052592732,0.00699566421677062,0.974164133738602,0.98036253776435,-1.16050240835692,0.24584,0.334,"Jax",22783,60145,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"12","Otu1","Otu14",0.959519755831029,0.00662708364660039,0.960474308300395,0.945187165775401,2.16272961379928,0.030562,0.0664,"Jax",36707,60145,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu14_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
