"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.939026898029671,0.0029899763113076,0.939165379959179,0.937562940584089,0.489621753873369,0.6244,1,"Env",54710,406631,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu102",0.971675083682999,0.00249715414807003,0.971299325285165,1,-11.3428785879688,0.0000000000000000000000000000080454,0.0000000000000000000000000254,"Env",32694,406631,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu102_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"3","Otu1","Otu103",0.989842947956817,0.00139495992069598,0.989808657139803,0.985272988505747,3.27605071892692,0.0010527,1,"Env",5539,406631,FALSE,"Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Otu103_Peptococcales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"4","Otu1","Otu112",0.997512312897476,0.000639228374397069,0.99747656813266,0.999640287769784,-3.32897436587599,0.00087166,1,"Env",11341,406631,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu112_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu113",0.971770070898617,0.00242626246175089,0.971548231887449,1,-11.6351505850738,0.00000000000000000000000000000027311,0.000000000000000000000000000863,"Env",21450,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu113_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu118",0.982359550377356,0.00172010273647619,0.982697740112994,0.997564370215727,-8.83948354708125,0.00000000000000000096162,0.00000000000000304,"Env",23066,406631,TRUE,"Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Otu118_Christensenellales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"7","Otu1","Otu12",0.94520658549179,0.00398505109734003,0.945244683976685,0.940395095367847,1.20738480044932,0.22728,1,"Env",20575,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu12_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"8","Otu1","Otu126",0.995419185718856,0.000976692828383055,0.995323741007194,0.999641833810888,-4.32341465947208,0.000015363,0.0485,"Env",9987,406631,TRUE,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Otu126_Veillonellales-Selenomonadales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu127",0.976833143731543,0.00222496625113564,0.976466455918511,1,-10.4122281659924,0.00000000000000000000000021806,0.000000000000000000000689,"Env",22649,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu127_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"10","Otu1","Otu13",0.861266197421424,0.00569043714478604,0.861705332931606,0.79297124600639,12.0017056119511,0.0000000000000000000000000000000034805,0.000000000000000000000000000011,"Env",97214,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"11","Otu1","Otu14",0.893036255885495,0.00635086973871937,0.892710634269486,0.866968033580885,4.10466965582363,0.000040489,0.128,"Env",63037,406631,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu14_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"12","Otu1","Otu15",0.903379639671896,0.00395761005852816,0.904166666666667,0.877544320420223,6.52801030662463,0.000000000066649,0.000000211,"Env",63695,406631,TRUE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu15_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu15","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"13","Otu1","Otu17",0.991288380217493,0.00122675053688746,0.991229607918969,0.991771019677996,-0.393429182209906,0.694,1,"Env",3469,406631,FALSE,"Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Otu17_Erysipelotrichales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu17","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"14","Otu1","Otu18",0.947594423870371,0.00253580897272122,0.947992515972262,0.931888544891641,6.19363648748188,0.00000000058792,0.00000186,"Env",19705,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Otu18_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu18","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
