"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.831307130746569,0.00527802422990519,0.831648002968803,0.840901091165083,-1.81771814614915,0.069107,1,"Env2Jax",369902,627593,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu103",0.994611547924594,0.00128095624388862,0.995105237395986,0.991154791154791,2.69857521386454,0.0069637,1,"Env2Jax",5057,627593,FALSE,"Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Otu103_Peptococcales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"3","Otu1","Otu12",0.911543988712661,0.00481941648321769,0.912027199320017,0.926174496644295,-3.03574260132554,0.0023994,1,"Env2Jax",120356,627593,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu12_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"4","Otu1","Otu13",0.960594073044924,0.00307718462654981,0.960779707316233,0.953738317757009,2.22793108634536,0.025885,1,"Env2Jax",42288,627593,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"5","Otu1","Otu14",0.918095568140047,0.00443493939706187,0.918314703353396,0.903225806451613,3.35286694070395,0.00079979,1,"Env2Jax",99075,627593,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu14_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"6","Otu1","Otu15",0.863838770982757,0.00633274163281777,0.864354527938343,0.874761359297442,-1.72478034759563,0.084567,1,"Env2Jax",312712,627593,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu15_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu15","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"7","Otu1","Otu18",0.924957425425158,0.00344345825658789,0.924047827169279,0.923344947735192,0.468272756575825,0.63959,1,"Env2Jax",125712,627593,FALSE,"Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Otu18_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu18","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"8","Otu1","Otu19",0.997785351093885,0.000806134562843465,0.997785917208578,0.999017199017199,-1.52809218223888,0.12649,1,"Env2Jax",586,627593,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu19_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu19","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu2",0.848830935853273,0.00571796309013693,0.84938638899219,0.84938638899219,-0.0971417846113436,0.92261,1,"Env2Jax",283224,627593,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu2_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu2","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu20",0.867701387725248,0.00466060708788408,0.866666666666667,0.834595456357114,7.10335171874861,0.0000000000012177,0.00000000174,"Env2Jax",245085,627593,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Otu20_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu20","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"11","Otu1","Otu21",0.959344633818848,0.00336224435239637,0.959387272801694,0.953314659197012,1.79343735607381,0.072903,1,"Env2Jax",38781,627593,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Otu21_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu21","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
