"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.954666831581021,0.00826921297388367,0.954566515379674,0.892857142857143,7.47467611719383,0.000000000000077394,0.000000000263,"Jax",103034,72844,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu10_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu102",0.958537889143191,0.00545634771124954,0.958702064896755,1,-7.59887621738717,0.000000000000029871,0.000000000102,"Jax",86236,72844,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu102_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"3","Otu1","Otu103",0.998033394232566,0.00142905552133944,0.998630136986301,0.997256515775034,0.543630702888217,0.5867,1,"Jax",685,72844,FALSE,"Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Otu103_Peptococcales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"4","Otu1","Otu112",0.997686821471345,0.00212173901168602,0.997962878296266,1,-1.09022764624411,0.27561,1,"Jax",14027,72844,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu112_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu113",0.962419804905613,0.00603175118265793,0.96220633299285,1,-6.23039544509644,0.00000000046526,0.00000158,"Jax",54994,72844,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu113_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu118",0.972342161871822,0.00488608190981875,0.973094170403587,1,-5.66053509512365,0.00000001509,0.0000513,"Jax",54179,72844,TRUE,"Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Otu118_Christensenellales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"7","Otu1","Otu12",0.929599099815477,0.00557778299095962,0.929528921283626,0.949392712550607,-3.54865235295311,0.00038721,1,"Jax",307095,72844,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu12_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"8","Otu1","Otu126",0.994909006550635,0.0023589821279839,0.994645247657296,1,-2.1581314198916,0.030918,1,"Jax",10103,72844,FALSE,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Otu126_Veillonellales-Selenomonadales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu127",0.959661068200436,0.00664556694090364,0.961460446247465,1,-6.0700512323903,0.0000000012787,0.00000435,"Jax",59166,72844,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu127_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"10","Otu1","Otu13",0.973769591565204,0.00503190481262607,0.974215246636771,0.981069042316258,-1.45063371086409,0.14688,1,"Jax",45452,72844,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
