"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.966232002624843,0.00369052571112887,0.966517196817538,0.964059196617336,0.588752437343784,0.55603,0.688,"Env",45424,256890,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu102",0.988052137418988,0.00258831394939102,0.98822869955157,1,-4.61607935305649,0.0000039106,0.0000412,"Env",20197,256890,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu102_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"3","Otu1","Otu103",0.995370179788262,0.00129212779720297,0.995410212277682,0.99367816091954,1.3094826010128,0.19037,0.383,"Env",2893,256890,FALSE,"Firmicutes","Peptococcales","Clostridia","Peptococcaceae","Otu103_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"4","Otu1","Otu112",0.998420371656215,0.000923379347712043,0.998266897746967,1,-1.7107035669563,0.087136,0.23,"Env",9625,256890,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu112_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu113",0.988009104857444,0.00195072512195915,0.988202247191011,1,-6.1468912291001,0.00000000079016,0.0000000127,"Env",8331,256890,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu113_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu118",0.989113796969882,0.00241787411616459,0.988700564971751,0.999441028507546,-4.27120314851037,0.000019442,0.000186,"Env",18322,256890,TRUE,"Firmicutes","Christensenellales","Clostridia","Christensenellaceae","Otu118_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"7","Otu1","Otu12",0.976474600532865,0.00281770327816002,0.97690837328484,0.971600218459858,1.72991319234668,0.083646,0.224,"Env",14471,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"8","Otu1","Otu126",0.996760002718685,0.00114819751568061,0.996549741230592,0.999426605504587,-2.32242514853497,0.02021,0.0782,"Env",8941,256890,FALSE,"Firmicutes","Veillonellales-Selenomonadales","Negativicutes","Veillonellaceae","Otu126_Negativicutes","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu127",0.989973100972798,0.00202238966630091,0.989824436945574,1,-4.95794613386323,0.00000071242,0.00000859,"Env",8368,256890,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu127_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"10","Otu1","Otu13",0.93271579050417,0.00432740879556477,0.932919490395333,0.906020558002937,6.16887235811717,0.00000000068779,0.0000000111,"Env",70195,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"11","Otu1","Otu14",0.953386428517568,0.00382368964546013,0.953612100064872,0.94478527607362,2.24943790983671,0.024485,0.0906,"Env",39366,256890,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"12","Otu1","Otu15",0.949358085229575,0.0038217131905894,0.948897795591182,0.941473259334006,2.06316526184755,0.039097,0.129,"Env",49128,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu15_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu15","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"13","Otu1","Otu17",0.995996944443413,0.00128927813584388,0.995979322228604,0.996555683122847,-0.433373268265749,0.66474,0.759,"Env",2807,256890,FALSE,"Firmicutes","Erysipelotrichales","Bacilli","Erysipelotrichaceae","Otu17_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu17","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"14","Otu1","Otu18",0.976886514825739,0.00304630284599828,0.976579520697168,0.969281404278661,2.49650508552272,0.012542,0.0538,"Env",13058,256890,FALSE,"Firmicutes","Oscillospirales","Clostridia","[Eubacterium] coprostanoligenes group","Otu18_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu18","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"15","Otu1","Otu19",0.997996011162537,0.000883610894008436,0.997977379509322,0.999422965954991,-1.61491308236451,0.10633,0.263,"Env",1445,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu19_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu19","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"16","Otu1","Otu2",0.955933439315755,0.00550736218104315,0.955765720532011,0.932008368200837,4.34419788066063,0.000013979,0.000137,"Env",44045,256890,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu2_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu2","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"17","Otu1","Otu20",0.944604671427436,0.00520917440053601,0.945114383551022,0.936476426799007,1.56037099230012,0.11867,0.282,"Env",68401,256890,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Bacteroidaceae","Otu20_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu20","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"18","Otu1","Otu21",0.946723985346804,0.00541976463107315,0.94593253968254,0.990019011406844,-7.9883590906912,0.0000000000000013675,0.0000000000000334,"Env",107543,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Bacteroidaceae","Otu21_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu21","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"19","Otu1","Otu22",0.967517031967325,0.00302438560005523,0.967434399422168,1,-10.7403526957946,0.0000000000000000000000000065793,0.000000000000000000000000247,"Env",84213,256890,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu22_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu22","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"20","Otu1","Otu23",0.96392804380992,0.00374068021479987,0.964013587568501,0.951063829787234,3.4390039468729,0.00058386,0.00411,"Env",24555,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu23_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu23","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"21","Otu1","Otu25",0.928519998831406,0.00448094450032774,0.928171641791045,0.885007278020378,9.71061364581609,0.0000000000000000000002717,0.00000000000000000000889,"Env",79472,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu25_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu25","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"22","Otu1","Otu26",0.938793212626913,0.0053936232395171,0.939811395632123,0.906779661016949,5.93544454039951,0.0000000029305,0.0000000448,"Env",108108,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu26_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu26","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"23","Otu1","Otu27",0.976340095006946,0.002866525367845,0.976515565264883,0.973150684931507,1.11263975236938,0.26586,0.469,"Env",14065,256890,FALSE,"Firmicutes","Oscillospirales","Clostridia","Oscillospiraceae","Otu27_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu27","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"24","Otu1","Otu29",0.981528009274637,0.00258112951067659,0.981778023191607,0.98065229408513,0.339275958794284,0.7344,0.808,"Env",15799,256890,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu29_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu29","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"25","Otu1","Otu3",0.878877438868506,0.00715143048656226,0.879731687008604,0.847931873479319,4.32718537184059,0.000015103,0.000146,"Env",154353,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu3_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu3","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"26","Otu1","Otu30",0.940438536522396,0.00583072330657677,0.940659277486871,0.911144578313253,5.02406934249488,0.00000050588,0.0000062,"Env",90502,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu30_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu30","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"27","Otu1","Otu31",0.971990647083351,0.00305353844937188,0.972073039742213,0.965405405405405,2.15659366571926,0.031037,0.108,"Env",23354,256890,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu31_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu31","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"28","Otu1","Otu33",0.965434166942667,0.00336601891846718,0.965861344537815,0.976611226611227,-3.32055759022585,0.00089838,0.00592,"Env",27561,256890,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu33_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu33","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"29","Otu1","Otu34",0.991112466682125,0.00202491048967627,0.991515837104072,0.999438832772166,-4.11196748325012,0.00003923,0.000354,"Env",51414,256890,TRUE,"Synergistota","Synergistales","Synergistia","Synergistaceae","Otu34_Synergistia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu34","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"30","Otu1","Otu35",0.980631972570243,0.00267323490231863,0.980132450331126,0.982378854625551,-0.653471213394924,0.51345,0.67,"Env",15979,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu35_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu35","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"31","Otu1","Otu37",0.982549118870772,0.00223251202261583,0.982853982300885,1,-7.81670197179097,0.0000000000000054225,0.000000000000129,"Env",22039,256890,TRUE,"Euryarchaeota","Methanobacteriales","Methanobacteria","Methanobacteriaceae","Otu37_Methanobacteria","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu37","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"32","Otu1","Otu38",0.983034869229164,0.00263380598647937,0.983116445764932,0.983397897066962,-0.137833932970472,0.89037,0.916,"Env",9607,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu38_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu38","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"33","Otu1","Otu39",0.979292668832944,0.00314995539601225,0.979524903469839,1,-6.57384901172608,0.000000000049031,0.000000000887,"Env",64972,256890,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu39_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu39","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"34","Otu1","Otu4",0.88880424030357,0.00527714181185283,0.889161006991608,0.867665418227216,4.00573318474682,0.000061825,0.000531,"Env",157019,256890,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu4_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu4","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"35","Otu1","Otu40",0.970017384720516,0.0036886278170623,0.970760233918129,1,-8.12839266157311,0.00000000000000043502,0.0000000000000108,"Env",32723,256890,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu40_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu40","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"36","Otu1","Otu42",0.992205532590182,0.00172400913300625,0.992322921092952,1,-4.52112883893291,0.0000061511,0.0000622,"Env",28385,256890,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu42_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu42","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"37","Otu1","Otu43",0.962946739438022,0.00301207659141926,0.962575171026929,0.952984680401479,3.30737241706364,0.00094176,0.00616,"Env",32396,256890,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu43_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu43","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"38","Otu1","Otu44",0.962613247540715,0.00357474103917008,0.962244362873623,0.949575371549894,3.64722251149358,0.00026509,0.00197,"Env",27348,256890,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu44_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu44","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"39","Otu1","Otu45",0.985745399159477,0.00224694141700204,0.985466741196199,0.98262331838565,1.3894802731405,0.16469,0.351,"Env",12782,256890,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu45_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu45","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
