"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu10",0.967142631473783,0.00529290556618684,0.968098159509202,0.927295918367347,7.52832496407886,0.000000000000051395,0.000000000000943,"Jax",96326,60872,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu10_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu10","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"2","Otu1","Otu102",0.979615519051126,0.00629365023843709,0.980568011958146,1,-3.23889637596643,0.0011999,0.00556,"Jax",53200,60872,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu102_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"3","Otu1","Otu112",0.99777066107826,0.00150043646559702,0.998144712430427,1,-1.48579361596153,0.13733,0.26,"Jax",12168,60872,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu112_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"4","Otu1","Otu113",0.984240627518376,0.0038029366836739,0.984567901234568,1,-4.14400075322824,0.00003413,0.000229,"Jax",22181,60872,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu113_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu118",0.985867589106264,0.00423583130082336,0.9859375,1,-3.3363960672818,0.00084872,0.00411,"Jax",42883,60872,TRUE,"Firmicutes","Christensenellales","Clostridia","Christensenellaceae","Otu118_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu12",0.955114172812864,0.0075779734592426,0.954869122803217,0.955365622032289,-0.0331815914606619,0.97353,0.976,"Jax",255050,60872,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"7","Otu1","Otu126",0.995800897395091,0.00276926700814536,0.996357012750455,1,-1.51632276431199,0.12944,0.251,"Jax",8491,60872,FALSE,"Firmicutes","Veillonellales-Selenomonadales","Negativicutes","Veillonellaceae","Otu126_Negativicutes","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"8","Otu1","Otu127",0.982429277776453,0.00513954381283783,0.981623277182236,1,-3.41873186870359,0.00062914,0.00318,"Jax",19650,60872,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu127_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu13",0.984670853493022,0.00431482684077728,0.985759493670886,0.990551181102362,-1.36281890938664,0.17294,0.305,"Jax",36421,60872,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu14",0.972997495527248,0.00496048751705623,0.972111553784861,0.961073825503356,2.40372946870527,0.016229,0.051,"Jax",162291,60872,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"11","Otu1","Otu15",0.981841243779204,0.0063603696180951,0.982347827316163,0.945945945945946,5.64358677067087,0.000000016654,0.000000175,"Jax",17799,60872,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu15_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu15","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"12","Otu1","Otu17",0.966101481705488,0.00669452841977838,0.966101694915254,1,-5.06361556317577,0.00000041138,0.00000367,"Jax",132619,60872,TRUE,"Firmicutes","Erysipelotrichales","Bacilli","Erysipelotrichaceae","Otu17_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu17","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"13","Otu1","Otu18",0.965979954639115,0.0062515499851348,0.96622286246435,0.967469879518072,-0.238328875638854,0.81163,0.838,"Jax",139691,60872,FALSE,"Firmicutes","Oscillospirales","Clostridia","[Eubacterium] coprostanoligenes group","Otu18_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu18","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"14","Otu1","Otu19",0.984863960248662,0.0039680884781608,0.985736925515055,1,-3.81444109289446,0.00013649,0.000812,"Jax",40516,60872,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu19_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu19","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"15","Otu1","Otu2",0.95110558649906,0.00559897472938007,0.950218340611354,0.953872932985204,-0.494259506409773,0.62112,0.686,"Jax",513270,60872,FALSE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu2_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu2","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"16","Otu1","Otu20",0.962848798099787,0.00604910229965587,0.96236213038067,0.935866983372922,4.46046593201119,0.0000081782,0.0000613,"Jax",88265,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Bacteroidaceae","Otu20_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu20","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"17","Otu1","Otu21",0.952176759441911,0.00648205162792279,0.95094986143786,0.996618765849535,-6.85616359736791,0.0000000000070734,0.000000000106,"Jax",258984,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Bacteroidaceae","Otu21_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu21","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"18","Otu1","Otu22",0.960687520050027,0.00528456533789663,0.961325966850829,1,-7.43911323568205,0.00000000000010136,0.0000000000018,"Jax",194332,60872,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu22_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu22","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"19","Otu1","Otu23",0.98592741269496,0.00460390965101412,0.985342019543974,0.975328947368421,2.30205762708749,0.021332,0.0636,"Jax",9338,60872,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu23_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu23","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"20","Otu1","Otu25",0.987576119627187,0.00450395960262077,0.986991869918699,0.977011494252874,2.34563057984927,0.018995,0.0583,"Jax",8419,60872,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu25_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu25","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"21","Otu1","Otu26",0.982655755086329,0.00585931323227664,0.981651376146789,0.96583850931677,2.87017353448856,0.0041025,0.0162,"Jax",27491,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu26_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu26","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"22","Otu1","Otu27",0.989734782904488,0.00412798082113568,0.989010266611789,0.996644295302013,-1.67382376442921,0.094165,0.199,"Jax",10335,60872,FALSE,"Firmicutes","Oscillospirales","Clostridia","Oscillospiraceae","Otu27_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu27","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"23","Otu1","Otu28",0.991801966956279,0.00363277107654813,0.992220509050923,1,-2.25668859142953,0.024028,0.07,"Jax",95238,60872,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu28_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu28","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"24","Otu1","Otu29",0.981429211054241,0.00509117237010192,0.981300851212373,0.955521472392638,5.08875692635098,0.00000036042,0.00000323,"Jax",23512,60872,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu29_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu29","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"25","Otu1","Otu3",0.951763775292016,0.00769361331256792,0.953245358533984,0.880582524271845,9.25199228610734,0.000000000000000000022035,0.000000000000000000625,"Jax",104901,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu3_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu3","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"26","Otu1","Otu30",0.984721639436777,0.00520025736671937,0.984101748807631,0.93322203672788,9.90327960275284,0.000000000000000000000040284,0.00000000000000000000132,"Jax",9239,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu30_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#377EB8'>Otu30","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"27","Otu1","Otu31",0.989822502244225,0.00374325985725315,0.989778534923339,0.961471103327496,7.57398631083399,0.000000000000036194,0.000000000000668,"Jax",10354,60872,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu31_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu31","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"28","Otu1","Otu33",0.978820655806628,0.00395282387040299,0.978038067349927,0.947209653092006,7.99706836201622,0.0000000000000012742,0.000000000000026,"Jax",28719,60872,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu33_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu33","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"29","Otu1","Otu34",0.990049592937928,0.00451428182495763,0.991596638655462,1,-2.20420599508433,0.02751,0.0779,"Jax",56308,60872,FALSE,"Synergistota","Synergistales","Synergistia","Synergistaceae","Otu34_Synergistia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu34","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
