"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1","Otu1","Otu102",0.970960533885601,0.00223733274902209,0.970941329552784,1,-12.9795025469913,0.000000000000000000000000000000000000015992,0.00000000000000000000000000000000000029,"Env",32694,406631,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu102_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu102","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"2","Otu1","Otu103",0.989661632329928,0.00162966888343708,0.989447293731653,0.985272988505747,2.69296657056179,0.0070819,0.0174,"Env",5539,406631,TRUE,"Firmicutes","Peptococcales","Clostridia","Peptococcaceae","Otu103_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu103","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"3","Otu1","Otu112",0.997367631053509,0.000724105990192045,0.99747656813266,0.999640287769784,-3.13856914189132,0.0016977,0.00476,"Env",11341,406631,TRUE,"Firmicutes","Lactobacillales","Bacilli","Lactobacillaceae","Otu112_Bacilli","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu112","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"4","Otu1","Otu113",0.97192690188855,0.00211059787392975,0.971548231887449,1,-13.3010169574275,0.00000000000000000000000000000000000000022834,0.00000000000000000000000000000000000000435,"Env",21450,406631,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu113_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu113","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"5","Otu1","Otu118",0.981902269364299,0.00219580699820825,0.981798872605411,0.997564370215727,-7.13273109349234,0.00000000000098397,0.00000000000807,"Env",23066,406631,TRUE,"Firmicutes","Christensenellales","Clostridia","Christensenellaceae","Otu118_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu118","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"6","Otu1","Otu12",0.944963002720724,0.00290306781910363,0.944708276797829,0.940395095367847,1.57347593563534,0.11561,0.192,"Env",20575,406631,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"7","Otu1","Otu126",0.995551389611035,0.0011085507883335,0.996046010064702,0.999641833810888,-3.68990238688343,0.00022434,0.000739,"Env",9987,406631,TRUE,"Firmicutes","Veillonellales-Selenomonadales","Negativicutes","Veillonellaceae","Otu126_Negativicutes","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu126","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"8","Otu1","Otu127",0.976834911341232,0.00175436882000952,0.977005409940803,1,-13.20422957508,0.00000000000000000000000000000000000000082944,0.0000000000000000000000000000000000000157,"Env",22649,406631,TRUE,"Firmicutes","Oscillospirales","Clostridia","Ruminococcaceae","Otu127_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu127","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"9","Otu1","Otu13",0.861405861535353,0.00400313381885452,0.861705332931606,0.79297124600639,17.0952605198058,0.000000000000000000000000000000000000000000000000000000000000000016098,0.000000000000000000000000000000000000000000000000000000000000000553,"Env",97214,406631,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"10","Otu1","Otu14",0.893084079547158,0.00506194163944742,0.892011256755808,0.866968033580885,5.15929416545465,0.00000024788,0.00000127,"Env",63037,406631,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
