file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
./fastq/E5_S5_R1_001.fastq.gz	FASTQ	DNA	9588106	526374072	35	54.9	152
./fastq/E5_filtered.fastq.gz	FASTQ	DNA	1306111	198247489	150	151.8	152
./fastq/E5_filtered_particleid.fastq.gz	FASTQ	DNA	751007	53329701	68	71.0	72
./fastq/E5r1s20to40_S5_L001_R1_001.fastq.gz	FASTQ	DNA	3076498	467627696	152	152.0	152
./fastq/E5r1s20to40_filtered.fastq.gz	FASTQ	DNA	2745496	417315392	152	152.0	152
./fastq/E5r1s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	1628258	116043863	4	71.3	72
./fastq/E5r2s20to40_S13_L001_R1_001.fastq.gz	FASTQ	DNA	502927	76444904	152	152.0	152
./fastq/E5r2s20to40_filtered.fastq.gz	FASTQ	DNA	449812	68371424	152	152.0	152
./fastq/E5r2s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	274898	19565333	70	71.2	72
./fastq/E6_S6_R1_001.fastq.gz	FASTQ	DNA	3904678	276272038	35	70.8	152
./fastq/E6_filtered.fastq.gz	FASTQ	DNA	897360	136042462	150	151.6	152
./fastq/E6_filtered_particleid.fastq.gz	FASTQ	DNA	416538	29590069	69	71.0	72
./fastq/E6r1s20to40_S6_L001_R1_001.fastq.gz	FASTQ	DNA	3684847	560096744	152	152.0	152
./fastq/E6r1s20to40_filtered.fastq.gz	FASTQ	DNA	3265948	496424096	152	152.0	152
./fastq/E6r1s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	1813355	129311629	4	71.3	72
./fastq/E6r2s20to40_S14_L001_R1_001.fastq.gz	FASTQ	DNA	2182234	331699568	152	152.0	152
./fastq/E6r2s20to40_filtered.fastq.gz	FASTQ	DNA	1947748	296057696	152	152.0	152
./fastq/E6r2s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	1170320	83388814	4	71.3	72
./fastq/E7_S7_R1_001.fastq.gz	FASTQ	DNA	6563949	946031821	35	144.1	152
./fastq/E7_filtered.fastq.gz	FASTQ	DNA	5167291	783974246	150	151.7	152
./fastq/E7_filtered_particleid.fastq.gz	FASTQ	DNA	2774157	197843506	69	71.3	72
./fastq/E7r1s20to40_S7_L001_R1_001.fastq.gz	FASTQ	DNA	3922531	596224712	152	152.0	152
./fastq/E7r1s20to40_filtered.fastq.gz	FASTQ	DNA	3454534	525089168	152	152.0	152
./fastq/E7r1s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	2036309	145110447	1	71.3	72
./fastq/E7r2s20to40_S15_L001_R1_001.fastq.gz	FASTQ	DNA	2381449	361980248	152	152.0	152
./fastq/E7r2s20to40_filtered.fastq.gz	FASTQ	DNA	2131770	324029040	152	152.0	152
./fastq/E7r2s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	1150732	81996748	1	71.3	72
./fastq/E8_S8_R1_001.fastq.gz	FASTQ	DNA	8734346	1319787283	35	151.1	152
./fastq/E8_filtered.fastq.gz	FASTQ	DNA	7316358	1111041211	150	151.9	152
./fastq/E8_filtered_particleid.fastq.gz	FASTQ	DNA	4662704	332118423	1	71.2	72
./fastq/E8r1s20to40_S8_L001_R1_001.fastq.gz	FASTQ	DNA	3541058	538240816	152	152.0	152
./fastq/E8r1s20to40_filtered.fastq.gz	FASTQ	DNA	3165260	481119520	152	152.0	152
./fastq/E8r1s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	2152990	153639607	1	71.4	72
./fastq/E8r2s20to40_S16_L001_R1_001.fastq.gz	FASTQ	DNA	2779392	422467584	152	152.0	152
./fastq/E8r2s20to40_filtered.fastq.gz	FASTQ	DNA	2478362	376711024	152	152.0	152
./fastq/E8r2s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	1576273	112349349	3	71.3	72
./fastq/J1_S1_R1_001.fastq.gz	FASTQ	DNA	8665035	1125949251	35	129.9	152
./fastq/J1_filtered.fastq.gz	FASTQ	DNA	5723978	868545496	150	151.7	152
./fastq/J1_filtered_particleid.fastq.gz	FASTQ	DNA	2931703	209268318	11	71.4	72
./fastq/J1r1s20to40_S1_L001_R1_001.fastq.gz	FASTQ	DNA	5653192	859285184	152	152.0	152
./fastq/J1r1s20to40_filtered.fastq.gz	FASTQ	DNA	5005859	760890568	152	152.0	152
./fastq/J1r1s20to40_filtered_particleid.fastq.gz	FASTQ	DNA	2800116	199762266	4	71.3	72
