"","Sample","Cluster","MouseGroup","NumberParticles","TotalParticleCluster","ClusterProportion","ParticlesMouseGroupCluster","ClusterProportionMouseGroup","ParticleNumberPerSample","SampleProportion"
"1","E5r1","1","Env",141,630,0.223809523809524,630,1,10828,0.0130217953454008
"2","E5r1","6","Env",88,426,0.206572769953052,426,1,10828,0.00812707794606576
"3","E5r1","3","Env",10,557,0.0179533213644524,557,1,10828,0.0009235315847802
"4","E5r1","16","Env",24,135,0.177777777777778,135,1,10828,0.00221647580347248
"5","E5r1","14","Env",12,207,0.0579710144927536,207,1,10828,0.00110823790173624
"6","E5r1","13","Env",24,229,0.104803493449782,229,1,10828,0.00221647580347248
"7","E5r1","9","Env",15,348,0.0431034482758621,348,1,10828,0.0013852973771703
"8","E5r1","2","Env",54,582,0.0927835051546392,582,1,10828,0.00498707055781308
"9","E5r1","7","Env",29,367,0.0790190735694823,367,1,10828,0.00267824159586258
"10","E5r1","0","Env",26,771,0.0337224383916991,771,1,10828,0.00240118212042852
"11","E5r1","5","Env",15,433,0.0346420323325635,433,1,10828,0.0013852973771703
"12","E5r1","4","Env",12,512,0.0234375,512,1,10828,0.00110823790173624
"13","E5r1","15","Env",3,172,0.0174418604651163,172,1,10828,0.00027705947543406
"14","E5r1","11","Env",32,329,0.0972644376899696,329,1,10828,0.00295530107129664
"15","E5r1","8","Env",13,354,0.0367231638418079,354,1,10828,0.00120059106021426
"16","E5r1","12","Env",8,275,0.0290909090909091,275,1,10828,0.00073882526782416
"17","E5r1","10","Env",15,340,0.0441176470588235,340,1,10828,0.0013852973771703
"18","E5r1","17","Env",5,101,0.0495049504950495,101,1,10828,0.0004617657923901
"19","E6r1","13","Env",19,229,0.0829694323144105,229,1,15410,0.00123296560674886
"20","E6r1","6","Env",175,426,0.410798122065728,426,1,15410,0.0113562621674238
"21","E6r1","16","Env",35,135,0.259259259259259,135,1,15410,0.00227125243348475
"22","E6r1","1","Env",256,630,0.406349206349206,630,1,15410,0.0166125892277742
"23","E6r1","5","Env",12,433,0.0277136258660508,433,1,15410,0.000778715120051914
"24","E6r1","11","Env",21,329,0.0638297872340425,329,1,15410,0.00136275146009085
"25","E6r1","2","Env",26,582,0.0446735395189003,582,1,15410,0.00168721609344581
"26","E6r1","15","Env",4,172,0.0232558139534884,172,1,15410,0.000259571706683971
"27","E6r1","9","Env",20,348,0.0574712643678161,348,1,15410,0.00129785853341986
"28","E6r1","10","Env",15,340,0.0441176470588235,340,1,15410,0.000973393900064893
"29","E6r1","0","Env",19,771,0.0246433203631647,771,1,15410,0.00123296560674886
"30","E6r1","3","Env",4,557,0.00718132854578097,557,1,15410,0.000259571706683971
"31","E6r1","4","Env",9,512,0.017578125,512,1,15410,0.000584036340038936
"32","E6r1","7","Env",19,367,0.0517711171662125,367,1,15410,0.00123296560674886
"33","E6r1","8","Env",7,354,0.019774011299435,354,1,15410,0.00045425048669695
"34","E6r1","14","Env",5,207,0.0241545893719807,207,1,15410,0.000324464633354964
"35","E6r1","12","Env",6,275,0.0218181818181818,275,1,15410,0.000389357560025957
"36","E6r1","17","Env",4,101,0.0396039603960396,101,1,15410,0.000259571706683971
"37","E6r2","6","Env",49,426,0.115023474178404,426,1,12123,0.00404190381918667
"38","E6r2","13","Env",9,229,0.0393013100436681,229,1,12123,0.000742390497401633
"39","E6r2","16","Env",26,135,0.192592592592593,135,1,12123,0.00214468365916027
"40","E6r2","2","Env",43,582,0.0738831615120275,582,1,12123,0.00354697682091891
"41","E6r2","11","Env",25,329,0.0759878419452888,329,1,12123,0.00206219582611565
"42","E6r2","5","Env",9,433,0.0207852193995381,433,1,12123,0.000742390497401633
"43","E6r2","9","Env",9,348,0.0258620689655172,348,1,12123,0.000742390497401633
"44","E6r2","10","Env",9,340,0.0264705882352941,340,1,12123,0.000742390497401633
"45","E6r2","7","Env",15,367,0.0408719346049046,367,1,12123,0.00123731749566939
"46","E6r2","14","Env",8,207,0.0386473429951691,207,1,12123,0.000659902664357007
"47","E6r2","1","Env",73,630,0.115873015873016,630,1,12123,0.00602161181225769
"48","E6r2","0","Env",14,771,0.0181582360570687,771,1,12123,0.00115482966262476
"49","E6r2","4","Env",13,512,0.025390625,512,1,12123,0.00107234182958014
"50","E6r2","15","Env",1,172,0.00581395348837209,172,1,12123,0.0000824878330446259
"51","E6r2","8","Env",5,354,0.0141242937853107,354,1,12123,0.00041243916522313
"52","E6r2","3","Env",5,557,0.00897666068222621,557,1,12123,0.00041243916522313
"53","E6r2","12","Env",4,275,0.0145454545454545,275,1,12123,0.000329951332178504
"54","E7r1","15","Env",68,172,0.395348837209302,172,1,25821,0.00263351535571821
"55","E7r1","6","Env",84,426,0.197183098591549,426,1,25821,0.00325316602765191
"56","E7r1","12","Env",117,275,0.425454545454545,275,1,25821,0.00453119553851516
"57","E7r1","3","Env",58,557,0.104129263913824,557,1,25821,0.00224623368575965
"58","E7r1","14","Env",54,207,0.260869565217391,207,1,25821,0.00209132101777623
"59","E7r1","16","Env",21,135,0.155555555555556,135,1,25821,0.000813291506912978
"60","E7r1","11","Env",64,329,0.194528875379939,329,1,25821,0.00247860268773479
"61","E7r1","2","Env",90,582,0.154639175257732,582,1,25821,0.00348553502962705
"62","E7r1","4","Env",73,512,0.142578125,512,1,25821,0.00282715619069749
"63","E7r1","10","Env",74,340,0.217647058823529,340,1,25821,0.00286588435769335
"64","E7r1","5","Env",55,433,0.1270207852194,433,1,25821,0.00213004918477208
"65","E7r1","7","Env",50,367,0.136239782016349,367,1,25821,0.0019364083497928
"66","E7r1","1","Env",128,630,0.203174603174603,630,1,25821,0.00495720537546958
"67","E7r1","9","Env",38,348,0.109195402298851,348,1,25821,0.00147167034584253
"68","E7r1","0","Env",42,771,0.0544747081712062,771,1,25821,0.00162658301382596
"69","E7r1","13","Env",56,229,0.244541484716157,229,1,25821,0.00216877735176794
"70","E7r1","8","Env",22,354,0.0621468926553672,354,1,25821,0.000852019673908834
"71","E7r1","17","Env",17,101,0.168316831683168,101,1,25821,0.000658378838929553
"72","E7r2","3","Env",59,557,0.105924596050269,557,1,17323,0.00340587658026901
"73","E7r2","5","Env",24,433,0.0554272517321016,433,1,17323,0.00138544132078739
"74","E7r2","6","Env",23,426,0.0539906103286385,426,1,17323,0.00132771459908792
"75","E7r2","1","Env",26,630,0.0412698412698413,630,1,17323,0.00150089476418634
"76","E7r2","15","Env",56,172,0.325581395348837,172,1,17323,0.00323269641517058
"77","E7r2","12","Env",110,275,0.4,275,1,17323,0.00634993938694222
"78","E7r2","16","Env",21,135,0.155555555555556,135,1,17323,0.00121226115568897
"79","E7r2","2","Env",22,582,0.0378006872852234,582,1,17323,0.00126998787738844
"80","E7r2","13","Env",34,229,0.148471615720524,229,1,17323,0.00196270853778214
"81","E7r2","4","Env",52,512,0.1015625,512,1,17323,0.00300178952837268
"82","E7r2","17","Env",16,101,0.158415841584158,101,1,17323,0.000923627547191595
"83","E7r2","9","Env",25,348,0.0718390804597701,348,1,17323,0.00144316804248687
"84","E7r2","14","Env",32,207,0.154589371980676,207,1,17323,0.00184725509438319
"85","E7r2","11","Env",24,329,0.0729483282674772,329,1,17323,0.00138544132078739
"86","E7r2","10","Env",57,340,0.167647058823529,340,1,17323,0.00329042313687006
"87","E7r2","7","Env",14,367,0.0381471389645777,367,1,17323,0.000808174103792646
"88","E7r2","0","Env",7,771,0.00907911802853437,771,1,17323,0.000404087051896323
"89","E7r2","8","Env",7,354,0.019774011299435,354,1,17323,0.000404087051896323
"90","E8r1","0","Env",373,771,0.48378728923476,771,1,46751,0.00797843896387243
"91","E8r1","9","Env",140,348,0.402298850574713,348,1,46751,0.00299458835105131
"92","E8r1","8","Env",176,354,0.497175141242938,354,1,46751,0.00376462535560737
"93","E8r1","3","Env",222,557,0.398563734290844,557,1,46751,0.00474856152809566
"94","E8r1","11","Env",97,329,0.29483282674772,329,1,46751,0.0020748219289427
"95","E8r1","15","Env",20,172,0.116279069767442,172,1,46751,0.000427798335864474
"96","E8r1","5","Env",189,433,0.4364896073903,433,1,46751,0.00404269427391927
"97","E8r1","2","Env",194,582,0.333333333333333,582,1,46751,0.00414964385788539
"98","E8r1","7","Env",122,367,0.332425068119891,367,1,46751,0.00260956984877329
"99","E8r1","13","Env",53,229,0.231441048034935,229,1,46751,0.00113366559004085
"100","E8r1","10","Env",95,340,0.279411764705882,340,1,46751,0.00203204209535625
"101","E8r1","17","Env",30,101,0.297029702970297,101,1,46751,0.00064169750379671
"102","E8r1","6","Env",7,426,0.0164319248826291,426,1,46751,0.000149729417552566
"103","E8r1","14","Env",47,207,0.227053140096618,207,1,46751,0.00100532608928151
"104","E8r1","4","Env",168,512,0.328125,512,1,46751,0.00359350602126158
"105","E8r1","16","Env",8,135,0.0592592592592593,135,1,46751,0.000171119334345789
"106","E8r1","12","Env",13,275,0.0472727272727273,275,1,46751,0.000278068918311908
"107","E8r1","1","Env",5,630,0.00793650793650794,630,1,46751,0.000106949583966118
"108","E8r2","9","Env",101,348,0.290229885057471,348,1,39603,0.00255031184506224
"109","E8r2","7","Env",118,367,0.321525885558583,367,1,39603,0.00297957225462717
"110","E8r2","0","Env",290,771,0.376134889753567,771,1,39603,0.00732267757493119
"111","E8r2","4","Env",185,512,0.361328125,512,1,39603,0.00467136328055955
"112","E8r2","5","Env",129,433,0.297921478060046,433,1,39603,0.00325732899022801
"113","E8r2","3","Env",199,557,0.357271095152603,557,1,39603,0.00502487185314244
"114","E8r2","14","Env",49,207,0.236714975845411,207,1,39603,0.0012372800040401
"115","E8r2","8","Env",124,354,0.350282485875706,354,1,39603,0.00313107592859127
"116","E8r2","2","Env",153,582,0.262886597938144,582,1,39603,0.00386334368608439
"117","E8r2","10","Env",75,340,0.220588235294118,340,1,39603,0.00189379592455117
"118","E8r2","11","Env",66,329,0.200607902735562,329,1,39603,0.00166654041360503
"119","E8r2","13","Env",34,229,0.148471615720524,229,1,39603,0.000858520819129864
"120","E8r2","15","Env",20,172,0.116279069767442,172,1,39603,0.000505012246546979
"121","E8r2","17","Env",29,101,0.287128712871287,101,1,39603,0.000732267757493119
"122","E8r2","12","Env",17,275,0.0618181818181818,275,1,39603,0.000429260409564932
"123","E8r2","1","Env",1,630,0.00158730158730159,630,1,39603,0.0000252506123273489
