"","Sample","Cluster","MouseGroup","NumberParticles","TotalParticleCluster","ClusterProportion","ParticlesMouseGroupCluster","ClusterProportionMouseGroup","ParticleNumberPerSample","SampleProportion"
"1","JE10r1","3","Env2Jax",48,388,0.123711340206186,388,1,69237,0.000693270938948828
"2","JE10r1","1","Env2Jax",207,710,0.291549295774648,710,1,69237,0.00298973092421682
"3","JE10r1","6","Env2Jax",102,268,0.380597014925373,268,1,69237,0.00147320074526626
"4","JE10r1","13","Env2Jax",69,128,0.5390625,128,1,69237,0.00099657697473894
"5","JE10r1","19","Env2Jax",16,106,0.150943396226415,106,1,69237,0.000231090312982943
"6","JE10r1","2","Env2Jax",58,487,0.119096509240246,487,1,69237,0.000837702384563167
"7","JE10r1","14","Env2Jax",61,128,0.4765625,128,1,69237,0.000881031818247469
"8","JE10r1","8","Env2Jax",84,229,0.366812227074236,229,1,69237,0.00121322414316045
"9","JE10r1","0","Env2Jax",167,832,0.200721153846154,832,1,69237,0.00241200514175946
"10","JE10r1","12","Env2Jax",23,179,0.128491620111732,179,1,69237,0.00033219232491298
"11","JE10r1","5","Env2Jax",48,353,0.135977337110482,353,1,69237,0.000693270938948828
"12","JE10r1","11","Env2Jax",59,182,0.324175824175824,182,1,69237,0.000852145529124601
"13","JE10r1","10","Env2Jax",30,188,0.159574468085106,188,1,69237,0.000433294336843017
"14","JE10r1","15","Env2Jax",22,128,0.171875,128,1,69237,0.000317749180351546
"15","JE10r1","17","Env2Jax",7,123,0.0569105691056911,123,1,69237,0.000101102011930037
"16","JE10r1","16","Env2Jax",16,126,0.126984126984127,126,1,69237,0.000231090312982943
"17","JE10r1","18","Env2Jax",19,107,0.177570093457944,107,1,69237,0.000274419746667244
"18","JE10r1","4","Env2Jax",14,373,0.0375335120643432,373,1,69237,0.000202204023860075
"19","JE10r1","7","Env2Jax",45,251,0.179282868525896,251,1,69237,0.000649941505264526
"20","JE10r1","9","Env2Jax",17,214,0.0794392523364486,214,1,69237,0.000245533457544377
"21","JE10r2","0","Env2Jax",163,832,0.195913461538462,832,1,52334,0.00311461000496809
"22","JE10r2","1","Env2Jax",248,710,0.349295774647887,710,1,52334,0.00473879313639317
"23","JE10r2","8","Env2Jax",80,229,0.349344978165939,229,1,52334,0.0015286429472236
"24","JE10r2","6","Env2Jax",98,268,0.365671641791045,268,1,52334,0.00187258761034891
"25","JE10r2","19","Env2Jax",25,106,0.235849056603774,106,1,52334,0.000477700921007376
"26","JE10r2","14","Env2Jax",55,128,0.4296875,128,1,52334,0.00105094202621623
"27","JE10r2","12","Env2Jax",34,179,0.189944134078212,179,1,52334,0.000649673252570031
"28","JE10r2","10","Env2Jax",26,188,0.138297872340426,188,1,52334,0.000496808957847671
"29","JE10r2","11","Env2Jax",66,182,0.362637362637363,182,1,52334,0.00126113043145947
"30","JE10r2","4","Env2Jax",9,373,0.0241286863270777,373,1,52334,0.000171972331562655
"31","JE10r2","3","Env2Jax",58,388,0.149484536082474,388,1,52334,0.00110826613673711
"32","JE10r2","17","Env2Jax",9,123,0.0731707317073171,123,1,52334,0.000171972331562655
"33","JE10r2","13","Env2Jax",47,128,0.3671875,128,1,52334,0.000898077731493866
"34","JE10r2","18","Env2Jax",18,107,0.168224299065421,107,1,52334,0.000343944663125311
"35","JE10r2","16","Env2Jax",18,126,0.142857142857143,126,1,52334,0.000343944663125311
"36","JE10r2","2","Env2Jax",71,487,0.145790554414784,487,1,52334,0.00135667061566095
"37","JE10r2","15","Env2Jax",34,128,0.265625,128,1,52334,0.000649673252570031
"38","JE10r2","5","Env2Jax",39,353,0.110481586402266,353,1,52334,0.000745213436771506
"39","JE10r2","7","Env2Jax",45,251,0.179282868525896,251,1,52334,0.000859861657813276
"40","JE10r2","9","Env2Jax",22,214,0.102803738317757,214,1,52334,0.000420376810486491
"41","JE11r1","1","Env2Jax",81,710,0.114084507042254,710,1,43968,0.00184224890829694
"42","JE11r1","0","Env2Jax",97,832,0.116586538461538,832,1,43968,0.0022061499272198
"43","JE11r1","4","Env2Jax",97,373,0.260053619302949,373,1,43968,0.0022061499272198
"44","JE11r1","2","Env2Jax",89,487,0.182751540041068,487,1,43968,0.00202419941775837
"45","JE11r1","17","Env2Jax",50,123,0.40650406504065,123,1,43968,0.00113719068413392
"46","JE11r1","5","Env2Jax",27,353,0.0764872521246459,353,1,43968,0.000614082969432314
"47","JE11r1","16","Env2Jax",38,126,0.301587301587302,126,1,43968,0.000864264919941776
"48","JE11r1","9","Env2Jax",36,214,0.168224299065421,214,1,43968,0.000818777292576419
"49","JE11r1","3","Env2Jax",57,388,0.146907216494845,388,1,43968,0.00129639737991266
"50","JE11r1","12","Env2Jax",21,179,0.11731843575419,179,1,43968,0.000477620087336245
"51","JE11r1","19","Env2Jax",19,106,0.179245283018868,106,1,43968,0.000432132459970888
"52","JE11r1","8","Env2Jax",9,229,0.0393013100436681,229,1,43968,0.000204694323144105
"53","JE11r1","11","Env2Jax",3,182,0.0164835164835165,182,1,43968,0.0000682314410480349
"54","JE11r1","15","Env2Jax",5,128,0.0390625,128,1,43968,0.000113719068413392
"55","JE11r1","10","Env2Jax",37,188,0.196808510638298,188,1,43968,0.000841521106259098
"56","JE11r1","7","Env2Jax",3,251,0.0119521912350598,251,1,43968,0.0000682314410480349
"57","JE11r1","18","Env2Jax",1,107,0.00934579439252336,107,1,43968,0.0000227438136826783
"58","JE11r1","6","Env2Jax",9,268,0.0335820895522388,268,1,43968,0.000204694323144105
"59","JE11r1","14","Env2Jax",1,128,0.0078125,128,1,43968,0.0000227438136826783
"60","JE11r2","17","Env2Jax",32,123,0.260162601626016,123,1,37693,0.000848963998620434
"61","JE11r2","2","Env2Jax",94,487,0.193018480492813,487,1,37693,0.00249383174594752
"62","JE11r2","0","Env2Jax",135,832,0.162259615384615,832,1,37693,0.00358156686917995
"63","JE11r2","1","Env2Jax",65,710,0.0915492957746479,710,1,37693,0.00172445812219776
"64","JE11r2","4","Env2Jax",74,373,0.198391420911528,373,1,37693,0.00196322924680975
"65","JE11r2","11","Env2Jax",8,182,0.043956043956044,182,1,37693,0.000212240999655108
"66","JE11r2","10","Env2Jax",41,188,0.218085106382979,188,1,37693,0.00108773512323243
"67","JE11r2","19","Env2Jax",18,106,0.169811320754717,106,1,37693,0.000477542249223994
"68","JE11r2","3","Env2Jax",57,388,0.146907216494845,388,1,37693,0.00151221712254265
"69","JE11r2","9","Env2Jax",38,214,0.177570093457944,214,1,37693,0.00100814474836176
"70","JE11r2","16","Env2Jax",42,126,0.333333333333333,126,1,37693,0.00111426524818932
"71","JE11r2","8","Env2Jax",22,229,0.0960698689956332,229,1,37693,0.000583662749051548
"72","JE11r2","12","Env2Jax",28,179,0.156424581005587,179,1,37693,0.000742843498792879
"73","JE11r2","6","Env2Jax",9,268,0.0335820895522388,268,1,37693,0.000238771124611997
"74","JE11r2","14","Env2Jax",4,128,0.03125,128,1,37693,0.000106120499827554
"75","JE11r2","5","Env2Jax",16,353,0.0453257790368272,353,1,37693,0.000424481999310217
"76","JE11r2","18","Env2Jax",2,107,0.0186915887850467,107,1,37693,0.0000530602499137771
"77","JE11r2","13","Env2Jax",2,128,0.015625,128,1,37693,0.0000530602499137771
"78","JE11r2","15","Env2Jax",9,128,0.0703125,128,1,37693,0.000238771124611997
"79","JE11r2","7","Env2Jax",4,251,0.0159362549800797,251,1,37693,0.000106120499827554
"80","JE12r1","8","Env2Jax",16,229,0.0698689956331878,229,1,27598,0.00057975215595333
"81","JE12r1","4","Env2Jax",68,373,0.18230563002681,373,1,27598,0.00246394666280165
"82","JE12r1","2","Env2Jax",71,487,0.145790554414784,487,1,27598,0.0025726501920429
"83","JE12r1","5","Env2Jax",111,353,0.314447592067989,353,1,27598,0.00402203058192623
"84","JE12r1","9","Env2Jax",49,214,0.228971962616822,214,1,27598,0.00177549097760707
"85","JE12r1","16","Env2Jax",5,126,0.0396825396825397,126,1,27598,0.000181172548735416
"86","JE12r1","14","Env2Jax",1,128,0.0078125,128,1,27598,0.0000362345097470831
"87","JE12r1","0","Env2Jax",57,832,0.0685096153846154,832,1,27598,0.00206536705558374
"88","JE12r1","10","Env2Jax",11,188,0.0585106382978723,188,1,27598,0.000398579607217914
"89","JE12r1","15","Env2Jax",5,128,0.0390625,128,1,27598,0.000181172548735416
"90","JE12r1","12","Env2Jax",27,179,0.150837988826816,179,1,27598,0.000978331763171244
"91","JE12r1","1","Env2Jax",34,710,0.047887323943662,710,1,27598,0.00123197333140083
"92","JE12r1","7","Env2Jax",3,251,0.0119521912350598,251,1,27598,0.000108703529241249
"93","JE12r1","17","Env2Jax",4,123,0.032520325203252,123,1,27598,0.000144938038988333
"94","JE12r1","11","Env2Jax",10,182,0.0549450549450549,182,1,27598,0.000362345097470831
"95","JE12r1","3","Env2Jax",5,388,0.0128865979381443,388,1,27598,0.000181172548735416
"96","JE12r1","6","Env2Jax",31,268,0.115671641791045,268,1,27598,0.00112326980215958
"97","JE12r1","19","Env2Jax",2,106,0.0188679245283019,106,1,27598,0.0000724690194941663
"98","JE12r1","13","Env2Jax",4,128,0.03125,128,1,27598,0.000144938038988333
"99","JE12r2","1","Env2Jax",34,710,0.047887323943662,710,1,21608,0.0015734912995187
"100","JE12r2","9","Env2Jax",43,214,0.200934579439252,214,1,21608,0.00199000370233247
"101","JE12r2","5","Env2Jax",109,353,0.308781869688385,353,1,21608,0.00504442798963347
