"","Sample","Cluster","MouseGroup","NumberParticles","TotalParticleCluster","ClusterProportion","ParticlesMouseGroupCluster","ClusterProportionMouseGroup","ParticleNumberPerSample","SampleProportion"
"1","J1r1","0","Jax",222,780,0.284615384615385,780,1,21537,0.0103078423178716
"2","J1r1","5","Jax",107,364,0.293956043956044,364,1,21537,0.00496819427032549
"3","J1r1","4","Jax",82,499,0.164328657314629,499,1,21537,0.00380740121651112
"4","J1r1","3","Jax",169,564,0.299645390070922,564,1,21537,0.00784696104378511
"5","J1r1","11","Jax",30,237,0.126582278481013,237,1,21537,0.00139295166457724
"6","J1r1","6","Jax",46,339,0.135693215339233,339,1,21537,0.00213585921901843
"7","J1r1","12","Jax",41,222,0.184684684684685,222,1,21537,0.00190370060825556
"8","J1r1","1","Jax",122,683,0.178623718887262,683,1,21537,0.00566467010261411
"9","J1r1","9","Jax",44,273,0.161172161172161,273,1,21537,0.00204299577471328
"10","J1r1","15","Jax",28,136,0.205882352941176,136,1,21537,0.00130008822027209
"11","J1r1","2","Jax",28,585,0.0478632478632479,585,1,21537,0.00130008822027209
"12","J1r1","10","Jax",62,254,0.244094488188976,254,1,21537,0.00287876677345963
"13","J1r1","14","Jax",20,137,0.145985401459854,137,1,21537,0.000928634443051493
"14","J1r1","13","Jax",28,183,0.153005464480874,183,1,21537,0.00130008822027209
"15","J1r1","16","Jax",10,126,0.0793650793650794,126,1,21537,0.000464317221525746
"16","J1r1","7","Jax",12,312,0.0384615384615385,312,1,21537,0.000557180665830896
"17","J1r1","8","Jax",8,300,0.0266666666666667,300,1,21537,0.000371453777220597
"18","J1r2","4","Jax",71,499,0.142284569138277,499,1,33303,0.00213194006545957
"19","J1r2","7","Jax",8,312,0.0256410256410256,312,1,33303,0.000240218598925022
"20","J1r2","16","Jax",8,126,0.0634920634920635,126,1,33303,0.000240218598925022
"21","J1r2","6","Jax",113,339,0.333333333333333,339,1,33303,0.00339308770981593
"22","J1r2","2","Jax",15,585,0.0256410256410256,585,1,33303,0.000450409872984416
"23","J1r2","11","Jax",64,237,0.270042194092827,237,1,33303,0.00192174879140017
"24","J1r2","0","Jax",137,780,0.175641025641026,780,1,33303,0.004113743506591
"25","J1r2","5","Jax",69,364,0.18956043956044,364,1,33303,0.00207188541572831
"26","J1r2","1","Jax",169,683,0.247437774524158,683,1,33303,0.00507461790229108
"27","J1r2","9","Jax",70,273,0.256410256410256,273,1,33303,0.00210191274059394
"28","J1r2","12","Jax",38,222,0.171171171171171,222,1,33303,0.00114103834489385
"29","J1r2","8","Jax",21,300,0.07,300,1,33303,0.000630573822178182
"30","J1r2","3","Jax",107,564,0.189716312056738,564,1,33303,0.00321292376062217
"31","J1r2","15","Jax",37,136,0.272058823529412,136,1,33303,0.00111101102002823
"32","J1r2","13","Jax",52,183,0.284153005464481,183,1,33303,0.00156142089301264
"33","J1r2","14","Jax",39,137,0.284671532846715,137,1,33303,0.00117106566975948
"34","J1r2","10","Jax",47,254,0.18503937007874,254,1,33303,0.0014112842686845
"35","J2r1","2","Jax",281,585,0.48034188034188,585,1,35634,0.00788572711455352
"36","J2r1","4","Jax",161,499,0.322645290581162,499,1,35634,0.00451815681652354
"37","J2r1","9","Jax",63,273,0.230769230769231,273,1,35634,0.00176797440646574
"38","J2r1","7","Jax",149,312,0.477564102564103,312,1,35634,0.00418139978672055
"39","J2r1","0","Jax",104,780,0.133333333333333,780,1,35634,0.00291856092495931
"40","J2r1","8","Jax",127,300,0.423333333333333,300,1,35634,0.00356401189874839
"41","J2r1","11","Jax",54,237,0.227848101265823,237,1,35634,0.00151540663411349
"42","J2r1","12","Jax",39,222,0.175675675675676,222,1,35634,0.00109446034685974
"43","J2r1","6","Jax",79,339,0.233038348082596,339,1,35634,0.0022169837795364
"44","J2r1","1","Jax",138,683,0.202049780380674,683,1,35634,0.00387270584273447
"45","J2r1","13","Jax",38,183,0.207650273224044,183,1,35634,0.00106639726104282
"46","J2r1","5","Jax",39,364,0.107142857142857,364,1,35634,0.00109446034685974
"47","J2r1","3","Jax",80,564,0.141843971631206,564,1,35634,0.00224504686535331
"48","J2r1","15","Jax",33,136,0.242647058823529,136,1,35634,0.000926081831958242
"49","J2r1","16","Jax",58,126,0.46031746031746,126,1,35634,0.00162765897738115
"50","J2r1","14","Jax",33,137,0.240875912408759,137,1,35634,0.000926081831958242
"51","J2r1","10","Jax",35,254,0.137795275590551,254,1,35634,0.000982208003592075
"52","J2r2","7","Jax",137,312,0.439102564102564,312,1,38528,0.00355585548172757
"53","J2r2","1","Jax",143,683,0.209370424597365,683,1,38528,0.00371158637873754
"54","J2r2","8","Jax",135,300,0.45,300,1,38528,0.00350394518272425
"55","J2r2","4","Jax",159,499,0.318637274549098,499,1,38528,0.00412686877076412
"56","J2r2","16","Jax",43,126,0.341269841269841,126,1,38528,0.00111607142857143
"57","J2r2","2","Jax",259,585,0.442735042735043,585,1,38528,0.00672238372093023
"58","J2r2","0","Jax",92,780,0.117948717948718,780,1,38528,0.00238787375415282
"59","J2r2","9","Jax",59,273,0.216117216117216,273,1,38528,0.00153135382059801
"60","J2r2","12","Jax",35,222,0.157657657657658,222,1,38528,0.00090843023255814
"61","J2r2","11","Jax",39,237,0.164556962025316,237,1,38528,0.00101225083056478
"62","J2r2","6","Jax",39,339,0.115044247787611,339,1,38528,0.00101225083056478
"63","J2r2","13","Jax",33,183,0.180327868852459,183,1,38528,0.000856519933554817
"64","J2r2","14","Jax",23,137,0.167883211678832,137,1,38528,0.000596968438538206
"65","J2r2","5","Jax",37,364,0.101648351648352,364,1,38528,0.000960340531561462
"66","J2r2","15","Jax",20,136,0.147058823529412,136,1,38528,0.000519102990033223
"67","J2r2","10","Jax",36,254,0.141732283464567,254,1,38528,0.000934385382059801
