SampleID	Cage	Mouse	Day	weight
AZC2J1dm5	AZC2	J1	dm5	23.7
AZC2J2dm5	AZC2	J2	dm5	58
AZC2J3dm5	AZC2	J3	dm5	17.6
AZC2J4dm5	AZC2	J4	dm5	27.6
AZC3J1dm5	AZC3	J1	dm5	16.9
AZC3J2dm5	AZC3	J2	dm5	23.4
AZC3J3dm5	AZC3	J3	dm5	17.6
AZC3J4dm5	AZC3	J4	dm5	21.2
AZC4T1dm5	AZC4	T1	dm5	31.9
AZC4T2dm5	AZC4	T2	dm5	66
AZC4T3dm5	AZC4	T3	dm5	9.4
AZC4T4dm5	AZC4	T4	dm5	14.5
AZC5T1dm5	AZC5	T1	dm5	41.3
AZC5T2dm5	AZC5	T2	dm5	31.5
AZC5T3dm5	AZC5	T3	dm5	30.9
AZC5T4dm5	AZC5	T4	dm5	39.2
AZC6E1dm5	AZC6	E1	dm5	25.5
AZC6E2dm5	AZC6	E2	dm5	26.2
AZC6E3dm5	AZC6	E3	dm5	33.4
AZC6E4dm5	AZC6	E4	dm5	80.9
AZC7E1dm5	AZC7	E1	dm5	19.6
AZC7E2dm5	AZC7	E2	dm5	22.2
AZC7E3dm5	AZC7	E3	dm5	19.7
AZC7E4dm5	AZC7	E4	dm5	22.8
AZC8C1dm5	AZC8	C1	dm5	31.1
AZC8C2dm5	AZC8	C2	dm5	28.6
AZC8C3dm5	AZC8	C3	dm5	31
AZC8C4dm5	AZC8	C4	dm5	23.5
AZC9C1dm5	AZC9	C1	dm5	12.3
AZC9C2dm5	AZC9	C2	dm5	21.7
AZC9C3dm5	AZC9	C3	dm5	39.1
AZC9C4dm5	AZC9	C4	dm5	33.9
AZC12J1dm5	AZC12	J1	dm5	33.1
AZC12J2dm5	AZC12	J2	dm5	24.1
AZC12J3dm5	AZC12	J3	dm5	47
AZC12J4dm5	AZC12	J4	dm5	16.9
AZC14J1dm5	AZC14	J1	dm5	23.3
AZC14J2dm5	AZC14	J2	dm5	31.6
AZC14J3dm5	AZC14	J3	dm5	13.2
AZC14J4dm5	AZC14	J4	dm5	29.3
