supplier	sampleID	totalPairQC	spikeInMappedReads	totalPairNoSpikein	totalMappedReads	concordantlyOneMappedPair	concordantlyMultiMappedPair	discordantlyMappedPair	matesOneMappedReads	matesMultiMappedReads
AZC3J	AZC3J1d1	5568914	20682	5558040	7904585	2699637	38481	1111767	134994	69821
AZC3J	AZC3J1d10	5823646	134022	5755616	9727255	3204792	64158	1488627	99388	112713
AZC3J	AZC3J1d11	5351857	42170	5329960	9085334	3084734	51411	1286436	151327	88845
AZC3J	AZC3J1d12	1957900	9708	1952721	3199773	1042849	19873	485036	65318	38939
AZC3J	AZC3J1d2	4563205	15695	4554804	7653541	2739348	50564	936928	121751	78110
AZC3J	AZC3J1d3	1311367	3403	1309507	2099035	700873	14705	295252	48881	28494
AZC3J	AZC3J1d4	7179285	63195	7146847	12756884	3754528	64008	2414837	127218	162920
AZC3J	AZC3J1d5	3686116	10976	3680202	5833159	1971175	38220	815318	112661	71072
AZC3J	AZC3J1d6	1095856	2450	1094514	1776880	588470	12204	257742	36631	23417
AZC3J	AZC3J1d7	6868425	57035	6838784	11490994	3875325	65274	1673185	149260	114166
AZC3J	AZC3J1d8	4035179	26990	4021122	5942849	1937853	30233	916697	114666	58617
AZC3J	AZC3J1d9	1156350	3759	1154308	1962756	647532	11784	293348	35603	21825
AZC3J	AZC3J2d1	3932518	18866	3922631	6528536	2220365	35654	910834	129402	65428
AZC3J	AZC3J2d10	5528718	114025	5470782	9223674	3199182	60550	1239495	128572	96648
AZC3J	AZC3J2d11	3489132	9796	3483676	5211620	1754989	45169	704288	122534	80194
AZC3J	AZC3J2d12	5434147	27521	5419633	9163874	3143439	52471	1274088	137730	86148
AZC3J	AZC3J2d2	3007798	3627	3005592	4375288	1314369	30971	718291	169449	78577
AZC3J	AZC3J2d3	7114584	26399	7100697	12205376	4119013	62279	1771896	184427	114573
AZC3J	AZC3J2d4	5416404	76807	5377475	9103371	2491558	41037	1922548	71813	121272
AZC3J	AZC3J2d5	3901099	11551	3894835	6282241	2092825	43655	891461	144633	81726
AZC3J	AZC3J2d6	4201228	10698	4195443	7055512	2361430	37263	1029063	129170	70830
AZC3J	AZC3J2d7	8680950	110206	8624529	14572139	5087356	93594	1930814	202282	146329
AZC3J	AZC3J2d8	4376934	45736	4353205	7518920	2464147	39483	1146795	143011	75059
AZC3J	AZC3J2d9	3054019	11437	3047797	5028740	1637963	33501	755689	108433	66001
AZC3J	AZC3J3d1	5290928	24015	5278356	8874782	3013545	40894	1264607	164048	72642
AZC3J	AZC3J3d10	6366094	110847	6309658	11077699	3859419	64466	1510362	113739	95466
AZC3J	AZC3J3d11	5636367	44016	5613560	9701156	3284573	53516	1389100	152929	93849
AZC3J	AZC3J3d12	5465191	24342	5452239	9090378	3098536	59824	1260224	150852	102358
AZC3J	AZC3J3d2	5855084	34613	5837150	9826930	3250104	54689	1489401	132769	105773
AZC3J	AZC3J3d3	7837076	84629	7793947	13721879	4598665	75856	2056155	122752	137775
AZC3J	AZC3J3d4	7449293	91045	7402930	13292881	4542468	70124	1900430	145639	121198
AZC3J	AZC3J3d5	4614374	28210	4599685	7575005	2551006	42593	1098482	111207	79636
AZC3J	AZC3J3d6	5681305	20853	5670291	8983061	3080763	54359	1229753	156943	96368
AZC3J	AZC3J3d7	6519752	78130	6479282	10748888	3683317	62928	1480966	186510	107956
AZC3J	AZC3J3d8	5489936	52997	5462297	9580255	3273608	51859	1349179	146526	84437
AZC3J	AZC3J3d9	2674489	3551	2672272	3829670	1142565	28557	640921	134369	71215
AZC3J	AZC3J4d1	4209102	17884	4199635	6976889	2350069	40052	993777	133702	75391
AZC3J	AZC3J4d10	5587657	86544	5543460	8883037	3054383	66389	1191786	149588	108333
AZC3J	AZC3J4d11	5163981	48332	5138977	8085091	2695500	45652	1186547	146342	83351
AZC3J	AZC3J4d12	5500689	15094	5492256	8575735	2745469	56014	1332341	193082	115005
AZC3J	AZC3J4d2	4253724	12922	4246782	6865723	2309720	34337	985093	142426	64997
AZC3J	AZC3J4d3	6496807	19578	6486291	11351879	3833007	54132	1624799	229099	98904
AZC3J	AZC3J4d4	5850512	39350	5830232	10308476	3569848	51627	1425575	129764	84612
AZC3J	AZC3J4d5	3106233	16898	3097404	5151260	1755417	30118	716751	91235	55453
AZC3J	AZC3J4d6	4723778	14231	4716145	7585646	2553461	42857	1075483	161675	80369
AZC3J	AZC3J4d7	3578307	25862	3564617	5594379	1786492	31254	883998	125389	65502
AZC3J	AZC3J4d8	5463649	73395	5426057	8955878	3161439	57355	1152833	125685	86939
AZC3J	AZC3J4d9	2545785	3607	2543532	3650082	1082912	30086	609588	130822	74088
AZC5T	AZC5T1d1	4406558	27971	4391982	6187435	2172839	26987	803197	122271	59118
AZC5T	AZC5T1d10	6247375	115317	6188770	9699491	3466280	48643	1227326	131718	83275
AZC5T	AZC5T1d11	2001735	19195	1991884	2865589	987009	15457	390280	49142	30955
AZC5T	AZC5T1d12	1617491	3969	1615294	2485328	451146	8142	743360	22887	57145
AZC5T	AZC5T1d2	899710	2478	898374	1117145	377209	4314	158194	26932	10779
AZC5T	AZC5T1d3	3108604	8247	3104108	4688625	1561870	19517	689995	97386	48475
AZC5T	AZC5T1d4	7327362	44145	7304422	10795255	3712617	50042	1480618	199285	109416
AZC5T	AZC5T1d5	554107	983	553556	760588	253517	3200	110531	18377	7715
AZC5T	AZC5T1d6	2781792	8518	2777229	4288428	554934	9295	1501032	45323	112583
AZC5T	AZC5T1d7	4894632	27138	4880252	7102770	2336772	34270	1054341	174838	77166
AZC5T	AZC5T1d8	1674043	10900	1668351	2396682	810302	11372	339447	49687	24753
AZC5T	AZC5T1d9	2608949	3742	2606638	3469766	1093446	23167	537192	108172	53984
AZC5T	AZC5T2d1	5000384	19927	4989855	7431653	2595090	29174	976402	165315	65006
AZC5T	AZC5T2d10	6444434	103548	6391742	10101360	3607405	50416	1275155	149105	86303
