supplier,CAZy_GH
AZC3J,GH95
AZC3J,GH13
AZC3J,GH39
AZC3J,GH43
AZC3J,GH2
AZC3J,GH35
AZC3J,GH16
AZC3J,GH33
AZC3J,GH31
AZC3J,GHnc
AZC3J,GH105
AZC3J,GH88
AZC3J,GH92
AZC3J,GH36
AZC3J,GH130
AZC3J,GH110
AZC3J,GH15
AZC3J,GH97
AZC3J,GH117
AZC3J,GH29
AZC3J,GH78
AZC3J,GH10
AZC3J,GH89
AZC3J,GH5
AZC3J,GH20
AZC3J,GH104
AZC3J,GH24
AZC3J,GH3
AZC3J,GH55
AZC3J,GH155
AZC3J,GH76
AZC3J,GH32
AZC3J,GH12
AZC3J,GH30
AZC3J,GH57
AZC3J,GH136
AZC3J,GH1
AZC3J,GH101
AZC3J,GH18
AZC3J,GH28
AZC3J,GH84
AZC3J,GH42
AZC3J,GH133
AZC3J,GH23
AZC3J,GH73
AZC3J,GH65
AZC3J,GH109
AZC3J,GH53
AZC3J,GH27
AZC3J,GH106
AZC3J,GH38
AZC3J,GH8
AZC3J,GH77
AZC3J,GH6
AZC3J,GH139
AZC3J,GH137
AZC3J,GH138
AZC3J,GH141
AZC3J,GH127
AZC3J,GH140
AZC3J,GH142
AZC3J,GH143
AZC3J,GH114
AZC3J,GH115
AZC3J,GH146
AZC3J,GH25
AZC3J,GH85
AZC3J,GH51
AZC3J,GH125
AZC3J,GH154
AZC3J,GH145
AZC3J,GH44
AZC3J,GH144
AZC3J,GH94
AZC3J,GH99
AZC3J,GH64
AZC3J,GH67
AZC3J,GH128
AZC3J,GH19
AZC3J,GH147
AZC3J,GH66
AZC3J,GH26
AZC3J,GH63
AZC3J,GH108
AZC3J,GH123
AZC3J,GH74
AZC3J,GH4
AZC3J,GH48
AZC3J,GH119
AZC3J,GH86
AZC3J,GH82
AZC3J,GH81
AZC3J,GH98
AZC3J,GH17
AZC3J,GH9
AZC3J,GH87
AZC3J,GH93
AZC3J,GH37
AZC3J,GH91
AZC3J,GH50
AZC3J,GH70
AZC5T,GH31
AZC5T,GHnc
AZC5T,GH39
AZC5T,GH77
AZC5T,GH12
AZC5T,GH28
AZC5T,GH13
AZC5T,GH3
AZC5T,GH128
AZC5T,GH5
AZC5T,GH23
AZC5T,GH6
AZC5T,GH55
AZC5T,GH43
AZC5T,GH24
AZC5T,GH18
AZC5T,GH92
AZC5T,GH88
AZC5T,GH105
AZC5T,GH2
AZC5T,GH19
AZC5T,GH38
AZC5T,GH32
AZC5T,GH74
AZC5T,GH65
AZC5T,GH51
AZC5T,GH73
AZC5T,GH97
AZC5T,GH114
AZC5T,GH33
AZC5T,GH140
AZC5T,GH130
AZC5T,GH35
AZC5T,GH95
AZC5T,GH26
AZC5T,GH44
AZC5T,GH94
AZC5T,GH17
AZC5T,GH42
AZC5T,GH16
AZC5T,GH59
AZC5T,GH36
AZC5T,GH133
AZC5T,GH57
AZC5T,GH25
AZC5T,GH10
AZC5T,GH9
AZC5T,GH1
AZC5T,GH84
AZC5T,GH20
AZC5T,GH145
AZC5T,GH154
AZC5T,GH147
AZC5T,GH53
AZC5T,GH27
AZC5T,GH78
AZC5T,GH87
AZC5T,GH127
AZC5T,GH146
AZC5T,GH30
AZC5T,GH111
AZC5T,GH86
AZC5T,GH29
AZC5T,GH62
AZC5T,GH11
AZC5T,GH106
AZC5T,GH137
AZC5T,GH67
AZC5T,GH110
AZC5T,GH64
AZC5T,GH66
AZC5T,GH104
AZC5T,GH107
AZC5T,GH141
AZC5T,GH115
AZC5T,GH99
AZC5T,GH8
AZC5T,GH89
AZC5T,GH117
AZC5T,GH91
AZC5T,GH125
AZC5T,GH76
AZC5T,GH63
AZC5T,GH109
AZC5T,GH85
AZC5T,GH37
AZC5T,GH98
AZC5T,GH71
AZC5T,GH108
AZC5T,GH144
AZC5T,GH159
AZC5T,GH142
AZC5T,GH143
AZC5T,GH139
AZC5T,GH138
AZC5T,GH156
AZC5T,GH123
AZC5T,GH136
AZC5T,GH116
AZC5T,GH101
AZC5T,GH93
AZC5T,GH81
AZC5T,GH68
AZC5T,GH135
AZC5T,GH120
AZC5T,GH155
AZC5T,GH126
AZC5T,GH15
AZC5T,GH50
AZC5T,GH158
AZC5T,GH48
AZC7E,GH29
AZC7E,GH55
AZC7E,GH43
AZC7E,GH130
AZC7E,GH95
AZC7E,GHnc
AZC7E,GH3
AZC7E,GH35
AZC7E,GH2
AZC7E,GH32
AZC7E,GH5
AZC7E,GH39
AZC7E,GH31
AZC7E,GH16
AZC7E,GH154
AZC7E,GH25
AZC7E,GH13
AZC7E,GH1
AZC7E,GH57
AZC7E,GH133
AZC7E,GH42
AZC7E,GH23
AZC7E,GH51
AZC7E,GH108
AZC7E,GH10
AZC7E,GH18
AZC7E,GH78
AZC7E,GH66
AZC7E,GH20
AZC7E,GH88
AZC7E,GH28
AZC7E,GH146
AZC7E,GH97
AZC7E,GH127
AZC7E,GH92
AZC7E,GH24
AZC7E,GH36
AZC7E,GH26
AZC7E,GH19
AZC7E,GH53
AZC7E,GH104
AZC7E,GH63
AZC7E,GH91
AZC7E,GH30
AZC7E,GH27
AZC7E,GH105
AZC7E,GH76
AZC7E,GH17
AZC7E,GH44
AZC7E,GH8
AZC7E,GH110
AZC7E,GH115
AZC7E,GH65
AZC7E,GH99
AZC7E,GH109
AZC7E,GH6
AZC7E,GH101
AZC7E,GH155
AZC7E,GH84
AZC7E,GH33
AZC7E,GH12
AZC7E,GH73
AZC7E,GH94
AZC7E,GH128
AZC7E,GH9
AZC7E,GH125
AZC7E,GH114
AZC7E,GH67
AZC7E,GH89
AZC7E,GH38
AZC7E,GH74
AZC7E,GH85
AZC7E,GH136
AZC7E,GH15
AZC7E,GH77
AZC7E,GH71
AZC7E,GH120
AZC7E,GH123
AZC7E,GH50
AZC7E,GH141
AZC7E,GH147
AZC7E,GH64
AZC7E,GH117
AZC7E,GH106
AZC7E,GH138
AZC7E,GH137
AZC7E,GH139
AZC7E,GH140
AZC7E,GH142
AZC7E,GH143
AZC7E,GH87
AZC7E,GH11
AZC7E,GH98
AZC7E,GH59
AZC7E,GH116
AZC7E,GH144
AZC7E,GH158
AZC7E,GH145
AZC7E,GH156
AZC7E,GH86
AZC7E,GH4
AZC7E,GH62
AZC7E,GH111
AZC7E,GH81
AZC7E,GH107
AZC7E,GH148
AZC7E,GH93
AZC7E,GH37
AZC7E,GH159
AZC7E,GH126
AZC7E,GH48
AZC7E,GH82
AZC7E,GH119
AZC7E,GH47
AZC7E,GH121
AZC9C,GH24
AZC9C,GH19
AZC9C,GH23
AZC9C,GH13
AZC9C,GH35
AZC9C,GH104
AZC9C,GH43
AZC9C,GH66
AZC9C,GH20
AZC9C,GH1
AZC9C,GH55
AZC9C,GH3
AZC9C,GHnc
AZC9C,GH39
AZC9C,GH92
AZC9C,GH2
AZC9C,GH16
AZC9C,GH33
AZC9C,GH6
AZC9C,GH29
AZC9C,GH18
AZC9C,GH126
AZC9C,GH109
AZC9C,GH12
AZC9C,GH130
AZC9C,GH133
AZC9C,GH57
AZC9C,GH9
AZC9C,GH64
AZC9C,GH5
AZC9C,GH85
AZC9C,GH84
AZC9C,GH36
AZC9C,GH114
AZC9C,GH65
AZC9C,GH136
AZC9C,GH73
AZC9C,GH108
AZC9C,GH15
AZC9C,GH97
AZC9C,GH32
AZC9C,GH53
AZC9C,GH117
AZC9C,GH63
AZC9C,GH42
AZC9C,GH10
AZC9C,GH31
AZC9C,GH89
AZC9C,GH105
AZC9C,GH110
AZC9C,GH128
AZC9C,GH95
AZC9C,GH87
AZC9C,GH123
AZC9C,GH86
AZC9C,GH94
AZC9C,GH51
AZC9C,GH144
AZC9C,GH78
AZC9C,GH141
AZC9C,GH115
AZC9C,GH155
AZC9C,GH106
AZC9C,GH28
AZC9C,GH116
AZC9C,GH76
AZC9C,GH127
AZC9C,GH99
AZC9C,GH71
AZC9C,GH88
AZC9C,GH137
AZC9C,GH38
AZC9C,GH67
AZC9C,GH27
AZC9C,GH30
AZC9C,GH26
AZC9C,GH77
AZC9C,GH74
AZC9C,GH101
AZC9C,GH8
AZC9C,GH125
AZC9C,GH25
AZC9C,GH156
AZC9C,GH120
AZC9C,GH111
AZC9C,GH154
AZC9C,GH139
AZC9C,GH81
AZC9C,GH91
AZC9C,GH50
AZC9C,GH146
AZC9C,GH119
AZC9C,GH44
AZC9C,GH140
AZC9C,GH17
AZC9C,GH147
AZC9C,GH157
AZC9C,GH145
AZC9C,GH159
AZC9C,GH93
AZC9C,GH4
AZC9C,GH11
AZC9C,GH62
AZC9C,GH160
AZC9C,GH37
AZC9C,GH158
AZC9C,GH138
AZC9C,GH98
AZC9C,GH142
AZC9C,GH143
AZC9C,GH48
AZC9C,GH164
