sample,mouse,day,mouse_type,cage,tx_group,treatment
bulkMaPS-J1,J1,7,Jax,J1,J,Jax
bulkMaPS-J2,J2,7,Jax,J1,J,Jax
bulkMaPS-J3,J3,7,Jax,JE1,JE,Env2Jax
bulkMaPS-J4,J4,7,Jax,JE2,JE,Env2Jax
bulkMaPS-J5,J5,7,Jax,J2,J,Jax
bulkMaPS-J6,J6,7,Jax,J2,J,Jax
bulkMaPS-J7,J7,7,Jax,JE3,JE,Env2Jax
bulkMaPS-J8,J8,7,Jax,JE4,JE,Env2Jax
bulkMaPS-E1,E1,7,Env,E1,E,Env
bulkMaPS-E2,E2,7,Env,E1,E,Env
bulkMaPS-E3,E3,7,Env,JE1,JE,Jax2Env
bulkMaPS-E4,E4,7,Env,JE2,JE,Jax2Env
bulkMaPS-E5,E5,7,Env,E2,E,Env
bulkMaPS-E6,E6,7,Env,E2,E,Env
bulkMaPS-E7,E7,7,Env,JE3,JE,Jax2Env
bulkMaPS-E8,E8,7,Env,JE4,JE,Jax2Env
