#OTU ID	20230504lav15P1A11	20230501lav13P1A3	20230504lav14P1A10	20230501lav14P1A4	20230501lav15P1A5	20230501lav11P1A1	20230504lav21P1B7	20230501lav12P1A2	20230504lav23P1B9	20230504lav12P1A8	20230504lav13P1A9	20230504lav24P1B10	20230501lav21P1B1	20230504lav31P1C7	20230504lav11P1A7	20230501lav45P1C6	20230501lav22P1B2	20230501lav23P1B3	20230501lav24P1B4	20230501lav34P1C4	20230504lav32P1C8	20230511GPLP2H4	20230501lav31P1C1	20230501lav44P1C5	20230504lav33P1C9	20230501lav32P1C2	20230501lav33P1C3	20230504lav41P1A12	20230504lav34P1C10	20230501lav42P1B5	20230504lav42P1B11	20230501lav43P1B6	20230504lav43P1B12	20230504lav22P1B8	20230501lav41P1A6	20230511GPP2H2	20230508lav15P1E11	20230508lav12P1E8	20230504lav44P1C11	20230508lav31P1G7	20230504lav45P1C12	20230508lav24P1F10	20230506lav13P1E3	20230508lav11P1E7	20230506lav12P1E2	20230508lav13P1E9	20230506lav11P1E1	20230508lav21P1F7	20230508lav34P1G10	20230508lav22P1F8	20230506lav14P1E4	20230508lav14P1E10	20230506lav15P1E5	20230506lav42P1F5	20230506lav45P1G6	20230506lav21P1F1	20230511LP2H3	20230506lav22P1F2	20230506lav44P1G5	20230506lav23P1F3	20230508lav23P1F9	20230506lav24P1F4	20230508lav43P1F12	20230506lav43P1F6	20230506lav32P1G2	20230506lav33P1G3	20230506lav31P1G1	20230508lav32P1G8	20230506lav34P1G4	20230508lav33P1G9	20230506lav41P1E6	20230508lav42P1F11	20230508lav41P1E12	20230511controlP2H1	20230508lav44P1G11	20230511lav24P2B11	20230511lav22P2B8	20230510lav41P2A6	20230510lav45P2C6	20230508lav45P1G12	20230511lav44P2C11	20230510lav12P2A2	20230510lav14P2A4	20230510lav33P2C3	20230510lav43P2B6	20230510lav11P2A1	20230511uter11P2E1	bulkMaPS-E1	20230510lav13P2A3	20230511lav11P2A7	20230511lav31P2C7	20230510lav15P2A5	20230510lav42P2B5	20230511lav12P2A8	20230510lav21P2B1	20230510lav23P2B3	20230511lav13P2A9	20230510lav22P2B2	20230510lav24P2B4	20230511lav14P2A10	20230510lav31P2C1	20230511lav15P2A11	20230510lav32P2C2	20230511lav23P2B9	20230510lav44P2C5	20230511lav21P2B7	20230510lav34P2C4	20230511uter41P2E6	bulkMaPS-J3	20230511lav32P2C8	20230511lav33P2C9	20230511lav43P2B12	20230511lav45P2C12	20230511uter33P2G3	bulkMaPS-E2	bulkMaPS-E7	bulkMaPS-J8	20230511lav34P2C10	20230511lav41P2A12	20230511lav42P2B10	20230511uter12P2E2	20230511uter44P2G5	20230511uter13P2E3	bulkMaPS-E3	bulkMaPS-E5	bulkMaPS-J5	bulkMaPS-J1	20230511uter21P2F1	bulkMaPS-E4	bulkMaPS-J4	20230511uter45P2G6	bulkMaPS-E6	bulkMaPS-J6	20230511uter22P2F2	bulkMaPS-E8	20230511uter24P2F4	20230511uter31P2G1	20230511uter42P2F5	20230511uter15P2E5	20230511uter23P2F3	20230511uter14P2E4	bulkMaPS-J7	bulkMaPS-J2	20230511uter43P2F6	20230511uter34P2G4	20230511uter32P2G2
Otu1	4302	3833	5240	701	2169	1516	5855	3081	13909	3446	13080	4393	6382	302	289	28056	11677	118	3577	73751	1889	175	8323	4868	2061	8128	34123	3117	4325	4714	10950	7497	4132	18117	3586	2556	22624	30523	4906	15971	9528	33686	8833	32986	16869	39259	11515	18863	10806	49263	67884	14394	12664	14103	24530	14455	168	21777	26858	8975	51982	38686	11527	24876	8551	34496	24017	12743	37372	57438	22567	21813	72	4478	10657	10281	99	60	42833	9354	5197	9160	19427	13037	2074	36	15447	368	45960	14440	9716	7585	1291	6109	2308	6670	17328	1423	1484	21277	6972	30549	3148	1335	3934	5384	11935	7564	453	5614	28195	3592	2701	85963	516	2043	1795	25969	5491	4916	6034	38583	32592	1686	150	1150	155	19856	1785	1755	14944	210	140	6590	1974	30142	10713	8851	886	41994	15265	1762	292	77647	23179	10170
Otu18	2	0	0	17	83	0	0	0	0	0	0	0	258	0	0	8	0	0	19	0	0	0	0	233	0	0	0	0	0	70	10	22	13	0	77	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1133	300	1	0	996	0	0	0	0	0	0	0	613	1130	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1724	88	0	0	200	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	1	0	0	0	0	0	3	0	0	183	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0
Otu398	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	1	0	0	0	1	0	0	0	1	0	0	0	6	7	3	0	1	0	0	0	1	13	0	6	0	0	20	1	0	0	0	0	0	1	0	2	0	1	0	1	0	0	2	0
Otu481	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Otu382	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	2	1	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	2	2	0	6	0	0	2	0	0	0	0	0	1	0	0	2	1	0	1	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	9	3	10	0	0	0	0	0	2	6	0	1	2	0	27	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1
Otu378	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	1	0	0	1	7	8	1	7	0	0	1	0	0	1	0	1	3	0	0	6	0	0	0	3	3	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	1	1	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu7	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	35	0	0	0	0	73	0	0	0	0	171	0	1	0	0	0	1	0	0	1	0	248	1624	0	0	14	3	0	163	0	345	0	0	202	0	1	0	0	0	525	0	0	0	0	0	0	0	0	2	312	0	0	365	27	0	2	0	0	0	0	0	0	0	3394	216	0	114	99	2	0	1	87	0	1043	507	153	153	0	110	0	0	752	0	0	503	0	791	382	1	0	0	646	0	0	623	1	0	100	0	0	0	0	2370	183	0	28	0	10	0	0	0	0	1	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	73	1
Otu166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	27	11	168	0	0	0	0	0	0	50	4	0	0	0	109	32	0	10	0	0	32	0	0	0	0	0	0	11	0	0	0	0
Otu32	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	5	0	3	0	1	0	0	103	3	0	0	0	1	0	0	1	2	0	1	4	0	5	0	2	0	0	1	1	92	0	0	0	0	2	127	655	348	4	4	4	0	0	0	462	31	207	40	0	508	443	1	51	19	0	672	0	0	1	0	2	0	456	48	0	0	0
Otu661	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0
