HammingDistance,BarcodeReadCounts,BarcodeParticleCounts,ProportionofBarcodesByParticles,ProportionofBarcodesByReads,BarcodeSet
0,344213,68578,0.878079385403329,0.966024826068776,Barcode 1
1,5077,4310,0.0551856594110115,0.0142484683668286,Barcode 1
2,1320,1039,0.013303457106274,0.00370454564589595,Barcode 1
3,4146,3014,0.0385915492957747,0.0116356410968823,Barcode 1
4,1297,1026,0.0131370038412292,0.00363999674449019,Barcode 1
5,266,133,0.00170294494238156,0.000746522077127518,Barcode 1
0,333161,65315,0.836299615877081,0.935007675706319,Barcode 2
1,22601,12307,0.157580025608195,0.0634291182900715,Barcode 2
2,539,461,0.00590268886043534,0.00151268947207418,Barcode 2
3,18,17,0.000217669654289373,5.05165315349448e-05,Barcode 2
0,319920,65348,0.836722151088348,0.897847153814419,Barcode 3
1,32768,11487,0.14708066581306,0.0919625391853929,Barcode 3
2,3434,1162,0.0148783610755442,0.0096374316272778,Barcode 3
3,196,102,0.00130601792573624,0.000550068898936066,Barcode 3
4,1,1,1.28040973111396e-05,2.8064739741636e-06,Barcode 3
