Distance,BarcodeRound,Sample,NumberParticlesDistance,NumberReadsDistance,SampleNumberParticles,SampleNumberReads,ProportionParticle,ProportionReads
0,Barcode1,20230816-E-1-r1,419,1552,452,1588,0.926991150442478,0.977329974811083
1,Barcode1,20230816-E-1-r1,15,17,452,1588,0.0331858407079646,0.0107052896725441
2,Barcode1,20230816-E-1-r1,7,8,452,1588,0.0154867256637168,0.00503778337531486
3,Barcode1,20230816-E-1-r1,5,5,452,1588,0.0110619469026549,0.00314861460957179
4,Barcode1,20230816-E-1-r1,6,6,452,1588,0.0132743362831858,0.00377833753148615
0,Barcode2,20230816-E-1-r1,376,1410,452,1588,0.831858407079646,0.887909319899244
1,Barcode2,20230816-E-1-r1,73,175,452,1588,0.161504424778761,0.110201511335013
2,Barcode2,20230816-E-1-r1,3,3,452,1588,0.00663716814159292,0.00188916876574307
0,Barcode3,20230816-E-1-r1,389,1448,452,1588,0.860619469026549,0.91183879093199
1,Barcode3,20230816-E-1-r1,61,133,452,1588,0.134955752212389,0.0837531486146096
2,Barcode3,20230816-E-1-r1,2,7,452,1588,0.00442477876106195,0.0044080604534005
0,Barcode1,20230816-E-1-r2,650,1787,721,1864,0.901525658807212,0.958690987124464
1,Barcode1,20230816-E-1-r2,42,46,721,1864,0.058252427184466,0.0246781115879828
2,Barcode1,20230816-E-1-r2,6,7,721,1864,0.00832177531206657,0.00375536480686695
3,Barcode1,20230816-E-1-r2,12,13,721,1864,0.0166435506241331,0.00697424892703863
4,Barcode1,20230816-E-1-r2,10,10,721,1864,0.013869625520111,0.00536480686695279
5,Barcode1,20230816-E-1-r2,1,1,721,1864,0.0013869625520111,0.000536480686695279
0,Barcode2,20230816-E-1-r2,611,1708,721,1864,0.847434119278779,0.916309012875536
1,Barcode2,20230816-E-1-r2,100,146,721,1864,0.13869625520111,0.0783261802575107
2,Barcode2,20230816-E-1-r2,10,10,721,1864,0.013869625520111,0.00536480686695279
0,Barcode3,20230816-E-1-r2,656,1751,721,1864,0.909847434119279,0.939377682403433
1,Barcode3,20230816-E-1-r2,55,97,721,1864,0.0762829403606103,0.0520386266094421
2,Barcode3,20230816-E-1-r2,10,16,721,1864,0.013869625520111,0.00858369098712446
0,Barcode1,20230816-E-2-r1,401,1855,450,1910,0.891111111111111,0.971204188481675
1,Barcode1,20230816-E-2-r1,26,30,450,1910,0.0577777777777778,0.0157068062827225
2,Barcode1,20230816-E-2-r1,5,5,450,1910,0.0111111111111111,0.00261780104712042
3,Barcode1,20230816-E-2-r1,12,13,450,1910,0.0266666666666667,0.00680628272251309
4,Barcode1,20230816-E-2-r1,6,7,450,1910,0.0133333333333333,0.00366492146596859
0,Barcode2,20230816-E-2-r1,394,1811,450,1910,0.875555555555556,0.948167539267016
1,Barcode2,20230816-E-2-r1,53,92,450,1910,0.117777777777778,0.0481675392670157
2,Barcode2,20230816-E-2-r1,3,7,450,1910,0.00666666666666667,0.00366492146596859
0,Barcode3,20230816-E-2-r1,403,1729,450,1910,0.895555555555556,0.905235602094241
1,Barcode3,20230816-E-2-r1,44,177,450,1910,0.0977777777777778,0.0926701570680628
2,Barcode3,20230816-E-2-r1,3,4,450,1910,0.00666666666666667,0.00209424083769634
0,Barcode1,20230816-E-2-r2,561,2024,625,2104,0.8976,0.961977186311787
1,Barcode1,20230816-E-2-r2,32,42,625,2104,0.0512,0.0199619771863118
2,Barcode1,20230816-E-2-r2,9,12,625,2104,0.0144,0.00570342205323194
3,Barcode1,20230816-E-2-r2,20,23,625,2104,0.032,0.0109315589353612
4,Barcode1,20230816-E-2-r2,3,3,625,2104,0.0048,0.00142585551330799
0,Barcode2,20230816-E-2-r2,551,1984,625,2104,0.8816,0.94296577946768
1,Barcode2,20230816-E-2-r2,73,119,625,2104,0.1168,0.0565589353612167
2,Barcode2,20230816-E-2-r2,1,1,625,2104,0.0016,0.000475285171102662
0,Barcode3,20230816-E-2-r2,578,2039,625,2104,0.9248,0.969106463878327
1,Barcode3,20230816-E-2-r2,45,63,625,2104,0.072,0.0299429657794677
2,Barcode3,20230816-E-2-r2,2,2,625,2104,0.0032,0.000950570342205323
0,Barcode1,20230816-E-3-r1,2795,13155,3156,13565,0.885614702154626,0.969775156653152
1,Barcode1,20230816-E-3-r1,186,209,3156,13565,0.05893536121673,0.0154072981938813
2,Barcode1,20230816-E-3-r1,45,50,3156,13565,0.0142585551330799,0.00368595650571323
3,Barcode1,20230816-E-3-r1,91,108,3156,13565,0.0288339670468948,0.00796166605234058
4,Barcode1,20230816-E-3-r1,37,41,3156,13565,0.011723700887199,0.00302248433468485
